type,label,total_return_pct,ann_return_pct,sharpe,max_dd_pct,time_invested_pct,start_capital_M,end_capital_M,n_trades,win_rate_pct,avg_winner_pct,avg_loser_pct
summary,TOTAL,31371.9,33.6,0.716,-61.31,48.1,100.0,31471.9,676.0,42.8,21.55,-6.53
sector,Banks,,,,,,,2707.04,199.0,34.7,16.62,-3.71
sector,Basic Resources,,,,,,,11731.87,122.0,43.4,21.8,-7.8
sector,Food & Beverage,,,,,,,9731.44,122.0,41.8,21.85,-7.51
sector,Real Estate,,,,,,,9098.98,233.0,49.8,24.24,-8.33
annual,2006,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
annual,2007,0.0,0.0,0.0,0.0,0.0,,,,,-6.88,
annual,2008,-2.98,-2.98,-1.694,-3.42,29.0,,,,,-81.51,
annual,2009,6.05,6.05,0.35,-25.85,67.7,,,,,56.77,
annual,2010,24.16,24.16,1.056,-10.69,33.6,,,,,-2.04,
annual,2011,0.78,0.78,0.126,-6.45,27.4,,,,,-27.47,
annual,2012,16.76,16.76,0.666,-12.96,78.4,,,,,17.69,
annual,2013,86.13,86.13,1.294,-30.08,73.6,,,,,21.97,
annual,2014,16.07,16.07,0.552,-35.34,68.8,,,,,8.12,
annual,2015,69.98,69.98,1.744,-11.31,75.0,,,,,6.12,
annual,2016,59.19,59.19,0.965,-58.86,40.6,,,,,14.82,
annual,2017,27.87,27.87,0.687,-29.24,61.6,,,,,48.03,
annual,2018,13.94,13.94,0.711,-11.04,46.0,,,,,-9.32,
annual,2019,-2.15,-2.15,0.217,-29.39,56.8,,,,,7.67,
annual,2020,256.5,256.5,2.183,-22.81,70.2,,,,,14.87,
annual,2021,227.95,227.95,1.43,-37.69,52.8,,,,,35.73,
annual,2022,-11.85,-11.85,-0.061,-36.63,22.5,,,,,-32.78,
annual,2023,126.52,126.52,1.226,-48.95,80.7,,,,,12.2,
annual,2024,-1.39,-1.39,-0.418,-2.67,7.2,,,,,12.11,
annual,2025,14.71,14.71,0.575,-40.59,57.3,,,,,30.91,
annual,2026,-4.86,-4.86,-0.917,-13.06,61.3,,,,,3.86,
