time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.522,3.522,3.522,3.522,640,2254.08,,,,,
2013-01-03,3.522,3.522,3.403,3.522,80,281.76,,,,,
2013-01-04,3.522,3.582,3.522,3.582,11020,39473.64,,,,,
2013-01-07,3.582,3.582,3.582,3.582,110,394.02,,,,,
2013-01-08,3.582,3.641,3.582,3.641,12030,43801.23,,,,,
2013-01-09,3.641,3.641,3.641,3.641,10,36.41,,,,,
2013-01-10,3.641,3.641,3.641,3.641,10,36.41,,,,,
2013-01-11,3.462,3.522,3.462,3.522,1130,3979.86,,,,,
2013-01-14,3.403,3.522,3.403,3.522,5080,17891.76,,,,,
2013-01-15,3.522,3.522,3.522,3.522,100,352.2,,,,,
2013-01-16,3.522,3.761,3.403,3.761,16640,62583.04,,,,,
2013-01-17,3.701,3.701,3.522,3.522,60,211.32,,,,,
2013-01-18,3.283,3.761,3.283,3.761,20,75.22,,,,,
2013-01-21,3.701,3.701,3.701,3.701,10,37.01,,,,,
2013-01-22,3.641,3.701,3.641,3.701,410,1517.41,,,,,
2013-01-23,3.522,3.582,3.522,3.582,230,823.86,,,,,
2013-01-24,3.582,3.582,3.582,3.582,10,35.82,,,,,
2013-01-25,3.701,3.701,3.701,3.701,10,37.01,,,,,
2013-01-28,3.701,3.701,3.701,3.701,100,370.1,,,,,
2013-01-29,3.641,3.641,3.641,3.641,10,36.41,,,,,
2013-01-30,3.522,3.522,3.522,3.522,10,35.22,,,,,
2013-01-31,3.462,3.462,3.462,3.462,10,34.620000000000005,,,,,
2013-02-01,3.403,3.403,3.403,3.403,1000,3403.0,,,,,
2013-02-04,3.343,3.403,3.343,3.343,3080,10296.44,,,,,
2013-02-05,3.343,3.343,3.283,3.283,2020,6631.66,,,,,
2013-02-06,3.283,3.283,3.283,3.283,10,32.83,,,,,
2013-02-07,3.283,3.283,3.283,3.283,0,0.0,,,,,
2013-02-08,3.403,3.403,3.403,3.403,10,34.03,,,,,
2013-02-18,3.283,3.283,3.283,3.283,810,2659.23,,,,,
2013-02-19,3.283,3.283,3.283,3.283,0,0.0,,,,,
2013-02-20,3.283,3.283,3.283,3.283,10,32.83,,,,,
2013-02-21,3.104,3.164,3.104,3.164,410,1297.24,,,,,
2013-02-22,3.164,3.164,3.164,3.164,10,31.64,,,,,
2013-02-25,3.283,3.343,3.224,3.224,1390,4481.360000000001,,,,,
2013-02-26,3.224,3.224,3.044,3.044,3450,10501.8,,,,,
2013-02-27,3.044,3.044,3.044,3.044,0,0.0,,,,,
2013-02-28,3.224,3.224,3.104,3.164,100,316.40000000000003,,,,,
2013-03-01,3.224,3.224,3.224,3.224,470,1515.2800000000002,,,,,
2013-03-04,3.044,3.044,3.044,3.044,60,182.64,,,,,
2013-03-05,2.865,3.044,2.865,2.985,50,149.25,,,,,
2013-03-06,2.865,2.985,2.865,2.985,180,537.3,,,,,
2013-03-07,2.985,3.104,2.985,3.104,40,124.16,,,,,
2013-03-08,3.044,3.044,3.044,3.044,10,30.44,,,,,
2013-03-11,2.925,3.044,2.925,2.985,90,268.65,,,,,
2013-03-12,2.985,2.985,2.985,2.985,470,1402.95,,,,,
2013-03-13,2.985,2.985,2.985,2.985,10,29.85,,,,,
2013-03-14,2.985,2.985,2.985,2.985,10,29.85,,,,,
2013-03-15,2.985,3.104,2.985,3.044,230,700.12,,,,,
2013-03-18,3.044,3.104,3.044,3.104,1010,3135.04,,,,,
2013-03-19,3.044,3.044,3.044,3.044,10,30.44,,,,,
2013-03-20,3.044,3.044,3.044,3.044,100,304.4,,,,,
2013-03-21,2.985,2.985,2.985,2.985,1910,5701.349999999999,,,,,
2013-03-22,3.044,3.044,3.044,3.044,10,30.44,,,,,
2013-03-25,3.044,3.044,2.985,2.985,100,298.5,,,,,
2013-03-26,2.985,2.985,2.865,2.865,4410,12634.65,,,,,
2013-03-27,2.925,2.925,2.925,2.925,200,585.0,,,,,
2013-03-28,2.925,2.925,2.865,2.865,2390,6847.35,,,,,
2013-03-29,2.865,2.865,2.806,2.806,2520,7071.12,,,,,
2013-04-01,2.865,2.865,2.686,2.865,1560,4469.400000000001,,,,,
2013-04-02,2.985,2.985,2.985,2.985,10,29.85,,,,,
2013-04-03,2.865,2.865,2.865,2.865,240,687.6,,,,,
2013-04-04,2.865,2.865,2.865,2.865,0,0.0,,,,,
2013-04-05,2.925,2.925,2.925,2.925,10,29.25,,,,,
2013-04-08,2.925,2.925,2.925,2.925,10,29.25,,,,,
2013-04-09,2.925,2.925,2.925,2.925,10,29.25,,,,,
2013-04-10,2.985,2.985,2.925,2.925,20,58.5,,,,,
2013-04-11,2.925,2.925,2.925,2.925,0,0.0,,,,,
2013-04-12,2.985,2.985,2.746,2.925,1070,3129.75,,,,,
2013-04-15,2.865,2.865,2.865,2.865,10,28.65,,,,,
2013-04-16,2.746,2.746,2.686,2.686,600,1611.6,,,,,
2013-04-17,2.686,2.686,2.507,2.507,2180,5465.26,,,,,
2013-04-18,2.388,2.507,2.388,2.388,200,477.6,,,,,
2013-04-22,2.507,2.507,2.268,2.268,20,45.36,,,,,
2013-04-23,2.268,2.388,2.268,2.388,4550,10865.4,,,,,
2013-04-24,2.507,2.507,2.268,2.268,1010,2290.68,,,,,
2013-04-25,2.388,2.388,2.149,2.149,2010,4319.49,,,,,
2013-04-26,2.03,2.268,2.03,2.268,110,249.48,,,,,
2013-05-02,2.328,2.328,2.149,2.149,1660,3567.34,,,,,
2013-05-03,2.268,2.268,2.149,2.268,3020,6849.36,,,,,
2013-05-06,2.388,2.388,2.388,2.388,190,453.72,,,,,
2013-05-07,2.388,2.507,2.388,2.507,12840,32189.88,,,,,
2013-05-08,2.448,2.567,2.448,2.567,510,1309.17,,,,,
2013-05-09,2.567,2.567,2.448,2.448,300,734.4,,,,,
2013-05-10,2.388,2.388,2.388,2.388,1600,3820.8,,,,,
2013-05-13,2.388,2.507,2.388,2.507,1250,3133.75,,,,,
2013-05-14,2.567,2.567,2.567,2.567,50,128.35000000000002,,,,,
2013-05-15,2.567,2.567,2.448,2.448,560,1370.88,,,,,
2013-05-16,2.567,2.567,2.448,2.448,560,1370.88,,,,,
2013-05-17,2.388,2.507,2.388,2.507,3510,8799.57,,,,,
2013-05-20,2.388,2.567,2.388,2.448,5070,12411.36,,,,,
2013-05-21,2.507,2.507,2.388,2.388,400,955.2,,,,,
2013-05-22,2.507,2.507,2.388,2.388,930,2220.84,,,,,
2013-05-23,2.507,2.507,2.388,2.388,210,501.48,,,,,
2013-05-24,2.507,2.507,2.507,2.507,7750,19429.25,,,,,
2013-05-27,2.388,2.507,2.388,2.507,6140,15392.98,,,,,
2013-05-28,2.507,2.507,2.448,2.507,4470,11206.29,,,,,
2013-05-29,2.507,2.627,2.448,2.627,1370,3598.99,,,,,
2013-05-30,2.627,2.627,2.448,2.567,400,1026.8000000000002,,,,,
2013-05-31,2.448,2.567,2.448,2.448,1670,4088.16,,,,,
2013-06-03,2.507,2.507,2.507,2.507,10,25.07,,,,,
2013-06-04,2.507,2.507,2.388,2.388,4210,10053.48,,,,,
