time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.653,3.043,2.653,3.043,200,608.6,,,,,
2013-01-03,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-04,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-07,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-08,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-09,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-10,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-11,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-14,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-15,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-16,3.043,3.043,3.043,3.043,0,0.0,,,,,
2013-01-17,2.764,3.043,2.764,3.043,2400,7303.200000000001,,,,,
2013-01-18,2.764,2.764,2.764,2.764,300,829.1999999999999,,,,,
2013-01-21,2.736,2.736,2.736,2.736,100,273.6,,,,,
2013-01-22,2.736,2.736,2.736,2.736,0,0.0,,,,,
2013-01-23,2.736,2.736,2.736,2.736,0,0.0,,,,,
2013-01-24,2.736,2.736,2.736,2.736,0,0.0,,,,,
2013-01-25,2.932,2.932,2.932,2.932,100,293.2,,,,,
2013-01-28,2.932,2.932,2.932,2.932,0,0.0,,,,,
2013-01-29,2.932,2.932,2.932,2.932,0,0.0,,,,,
2013-01-30,2.932,2.932,2.932,2.932,0,0.0,,,,,
2013-01-31,3.183,3.183,3.183,3.183,100,318.29999999999995,,,,,
2013-02-01,3.183,3.183,3.183,3.183,0,0.0,,,,,
2013-02-04,3.183,3.183,3.183,3.183,0,0.0,,,,,
2013-02-05,3.183,3.183,3.183,3.183,0,0.0,,,,,
2013-02-06,3.183,3.183,3.183,3.183,0,0.0,,,,,
2013-02-07,3.462,3.462,3.462,3.462,100,346.20000000000005,,,,,
2013-02-08,3.462,3.462,3.462,3.462,0,0.0,,,,,
2013-02-18,3.63,3.63,3.63,3.63,100,363.0,,,,,
2013-02-19,3.63,3.63,3.63,3.63,0,0.0,,,,,
2013-02-20,3.63,3.63,3.63,3.63,0,0.0,,,,,
2013-02-21,3.574,3.574,3.574,3.574,100,357.4,,,,,
2013-02-22,3.574,3.574,3.574,3.574,0,0.0,,,,,
2013-02-25,3.574,3.574,3.574,3.574,0,0.0,,,,,
2013-02-26,3.434,3.434,3.434,3.434,100,343.40000000000003,,,,,
2013-02-27,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-02-28,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-01,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-04,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-05,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-06,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-07,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-08,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-11,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-12,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-13,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-14,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-15,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-18,3.434,3.434,3.434,3.434,0,0.0,,,,,
2013-03-19,3.211,3.211,3.211,3.211,100,321.1,,,,,
2013-03-20,2.932,2.932,2.932,2.932,1200,3518.4,,,,,
2013-03-21,2.961,2.961,2.843,2.843,1500,4264.5,,,,,
2013-03-22,2.843,3.05,2.843,3.05,200,610.0,,,,,
2013-03-25,3.198,3.198,3.198,3.198,100,319.8,,,,,
2013-03-26,2.961,2.961,2.961,2.961,1200,3553.2,,,,,
2013-03-27,2.961,2.961,2.961,2.961,0,0.0,,,,,
2013-03-28,2.961,3.168,2.784,3.168,600,1900.8,,,,,
2013-03-29,3.168,3.198,3.168,3.198,800,2558.4,,,,,
2013-04-01,2.902,2.902,2.902,2.902,600,1741.2,,,,,
2013-04-02,2.843,2.843,2.843,2.843,300,852.9,,,,,
2013-04-03,2.843,2.843,2.843,2.843,0,0.0,,,,,
2013-04-04,2.843,2.843,2.843,2.843,0,0.0,,,,,
2013-04-05,2.843,2.843,2.843,2.843,0,0.0,,,,,
2013-04-08,2.784,3.02,2.784,3.02,400,1208.0,,,,,
2013-04-09,2.961,2.961,2.872,2.932,20900,61278.8,,,,,
2013-04-10,2.961,2.961,2.813,2.813,35400,99580.2,,,,,
2013-04-11,2.843,2.843,2.843,2.843,0,0.0,,,,,
2013-04-12,2.991,2.991,2.991,2.991,100,299.1,,,,,
2013-04-15,2.961,2.991,2.843,2.991,1200,3589.2000000000003,,,,,
2013-04-16,2.961,2.961,2.961,2.961,300,888.3,,,,,
2013-04-17,2.961,2.961,2.961,2.961,11400,33755.4,,,,,
2013-04-18,2.961,2.961,2.961,2.961,10500,31090.5,,,,,
2013-04-22,2.961,2.991,2.961,2.961,9000,26649.0,,,,,
2013-04-23,2.961,2.961,2.961,2.961,11000,32571.0,,,,,
2013-04-24,3.02,3.02,3.02,3.02,700,2114.0,,,,,
2013-04-25,3.02,3.05,3.02,3.05,9400,28670.0,,,,,
2013-04-26,3.05,3.05,3.05,3.05,100,305.0,,,,,
2013-05-02,3.02,3.02,3.02,3.02,6000,18120.0,,,,,
2013-05-03,3.05,3.05,3.02,3.05,17100,52155.0,,,,,
