time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.0,3.0,2.9,3.0,97380,292140.0,,,,,
2013-01-03,3.0,3.1,2.9,2.9,110240,319696.0,,,,,
2013-01-04,2.9,3.0,2.8,3.0,101420,304260.0,,,,,
2013-01-07,3.0,3.1,3.0,3.0,96260,288780.0,,,,,
2013-01-08,3.0,3.0,2.9,2.9,44220,128238.0,,,,,
2013-01-09,3.0,3.0,2.9,2.9,82980,240642.0,,,,,
2013-01-10,2.9,3.0,2.9,3.0,30,90.0,,,,,
2013-01-11,2.9,3.0,2.9,2.9,56120,162748.0,,,,,
2013-01-14,2.9,2.9,2.8,2.8,60470,169316.0,,,,,
2013-01-15,2.7,2.9,2.7,2.9,63310,183599.0,,,,,
2013-01-16,3.0,3.1,3.0,3.1,229230,710613.0,,,,,
2013-01-17,3.1,3.3,3.1,3.3,274660,906378.0,,,,,
2013-01-18,3.4,3.5,3.2,3.4,119850,407490.0,,,,,
2013-01-21,3.2,3.3,3.2,3.2,65890,210848.0,,,,,
2013-01-22,3.0,3.2,3.0,3.0,51630,154890.0,,,,,
2013-01-23,2.8,3.0,2.8,2.8,174000,487200.0,,,,,
2013-01-24,2.8,2.9,2.8,2.9,71230,206567.0,,,,,
2013-01-25,3.0,3.0,2.9,3.0,60270,180810.0,,,,,
2013-01-28,3.0,3.1,2.9,3.0,53660,160980.0,,,,,
2013-01-29,2.9,3.0,2.9,3.0,116900,350700.0,,,,,
2013-01-30,2.9,3.1,2.9,3.1,20840,64604.0,,,,,
2013-01-31,3.1,3.1,3.0,3.0,15390,46170.0,,,,,
2013-02-01,3.0,3.0,2.8,3.0,23410,70230.0,,,,,
2013-02-04,2.9,3.0,2.9,2.9,53850,156165.0,,,,,
2013-02-05,3.0,3.0,2.9,2.9,20010,58029.0,,,,,
2013-02-06,3.1,3.1,2.9,3.1,106330,329623.0,,,,,
2013-02-07,3.1,3.2,3.0,3.2,60860,194752.0,,,,,
2013-02-08,3.2,3.3,3.1,3.3,71570,236181.0,,,,,
2013-02-18,3.2,3.3,3.2,3.2,67360,215552.0,,,,,
2013-02-19,3.2,3.2,3.1,3.2,64860,207552.0,,,,,
2013-02-20,3.2,3.2,3.1,3.2,12370,39584.0,,,,,
2013-02-21,3.2,3.3,3.0,3.0,139700,419100.0,,,,,
2013-02-22,3.0,3.1,2.9,3.0,73720,221160.0,,,,,
2013-02-25,3.1,3.1,2.9,2.9,4350,12615.0,,,,,
2013-02-26,2.9,3.0,2.7,2.7,127650,344655.0,,,,,
2013-02-27,2.7,2.8,2.6,2.8,18620,52136.0,,,,,
2013-02-28,2.8,2.9,2.7,2.9,60830,176407.0,,,,,
2013-03-01,2.9,2.9,2.8,2.9,11340,32886.0,,,,,
2013-03-04,2.9,2.9,2.7,2.7,69600,187920.0,,,,,
2013-03-05,2.7,2.7,2.6,2.6,143610,373386.0,,,,,
2013-03-06,2.6,2.7,2.6,2.7,10230,27621.0,,,,,
2013-03-07,2.7,2.8,2.7,2.7,24300,65610.0,,,,,
2013-03-08,2.7,2.8,2.7,2.7,7930,21411.0,,,,,
2013-03-11,2.7,2.8,2.7,2.8,42310,118468.0,,,,,
2013-03-12,2.8,2.9,2.7,2.8,40630,113764.0,,,,,
2013-03-13,2.8,2.8,2.7,2.8,5490,15371.999999999998,,,,,
2013-03-14,2.8,2.9,2.7,2.9,73660,213614.0,,,,,
2013-03-15,2.8,2.9,2.8,2.9,5570,16153.0,,,,,
2013-03-18,2.8,2.9,2.8,2.9,2210,6409.0,,,,,
2013-03-19,2.8,2.9,2.8,2.9,25270,73283.0,,,,,
2013-03-20,2.7,2.9,2.7,2.9,850,2465.0,,,,,
2013-03-21,2.8,2.8,2.7,2.7,6490,17523.0,,,,,
2013-03-22,2.8,2.8,2.7,2.8,28400,79520.0,,,,,
2013-03-25,2.7,2.8,2.7,2.8,2570,7195.999999999999,,,,,
2013-03-26,2.8,2.8,2.7,2.7,7430,20061.0,,,,,
2013-03-27,2.8,2.8,2.7,2.7,14620,39474.0,,,,,
2013-03-28,2.7,2.7,2.6,2.6,24960,64896.0,,,,,
2013-03-29,2.6,2.6,2.5,2.6,11840,30784.0,,,,,
2013-04-01,2.6,2.7,2.6,2.7,48680,131436.0,,,,,
2013-04-02,2.7,2.8,2.6,2.8,25770,72156.0,,,,,
2013-04-03,2.8,2.8,2.7,2.7,23950,64665.00000000001,,,,,
2013-04-04,2.7,2.7,2.6,2.6,32090,83434.0,,,,,
2013-04-05,2.7,2.7,2.6,2.7,43490,117423.0,,,,,
2013-04-08,2.8,2.8,2.7,2.8,14850,41580.0,,,,,
2013-04-09,2.8,2.8,2.7,2.7,13680,36936.0,,,,,
2013-04-10,2.6,2.6,2.6,2.6,156990,408174.0,,,,,
2013-04-11,2.5,2.6,2.5,2.5,111920,279800.0,,,,,
2013-04-12,2.5,2.5,2.4,2.5,21280,53200.0,,,,,
2013-04-15,2.5,2.5,2.4,2.4,50940,122256.0,,,,,
2013-04-16,2.4,2.5,2.4,2.5,14140,35350.0,,,,,
2013-04-17,2.5,2.6,2.4,2.6,5720,14872.0,,,,,
2013-04-18,2.5,2.6,2.5,2.5,22080,55200.0,,,,,
2013-04-22,2.5,2.5,2.4,2.4,13590,32616.0,,,,,
2013-04-23,2.5,2.5,2.4,2.4,28720,68928.0,,,,,
2013-04-24,2.5,2.5,2.4,2.4,10500,25200.0,,,,,
2013-04-25,2.4,2.5,2.4,2.4,12850,30840.0,,,,,
2013-04-26,2.5,2.5,2.3,2.4,15580,37392.0,,,,,
2013-05-02,2.4,2.4,2.3,2.3,10960,25208.0,,,,,
2013-05-03,2.4,2.4,2.3,2.4,2820,6768.0,,,,,
2013-05-06,2.3,2.5,2.3,2.4,37180,89232.0,,,,,
2013-05-07,2.4,2.4,2.3,2.4,15790,37896.0,,,,,
2013-05-08,2.4,2.4,2.3,2.4,15160,36384.0,,,,,
2013-05-09,2.4,2.4,2.4,2.4,12910,30984.0,,,,,
2013-05-10,2.4,2.4,2.4,2.4,1540,3696.0,,,,,
2013-05-13,2.4,2.5,2.4,2.4,10510,25224.0,,,,,
2013-05-14,2.4,2.4,2.3,2.3,28400,65319.99999999999,,,,,
2013-05-15,2.4,2.4,2.3,2.3,2680,6163.999999999999,,,,,
2013-05-16,2.3,2.4,2.3,2.3,12310,28313.0,,,,,
2013-05-17,2.4,2.4,2.3,2.4,1520,3648.0,,,,,
2013-05-20,2.3,2.4,2.3,2.3,3930,9039.0,,,,,
2013-05-21,2.3,2.4,2.3,2.3,18930,43539.0,,,,,
2013-05-22,2.3,2.3,2.3,2.3,12730,29279.0,,,,,
2013-05-23,2.3,2.4,2.2,2.2,16010,35222.0,,,,,
2013-05-24,2.3,2.3,2.2,2.3,11460,26358.0,,,,,
2013-05-27,2.3,2.4,2.3,2.3,44200,101660.0,,,,,
2013-05-28,2.4,2.4,2.2,2.3,20490,47126.99999999999,,,,,
2013-05-29,2.3,2.4,2.2,2.3,49300,113390.0,,,,,
2013-05-30,2.3,2.4,2.2,2.3,29170,67091.0,,,,,
2013-05-31,2.3,2.4,2.3,2.4,36130,86712.0,,,,,
2013-06-03,2.3,2.4,2.3,2.4,28260,67824.0,,,,,
2013-06-04,2.4,2.4,2.3,2.3,29290,67367.0,,,,,
2013-06-05,2.3,2.4,2.2,2.3,20800,47839.99999999999,,,,,
2013-06-06,2.3,2.4,2.3,2.3,16950,38985.0,,,,,
2013-06-07,2.3,2.4,2.2,2.4,167680,402432.0,,,,,
2013-06-10,2.4,2.5,2.3,2.5,48540,121350.0,,,,,
2013-06-11,2.5,2.5,2.4,2.5,54240,135600.0,,,,,
2013-06-12,2.5,2.5,2.4,2.4,47120,113088.0,,,,,
2013-06-13,2.3,2.4,2.3,2.3,105360,242328.0,,,,,
2013-06-14,2.3,2.4,2.2,2.3,18250,41975.0,,,,,
2013-06-17,2.3,2.3,2.2,2.2,35530,78166.0,,,,,
2013-06-18,2.2,2.3,2.2,2.2,18910,41602.0,,,,,
2013-06-19,2.3,2.3,2.2,2.3,10690,24587.0,,,,,
2013-06-20,2.3,2.4,2.2,2.3,23420,53865.99999999999,,,,,
2013-06-21,2.2,2.3,2.2,2.3,15840,36432.0,,,,,
2013-06-24,2.2,2.3,2.2,2.2,7790,17138.0,,,,,
2013-06-25,2.2,2.2,2.1,2.2,54770,120494.0,,,,,
2013-06-26,2.1,2.2,2.1,2.1,56120,117852.0,,,,,
2013-06-27,2.1,2.2,2.1,2.2,22010,48422.00000000001,,,,,
2013-06-28,2.1,2.3,2.1,2.2,9230,20306.0,,,,,
2013-07-01,2.1,2.2,2.1,2.1,18270,38367.0,,,,,
2013-07-02,2.2,2.2,2.1,2.2,20610,45342.00000000001,,,,,
2013-07-03,2.1,2.3,2.1,2.2,51230,112706.0,,,,,
2013-07-04,2.2,2.2,2.1,2.2,1020,2244.0,,,,,
2013-07-05,2.2,2.2,2.1,2.1,17660,37086.0,,,,,
2013-07-08,2.1,2.2,2.1,2.1,11080,23268.0,,,,,
2013-07-09,2.1,2.2,2.0,2.1,4320,9072.0,,,,,
2013-07-10,2.2,2.2,2.1,2.1,11610,24381.0,,,,,
2013-07-11,2.1,2.2,2.1,2.2,5160,11352.000000000002,,,,,
2013-07-12,2.1,2.2,2.1,2.2,7830,17226.0,,,,,
2013-07-15,2.1,2.2,2.1,2.2,2540,5588.0,,,,,
2013-07-16,2.1,2.2,2.1,2.1,16540,34734.0,,,,,
2013-07-17,2.2,2.2,2.1,2.1,14090,29589.0,,,,,
2013-07-18,2.1,2.2,2.1,2.1,12570,26397.0,,,,,
2013-07-19,2.2,2.2,2.1,2.1,3810,8001.0,,,,,
2013-07-22,2.1,2.2,2.1,2.2,5360,11792.000000000002,,,,,
2013-07-23,2.1,2.2,2.1,2.2,890,1958.0,,,,,
2013-07-24,2.2,2.2,2.1,2.1,5910,12411.0,,,,,
2013-07-25,2.0,2.1,2.0,2.0,22830,45660.0,,,,,
2013-07-26,1.9,2.0,1.9,1.9,99510,189069.0,,,,,
2013-07-29,1.8,1.9,1.8,1.9,32620,61978.0,,,,,
2013-07-30,1.9,1.9,1.8,1.9,36700,69730.0,,,,,
2013-07-31,1.9,1.9,1.8,1.9,6540,12426.0,,,,,
2013-08-01,1.8,1.9,1.8,1.8,83640,150552.0,,,,,
2013-08-02,1.8,1.8,1.7,1.7,42030,71451.0,,,,,
2013-08-05,1.7,1.8,1.7,1.8,20150,36270.0,,,,,
2013-08-06,1.8,1.8,1.7,1.7,60530,102901.0,,,,,
2013-08-07,1.7,1.8,1.7,1.8,2940,5292.0,,,,,
2013-08-08,1.7,1.8,1.7,1.8,1840,3312.0,,,,,
2013-08-09,1.8,1.8,1.7,1.7,5580,9486.0,,,,,
2013-08-12,1.7,1.8,1.7,1.7,15550,26435.0,,,,,
2013-08-13,1.7,1.7,1.7,1.7,4210,7157.0,,,,,
2013-08-14,1.7,1.8,1.7,1.8,4580,8244.0,,,,,
2013-08-15,1.7,1.9,1.7,1.9,59980,113962.0,,,,,
2013-08-16,1.8,1.9,1.8,1.8,8790,15822.0,,,,,
2013-08-19,1.8,1.9,1.8,1.9,63170,120023.0,,,,,
2013-08-20,1.9,2.0,1.8,2.0,20390,40780.0,,,,,
2013-08-21,1.9,1.9,1.9,1.9,7400,14060.0,,,,,
2013-08-22,1.9,2.0,1.9,1.9,9220,17518.0,,,,,
2013-08-23,1.9,2.0,1.9,2.0,8750,17500.0,,,,,
2013-08-26,1.9,2.0,1.9,2.0,11300,22600.0,,,,,
2013-08-27,1.9,2.0,1.9,1.9,9290,17651.0,,,,,
2013-08-28,1.9,2.0,1.8,1.9,29310,55689.0,,,,,
2013-08-29,1.8,2.0,1.8,1.8,9100,16380.0,,,,,
2013-08-30,1.9,1.9,1.8,1.9,2660,5054.0,,,,,
2013-09-03,1.8,1.9,1.8,1.8,5960,10728.0,,,,,
2013-09-04,1.8,1.8,1.8,1.8,3750,6750.0,,,,,
2013-09-05,1.8,1.9,1.8,1.8,7390,13302.0,,,,,
2013-09-06,1.8,1.8,1.8,1.8,3440,6192.0,,,,,
2013-09-09,1.8,1.9,1.8,1.9,39900,75810.0,,,,,
2013-09-10,1.9,1.9,1.8,1.8,15010,27018.0,,,,,
2013-09-11,1.8,1.9,1.8,1.9,39900,75810.0,,,,,
2013-09-12,1.9,2.0,1.8,1.8,1810,3258.0,,,,,
2013-09-13,1.9,1.9,1.9,1.9,18860,35834.0,,,,,
2013-09-16,2.0,2.0,1.9,2.0,17400,34800.0,,,,,
2013-09-17,2.0,2.0,1.9,2.0,27440,54880.0,,,,,
2013-09-18,1.9,2.0,1.9,2.0,8790,17580.0,,,,,
2013-09-19,1.9,1.9,1.9,1.9,5240,9956.0,,,,,
2013-09-20,1.8,1.9,1.8,1.8,9490,17082.0,,,,,
2013-09-23,1.8,1.9,1.8,1.9,3240,6156.0,,,,,
2013-09-24,1.8,1.9,1.8,1.8,12580,22644.0,,,,,
2013-09-25,1.8,1.9,1.8,1.9,2970,5643.0,,,,,
2013-09-26,1.9,2.0,1.9,1.9,15940,30286.0,,,,,
2013-09-27,2.0,2.0,1.9,1.9,2810,5339.0,,,,,
2013-09-30,1.9,2.0,1.8,2.0,16990,33980.0,,,,,
2013-10-01,2.0,2.0,1.9,2.0,13950,27900.0,,,,,
2013-10-02,1.9,2.0,1.9,2.0,6410,12820.0,,,,,
2013-10-03,2.0,2.0,1.9,1.9,10690,20311.0,,,,,
2013-10-04,1.9,1.9,1.8,1.9,10280,19532.0,,,,,
2013-10-07,1.8,2.0,1.8,1.9,18740,35606.0,,,,,
2013-10-08,1.9,2.0,1.9,2.0,56350,112700.0,,,,,
2013-10-09,2.0,2.1,1.9,2.0,59390,118780.0,,,,,
2013-10-10,2.0,2.0,1.9,1.9,25250,47975.0,,,,,
2013-10-11,2.0,2.0,1.8,1.9,6960,13224.0,,,,,
2013-10-14,1.9,2.0,1.8,1.9,7310,13889.0,,,,,
2013-10-15,1.9,1.9,1.8,1.9,9000,17100.0,,,,,
2013-10-16,1.8,2.0,1.8,2.0,9560,19120.0,,,,,
2013-10-17,2.0,2.0,1.9,1.9,19680,37392.0,,,,,
2013-10-18,1.9,2.0,1.8,2.0,29540,59080.0,,,,,
2013-10-21,1.9,2.0,1.9,1.9,22420,42598.0,,,,,
2013-10-22,1.9,2.0,1.9,1.9,4410,8379.0,,,,,
2013-10-23,1.9,2.0,1.9,2.0,2070,4140.0,,,,,
2013-10-24,2.0,2.0,1.9,1.9,2170,4123.0,,,,,
2013-10-25,1.9,2.0,1.8,1.9,56220,106818.0,,,,,
2013-10-28,1.9,1.9,1.8,1.8,17180,30924.0,,,,,
2013-10-29,1.8,1.9,1.8,1.9,19740,37506.0,,,,,
2013-10-30,1.9,2.0,1.8,1.9,19970,37943.0,,,,,
2013-10-31,1.9,2.0,1.9,1.9,12880,24472.0,,,,,
2013-11-01,1.9,1.9,1.8,1.9,10080,19152.0,,,,,
2013-11-04,1.9,2.0,1.9,1.9,10960,20824.0,,,,,
2013-11-05,1.9,2.0,1.8,2.0,35910,71820.0,,,,,
2013-11-06,2.0,2.0,1.9,2.0,8460,16920.0,,,,,
2013-11-07,1.9,2.0,1.9,1.9,31130,59147.0,,,,,
2013-11-08,1.9,2.0,1.9,2.0,18580,37160.0,,,,,
2013-11-11,2.0,2.1,1.9,2.1,128720,270312.0,,,,,
2013-11-12,2.1,2.1,2.0,2.0,86990,173980.0,,,,,
2013-11-13,2.0,2.1,2.0,2.0,13130,26260.0,,,,,
2013-11-14,1.9,2.1,1.9,2.1,147450,309645.0,,,,,
2013-11-15,2.2,2.2,2.1,2.2,182650,401830.00000000006,,,,,
2013-11-18,2.3,2.3,2.2,2.3,104620,240626.0,,,,,
2013-11-19,2.4,2.4,2.3,2.4,351290,843096.0,,,,,
2013-11-20,2.5,2.5,2.5,2.5,8900,22250.0,,,,,
2013-11-21,2.6,2.6,2.6,2.6,19270,50102.0,,,,,
2013-11-22,2.7,2.7,2.7,2.7,304580,822366.0,,,,,
2013-11-25,2.8,2.8,2.8,2.8,12270,34356.0,,,,,
2013-11-26,2.9,2.9,2.9,2.9,27760,80504.0,,,,,
2013-11-27,3.1,3.1,3.1,3.1,127340,394754.0,,,,,
2013-11-28,3.3,3.3,3.3,3.3,129160,426228.0,,,,,
2013-11-29,3.5,3.5,3.3,3.5,1361010,4763535.0,,,,,
2013-12-02,3.5,3.5,3.3,3.3,236470,780351.0,,,,,
2013-12-03,3.1,3.5,3.1,3.5,299030,1046605.0,,,,,
2013-12-04,3.4,3.4,3.3,3.4,361800,1230120.0,,,,,
2013-12-05,3.4,3.4,3.2,3.2,218260,698432.0,,,,,
2013-12-06,3.1,3.2,3.0,3.0,109730,329190.0,,,,,
2013-12-09,2.8,3.0,2.8,2.8,709070,1985396.0,,,,,
2013-12-10,2.7,2.8,2.7,2.7,120580,325566.0,,,,,
2013-12-11,2.6,2.7,2.6,2.6,117120,304512.0,,,,,
2013-12-12,2.5,2.6,2.5,2.5,172990,432475.0,,,,,
2013-12-13,2.5,2.6,2.4,2.6,157840,410384.0,,,,,
2013-12-16,2.7,2.7,2.7,2.7,59190,159813.0,,,,,
2013-12-17,2.8,2.8,2.8,2.8,34400,96320.0,,,,,
2013-12-18,2.9,2.9,2.8,2.9,309660,898014.0,,,,,
2013-12-19,3.0,3.0,2.8,2.9,202720,587888.0,,,,,
2013-12-20,2.8,2.9,2.8,2.8,89070,249396.0,,,,,
2013-12-23,2.7,2.9,2.7,2.8,110710,309988.0,,,,,
2013-12-24,2.8,2.8,2.7,2.8,15290,42812.0,,,,,
2013-12-25,2.7,2.8,2.7,2.7,144820,391014.0,,,,,
2013-12-26,2.7,2.8,2.6,2.8,153090,428652.0,,,,,
2013-12-27,2.7,2.8,2.7,2.7,167110,451197.00000000006,,,,,
2013-12-30,2.7,2.8,2.6,2.6,334920,870792.0,,,,,
2013-12-31,2.6,2.7,2.5,2.7,103960,280692.0,,,,,
2014-01-02,2.7,2.7,2.6,2.7,56400,152280.0,,,,,
2014-01-03,2.6,2.7,2.6,2.7,10670,28809.000000000004,,,,,
2014-01-06,2.8,2.8,2.6,2.8,72420,202776.0,,,,,
2014-01-07,2.8,2.8,2.7,2.7,84690,228663.00000000003,,,,,
2014-01-08,2.7,2.7,2.6,2.7,161480,435996.0,,,,,
2014-01-09,2.7,2.8,2.6,2.8,212380,594664.0,,,,,
2014-01-10,2.9,2.9,2.9,2.9,192190,557351.0,,,,,
2014-01-13,2.8,2.8,2.7,2.8,75740,212072.0,,,,,
2014-01-14,2.7,2.9,2.7,2.7,98750,266625.0,,,,,
2014-01-15,2.8,2.8,2.6,2.8,51550,144340.0,,,,,
2014-01-16,2.7,2.8,2.7,2.8,73670,206276.0,,,,,
2014-01-17,2.7,2.7,2.7,2.7,46720,126144.0,,,,,
2014-01-20,2.6,2.7,2.6,2.6,151820,394732.0,,,,,
2014-01-21,2.5,2.7,2.5,2.7,76590,206793.0,,,,,
2014-01-22,2.7,2.7,2.6,2.6,134780,350428.0,,,,,
2014-01-23,2.6,2.7,2.5,2.6,118320,307632.0,,,,,
2014-01-24,2.6,2.7,2.6,2.7,138020,372654.0,,,,,
2014-01-27,2.7,2.8,2.7,2.8,106760,298928.0,,,,,
2014-02-06,2.7,2.8,2.7,2.8,173770,486556.0,,,,,
2014-02-07,2.8,2.8,2.7,2.8,99870,279636.0,,,,,
2014-02-10,2.8,2.9,2.7,2.9,93600,271440.0,,,,,
2014-02-11,2.8,2.9,2.7,2.8,216290,605612.0,,,,,
2014-02-12,2.8,2.9,2.7,2.9,32470,94163.0,,,,,
2014-02-13,2.9,2.9,2.7,2.8,80880,226464.0,,,,,
2014-02-14,2.8,2.9,2.7,2.8,111610,312508.0,,,,,
2014-02-17,2.8,2.9,2.7,2.8,63490,177772.0,,,,,
2014-02-18,2.8,2.9,2.7,2.8,38440,107632.0,,,,,
2014-02-19,2.7,2.8,2.7,2.7,278000,750600.0,,,,,
2014-02-20,2.6,2.6,2.6,2.6,72020,187252.0,,,,,
2014-02-21,2.5,2.5,2.5,2.5,89600,224000.0,,,,,
2014-02-24,2.4,2.6,2.4,2.4,434140,1041936.0,,,,,
2014-02-25,2.4,2.5,2.3,2.4,81660,195984.0,,,,,
2014-02-26,2.4,2.5,2.4,2.5,232150,580375.0,,,,,
2014-02-27,2.6,2.6,2.6,2.6,128520,334152.0,,,,,
2014-02-28,2.7,2.7,2.6,2.7,588270,1588329.0,,,,,
2014-03-03,2.7,2.7,2.6,2.6,299410,778466.0,,,,,
2014-03-04,2.6,2.7,2.6,2.7,84840,229068.00000000003,,,,,
2014-03-05,2.6,2.7,2.6,2.6,139630,363038.0,,,,,
2014-03-06,2.6,2.7,2.5,2.6,81620,212212.0,,,,,
2014-03-07,2.6,2.7,2.5,2.6,64130,166738.0,,,,,
2014-03-10,2.6,2.7,2.6,2.7,161160,435132.0,,,,,
2014-03-11,2.7,2.7,2.6,2.6,374710,974246.0,,,,,
