time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,5.028,5.099,5.028,5.099,221930,1131621.07,,,,,
2013-01-03,5.243,5.314,5.099,5.171,461320,2385485.72,,,,,
2013-01-04,5.028,5.384,5.028,5.243,242280,1270274.04,,,,,
2013-01-07,5.314,5.384,5.099,5.099,284130,1448778.87,,,,,
2013-01-08,5.099,5.099,4.954,5.099,261470,1333235.53,,,,,
2013-01-09,5.171,5.243,4.883,4.883,394050,1924146.15,,,,,
2013-01-10,4.883,4.954,4.739,4.739,185240,877852.36,,,,,
2013-01-11,4.954,4.954,4.883,4.883,266780,1302686.74,,,,,
2013-01-14,4.883,5.028,4.739,4.954,82570,409051.78,,,,,
2013-01-15,4.954,5.243,4.954,5.171,187110,967545.81,,,,,
2013-01-16,5.171,5.457,5.171,5.243,350970,1840135.71,,,,,
2013-01-17,5.243,5.314,4.883,4.883,157600,769560.8,,,,,
2013-01-18,4.883,5.171,4.883,4.954,249930,1238153.22,,,,,
2013-01-21,5.099,5.099,4.883,5.028,38260,192371.28,,,,,
2013-01-22,5.099,5.099,4.739,4.739,173490,822169.11,,,,,
2013-01-23,4.883,4.954,4.596,4.596,175040,804483.84,,,,,
2013-01-24,4.739,4.883,4.596,4.81,99480,478498.8,,,,,
2013-01-25,4.883,5.099,4.81,4.883,319840,1561778.72,,,,,
2013-01-28,4.954,5.171,4.954,5.028,295570,1486125.96,,,,,
2013-01-29,5.171,5.171,4.954,5.028,32930,165572.03999999998,,,,,
2013-01-30,5.028,5.099,4.954,5.028,94840,476855.52,,,,,
2013-01-31,4.954,5.099,4.883,4.883,140130,684254.79,,,,,
2013-02-01,4.883,5.028,4.81,4.81,169520,815391.2,,,,,
2013-02-04,4.81,4.954,4.81,4.81,114790,552139.8999999999,,,,,
2013-02-05,4.81,4.883,4.81,4.81,33070,159066.69999999998,,,,,
2013-02-06,4.81,5.028,4.81,4.883,55380,270420.54,,,,,
2013-02-07,4.954,5.028,4.954,5.028,73340,368753.52,,,,,
2013-02-08,5.028,5.099,4.954,5.028,85850,431653.8,,,,,
2013-02-18,5.243,5.314,5.171,5.243,109490,574056.0700000001,,,,,
2013-02-19,5.243,5.384,5.171,5.314,166870,886747.18,,,,,
2013-02-20,5.314,5.384,5.171,5.384,160930,866447.1200000001,,,,,
2013-02-21,5.384,5.744,5.028,5.028,408520,2054038.56,,,,,
2013-02-22,5.314,5.314,4.81,4.81,150540,724097.3999999999,,,,,
2013-02-25,4.81,5.099,4.81,5.028,115890,582694.9199999999,,,,,
2013-02-26,4.954,4.954,4.81,4.81,119080,572774.7999999999,,,,,
2013-02-27,5.028,5.028,4.739,4.81,108130,520105.29999999993,,,,,
2013-02-28,5.099,5.099,4.954,4.954,291010,1441663.54,,,,,
2013-03-01,5.028,5.099,4.954,4.954,109610,543007.94,,,,,
2013-03-04,5.028,5.028,4.739,4.81,216090,1039392.9,,,,,
2013-03-05,4.954,4.954,4.739,4.81,95640,460028.4,,,,,
2013-03-06,4.81,4.954,4.81,4.883,97660,476873.78,,,,,
2013-03-07,4.883,4.883,4.81,4.81,49290,237084.9,,,,,
2013-03-08,4.81,4.883,4.81,4.883,121120,591428.96,,,,,
2013-03-11,4.954,5.099,4.954,5.099,150540,767603.4600000001,,,,,
2013-03-12,5.099,5.171,4.954,5.099,46460,236899.54,,,,,
2013-03-13,5.171,5.171,4.954,5.028,74240,373278.72,,,,,
2013-03-14,4.954,5.099,4.954,5.028,58010,291674.28,,,,,
2013-03-15,5.028,5.243,5.028,5.243,243130,1274730.59,,,,,
2013-03-18,5.243,5.243,5.028,5.171,62680,324118.28,,,,,
2013-03-19,5.099,5.171,5.028,5.171,50450,260876.95,,,,,
2013-03-20,5.171,5.171,5.099,5.099,27210,138743.79,,,,,
2013-03-21,5.028,5.099,4.954,5.099,86660,441879.34,,,,,
2013-03-22,5.099,5.099,4.883,4.883,141540,691139.82,,,,,
2013-03-25,4.883,4.954,4.883,4.954,22470,111316.38,,,,,
2013-03-26,4.954,4.954,4.883,4.954,44120,218570.48,,,,,
2013-03-27,4.954,4.954,4.883,4.954,19490,96553.46,,,,,
2013-03-28,4.954,5.028,4.883,4.883,38490,187946.67,,,,,
2013-03-29,5.028,5.028,4.81,4.883,33240,162310.92,,,,,
2013-04-01,4.883,4.954,4.81,4.954,54070,267862.78,,,,,
2013-04-02,4.954,5.028,4.954,4.954,77500,383935.0,,,,,
2013-04-03,4.954,4.954,4.883,4.883,42820,209090.06,,,,,
2013-04-04,4.883,4.954,4.81,4.883,71600,349622.8,,,,,
2013-04-05,4.954,4.954,4.883,4.954,45970,227735.38,,,,,
2013-04-08,4.883,5.028,4.883,4.954,60900,301698.6,,,,,
2013-04-09,4.954,5.028,4.954,4.954,36480,180721.92,,,,,
2013-04-10,5.028,5.028,4.883,4.954,52490,260035.46,,,,,
2013-04-11,4.954,4.954,4.883,4.954,41340,204798.36,,,,,
2013-04-12,4.883,4.954,4.739,4.739,52540,248987.06,,,,,
2013-04-15,4.883,4.883,4.667,4.667,16350,76305.45,,,,,
2013-04-16,4.596,4.739,4.596,4.739,31030,147051.16999999998,,,,,
2013-04-17,4.968,5.046,4.892,4.892,37950,185651.4,,,,,
2013-04-18,4.815,4.815,4.662,4.662,39270,183076.74,,,,,
2013-04-22,4.587,4.815,4.587,4.815,226770,1091897.55,,,,,
2013-04-23,4.739,4.892,4.739,4.892,140140,685564.88,,,,,
2013-04-24,4.739,4.892,4.739,4.739,32050,151884.94999999998,,,,,
2013-04-25,4.892,4.892,4.739,4.892,7050,34488.600000000006,,,,,
2013-04-26,4.815,4.815,4.587,4.815,32600,156969.0,,,,,
2013-05-02,4.739,4.815,4.739,4.815,40850,196692.75000000003,,,,,
2013-05-03,4.815,4.815,4.739,4.815,131620,633750.3,,,,,
2013-05-06,4.815,5.046,4.815,5.046,207090,1044976.14,,,,,
2013-05-07,5.046,5.122,4.892,4.892,72730,355795.16000000003,,,,,
2013-05-08,4.968,4.968,4.892,4.968,54470,270606.96,,,,,
2013-05-09,4.968,5.046,4.815,4.815,97690,470377.35,,,,,
2013-05-10,4.892,4.968,4.892,4.968,19330,96031.44,,,,,
2013-05-13,4.968,4.968,4.892,4.968,41100,204184.8,,,,,
2013-05-14,4.968,4.968,4.739,4.739,53500,253536.5,,,,,
2013-05-15,4.739,4.892,4.739,4.815,80410,387174.15,,,,,
2013-05-16,4.739,4.892,4.739,4.892,48940,239414.48,,,,,
2013-05-17,4.892,4.892,4.815,4.892,33110,161974.12000000002,,,,,
2013-05-20,4.892,4.968,4.815,4.968,77510,385069.68,,,,,
2013-05-21,4.968,5.046,4.892,4.968,173480,861848.64,,,,,
2013-05-22,4.968,5.046,4.892,4.968,213230,1059326.64,,,,,
2013-05-23,5.046,5.122,4.892,5.046,191460,966107.16,,,,,
2013-05-24,5.046,5.198,5.046,5.122,204450,1047192.9,,,,,
2013-05-27,5.198,5.351,5.198,5.198,263460,1369465.08,,,,,
2013-05-28,5.274,5.274,5.122,5.198,149240,775749.52,,,,,
2013-05-29,5.198,5.274,5.122,5.122,207830,1064505.26,,,,,
2013-05-30,5.046,5.198,5.046,5.198,202710,1053686.58,,,,,
2013-05-31,5.198,5.351,5.198,5.351,285900,1529850.9,,,,,
2013-06-03,5.351,5.428,5.274,5.274,184470,972894.78,,,,,
2013-06-04,5.274,5.351,5.122,5.122,268640,1375974.08,,,,,
2013-06-05,5.198,5.274,5.046,5.274,233750,1232797.5,,,,,
