time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-05-19 01:00:00,14.2,14.2,14.2,14.2,100,1420.0,,,,,
2017-05-22 01:00:00,14.2,14.2,14.2,14.2,0,0.0,,,,,
2017-05-23 01:00:00,14.2,14.2,14.2,14.2,0,0.0,,,,,
2017-05-24 01:00:00,16.3,16.3,16.3,16.3,100,1630.0,,,,,
2017-05-25 01:00:00,18.7,18.7,18.7,18.7,100,1870.0,,,,,
2017-05-26 01:00:00,21.5,21.5,21.5,21.5,100,2150.0,,,,,
2017-05-29 01:00:00,24.7,24.7,24.7,24.7,100,2470.0,,,,,
2017-05-30 01:00:00,28.4,28.4,28.4,28.4,5120,145408.0,,,,,
2017-05-31 01:00:00,32.6,32.6,32.6,32.6,1510,49226.0,,,,,
2017-06-01 01:00:00,37.4,37.4,34.7,37.4,3230,120802.0,,,,,
2017-06-02 01:00:00,30.7,35.0,30.7,35.0,220,7700.0,,,,,
2017-06-05 01:00:00,28.6,28.6,28.5,28.6,510,14586.0,,,,,
2017-06-06 01:00:00,25.0,28.5,24.4,28.5,12220,348270.0,,,,,
2017-06-07 01:00:00,24.0,24.0,22.0,22.0,3950,86900.0,,,,,
2017-06-08 01:00:00,20.0,26.0,20.0,26.0,1400,36400.0,,,,,
2017-06-09 01:00:00,24.7,25.0,24.7,25.0,9410,235250.0,,,,,
2017-06-12 01:00:00,25.0,25.0,24.8,24.8,4105,101804.0,,,,,
2017-06-13 01:00:00,24.8,24.8,24.8,24.8,0,0.0,,,,,
2017-06-14 01:00:00,24.8,24.8,24.7,24.7,2400,59280.0,,,,,
2017-06-15 01:00:00,25.0,25.0,24.0,25.0,10270,256750.0,,,,,
2017-06-16 01:00:00,24.0,25.5,24.0,24.0,10775,258600.0,,,,,
2017-06-19 01:00:00,24.0,24.0,24.0,24.0,5955,142920.0,,,,,
2017-06-20 01:00:00,24.0,24.0,24.0,24.0,6850,164400.0,,,,,
2017-06-21 01:00:00,23.5,23.5,23.0,23.0,1300,29900.0,,,,,
2017-06-22 01:00:00,23.7,23.8,23.7,23.7,300,7110.0,,,,,
2017-06-23 01:00:00,23.0,23.0,23.0,23.0,4100,94300.0,,,,,
2017-06-26 01:00:00,22.5,22.5,22.5,22.5,2810,63225.0,,,,,
2017-06-27 01:00:00,22.5,22.5,21.5,21.5,4100,88150.0,,,,,
2017-06-28 01:00:00,21.1,21.5,21.0,21.1,9600,202560.0,,,,,
2017-06-29 01:00:00,20.7,20.7,20.5,20.5,2200,45100.0,,,,,
2017-06-30 01:00:00,19.1,19.1,18.5,18.5,2995,55407.5,,,,,
2017-07-03 01:00:00,18.7,18.7,18.5,18.5,12905,238742.5,,,,,
2017-07-04 01:00:00,18.6,18.6,18.6,18.6,300,5580.0,,,,,
2017-07-05 01:00:00,17.1,18.2,17.1,17.2,13510,232372.0,,,,,
2017-07-06 01:00:00,16.6,16.6,15.6,15.6,5860,91416.0,,,,,
2017-07-07 01:00:00,16.3,16.3,16.3,16.3,625,10187.5,,,,,
2017-07-10 01:00:00,16.2,16.2,16.0,16.0,400,6400.0,,,,,
2017-07-11 01:00:00,15.9,15.9,15.7,15.7,400,6280.0,,,,,
2017-07-12 01:00:00,15.0,15.0,15.0,15.0,150,2250.0,,,,,
2017-07-13 01:00:00,15.0,15.0,15.0,15.0,100,1500.0,,,,,
2017-07-14 01:00:00,15.6,17.2,15.6,17.2,600,10320.0,,,,,
2017-07-17 01:00:00,18.2,18.2,18.2,18.2,260,4732.0,,,,,
2017-07-18 01:00:00,18.2,18.2,18.2,18.2,0,0.0,,,,,
2017-07-19 01:00:00,18.2,18.2,18.2,18.2,0,0.0,,,,,
2017-07-20 01:00:00,18.2,18.2,18.2,18.2,0,0.0,,,,,
2017-07-21 01:00:00,18.0,18.0,18.0,18.0,200,3600.0,,,,,
2017-07-24 01:00:00,18.0,18.0,18.0,18.0,0,0.0,,,,,
