time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-11-01 00:00:00,8.009,8.009,8.009,8.009,0,0.0,,,,,
2018-11-02 00:00:00,8.009,8.009,8.009,8.009,0,0.0,,,,,
2018-11-05 00:00:00,8.009,8.009,8.009,8.009,0,0.0,,,,,
2018-11-06 00:00:00,11.203,11.203,11.203,11.203,100,1120.3,,,,,
2018-11-07 00:00:00,12.875,12.875,12.875,12.875,500,6437.5,,,,,
2018-11-08 00:00:00,14.802,14.802,14.802,14.802,100,1480.2,,,,,
2018-11-09 00:00:00,16.981,16.981,16.981,16.981,300,5094.3,,,,,
2018-11-12 00:00:00,19.516,19.516,19.516,19.516,100,1951.6,,,,,
2018-11-13 00:00:00,16.627,19.516,16.627,16.627,1600,26603.2,,,,,
2018-11-14 00:00:00,14.345,16.728,14.345,16.728,5100,85312.8,,,,,
2018-11-15 00:00:00,14.193,17.235,14.193,15.258,6700,102228.6,,,,,
2018-11-16 00:00:00,14.244,16.728,14.244,16.728,1400,23419.2,,,,,
2018-11-19 00:00:00,14.65,14.65,14.65,14.65,100,1465.0,,,,,
2018-11-20 00:00:00,12.47,12.47,12.47,12.47,1000,12470.0,,,,,
2018-11-21 00:00:00,14.295,14.295,14.295,14.295,100,1429.5,,,,,
2018-11-22 00:00:00,12.216,16.424,12.216,16.424,11848,194591.552,,,,,
2018-11-23 00:00:00,16.17,16.17,12.723,12.723,1500,19084.5,,,,,
2018-11-26 00:00:00,13.889,13.889,13.889,13.889,0,0.0,,,,,
2018-11-27 00:00:00,12.166,12.166,12.166,12.166,100,1216.6,,,,,
2018-11-28 00:00:00,12.166,12.166,12.166,12.166,35,425.81,,,,,
2018-11-29 00:00:00,12.166,12.166,12.166,12.166,0,0.0,,,,,
2018-11-30 00:00:00,13.991,13.991,13.991,13.991,100,1399.1,,,,,
2018-12-03 00:00:00,16.069,16.069,16.069,16.069,2800,44993.2,,,,,
2018-12-04 00:00:00,13.687,18.451,13.687,18.249,8948,163292.052,,,,,
2018-12-05 00:00:00,15.511,15.511,15.511,15.511,100,1551.1,,,,,
2018-12-06 00:00:00,15.258,17.792,13.534,15.765,1400,22071.0,,,,,
2018-12-07 00:00:00,18.705,18.705,16.322,18.705,4200,78561.0,,,,,
2018-12-10 00:00:00,15.765,15.765,15.765,15.765,1010,15922.65,,,,,
2018-12-11 00:00:00,14.295,14.295,14.295,14.295,100,1429.5,,,,,
2018-12-12 00:00:00,14.295,14.295,14.295,14.295,0,0.0,,,,,
2018-12-13 00:00:00,14.295,14.295,14.295,14.295,3,42.885,,,,,
2018-12-14 00:00:00,15.714,16.424,13.585,13.585,2400,32604.000000000004,,,,,
2018-12-17 00:00:00,15.207,15.207,15.207,15.207,0,0.0,,,,,
2018-12-18 00:00:00,15.207,15.207,15.207,15.207,10,152.07,,,,,
2018-12-19 00:00:00,17.488,17.488,15.461,15.461,700,10822.7,,,,,
2018-12-20 00:00:00,18.756,18.756,18.756,18.756,28740,539047.4400000001,,,,,
2018-12-21 00:00:00,18.806,18.908,18.806,18.908,4400,83195.20000000001,,,,,
2018-12-24 00:00:00,16.018,18.857,16.018,18.857,10010,188758.57,,,,,
2018-12-25 00:00:00,18.756,18.958,18.756,18.908,20000,378160.0,,,,,
2018-12-26 00:00:00,18.908,18.908,17.742,17.742,6000,106452.0,,,,,
2018-12-27 00:00:00,18.604,19.009,18.502,18.756,17200,322603.2,,,,,
2018-12-28 00:00:00,18.401,18.756,18.401,18.756,15000,281340.0,,,,,
2019-01-02 00:00:00,17.792,17.792,17.792,17.792,100,1779.2000000000005,,,,,
2019-01-03 00:00:00,15.714,15.714,15.714,15.714,100,1571.4,,,,,
2019-01-04 00:00:00,18.046,18.046,13.788,13.788,300,4136.4,,,,,
2019-01-07 00:00:00,14.193,14.193,14.193,14.193,140,1987.02,,,,,
2019-01-08 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-09 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-10 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-11 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-14 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-15 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-16 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-17 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-18 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-21 00:00:00,14.193,14.193,14.193,14.193,100,1419.3,,,,,
2019-01-22 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-23 00:00:00,14.193,14.193,14.193,14.193,0,0.0,,,,,
2019-01-24 00:00:00,16.322,16.322,16.322,16.322,200,3264.4,,,,,
2019-01-25 00:00:00,18.756,18.756,18.756,18.756,1700,31885.2,,,,,
2019-01-28 00:00:00,18.756,18.756,18.756,18.756,0,0.0,,,,,
2019-01-29 00:00:00,18.756,18.756,18.756,18.756,0,0.0,,,,,
2019-01-30 00:00:00,16.221,16.221,16.221,16.221,100,1622.1,,,,,
2019-01-31 00:00:00,16.221,16.221,16.221,16.221,0,0.0,,,,,
2019-02-01 00:00:00,16.221,16.221,16.221,16.221,0,0.0,,,,,
2019-02-11 00:00:00,16.221,16.221,16.221,16.221,100,1622.1,,,,,
2019-02-12 00:00:00,14.041,14.041,14.041,14.041,100,1404.1,,,,,
2019-02-13 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-14 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-15 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-18 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-19 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-20 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-21 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-22 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-25 00:00:00,14.041,14.041,14.041,14.041,0,0.0,,,,,
2019-02-26 00:00:00,14.041,14.041,14.041,14.041,48,673.9680000000001,,,,,
2019-02-27 00:00:00,13.687,13.687,13.687,13.687,200,2737.4,,,,,
2019-02-28 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
2019-03-01 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
2019-03-04 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
2019-03-05 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
2019-03-06 00:00:00,13.687,13.687,13.687,13.687,1,13.687,,,,,
2019-03-07 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
2019-03-08 00:00:00,13.687,13.687,13.687,13.687,0,0.0,,,,,
