time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,5.187,5.475,5.187,5.446,219180,1193654.28,,,,,
2013-01-03,5.446,5.59,5.36,5.446,190840,1039314.64,,,,,
2013-01-04,5.504,5.706,5.475,5.706,287780,1642072.6800000002,,,,,
2013-01-07,5.677,5.907,5.677,5.706,380980,2173871.8800000004,,,,,
2013-01-08,5.821,5.965,5.763,5.965,279020,1664354.3,,,,,
2013-01-09,6.224,6.253,6.023,6.023,734110,4421544.529999999,,,,,
2013-01-10,6.08,6.311,5.965,6.282,224000,1407168.0,,,,,
2013-01-11,6.512,6.512,6.224,6.34,278070,1762963.8,,,,,
2013-01-14,6.109,6.484,6.109,6.368,247380,1575315.84,,,,,
2013-01-15,6.368,6.57,6.195,6.282,332940,2091529.08,,,,,
2013-01-16,6.282,6.512,6.253,6.34,422730,2680108.2,,,,,
2013-01-17,6.34,6.34,6.138,6.138,178650,1096553.7,,,,,
2013-01-18,6.109,6.138,6.051,6.08,102120,620889.6,,,,,
2013-01-21,6.224,6.224,5.965,5.965,99910,595963.15,,,,,
2013-01-22,5.878,6.109,5.648,5.734,87200,500004.8,,,,,
2013-01-23,5.734,5.907,5.677,5.763,94720,545871.36,,,,,
2013-01-24,5.878,6.051,5.763,5.994,71870,430788.78,,,,,
2013-01-25,6.109,6.282,6.051,6.195,136340,844626.3,,,,,
2013-01-28,6.195,6.541,6.195,6.224,305580,1901929.92,,,,,
2013-01-29,6.628,6.657,6.57,6.657,572260,3809534.82,,,,,
2013-01-30,6.973,7.118,6.887,7.118,360810,2568245.58,,,,,
2013-01-31,7.435,7.463,7.175,7.377,413700,3051864.9,,,,,
2013-02-01,7.492,7.867,7.146,7.867,600780,4726336.26,,,,,
2013-02-04,7.867,8.068,7.867,7.867,279680,2200242.56,,,,,
2013-02-05,7.867,7.953,7.492,7.492,245670,1840559.64,,,,,
2013-02-06,7.492,8.011,7.463,8.011,766270,6138588.97,,,,,
2013-02-07,8.414,8.414,7.924,7.924,418540,3316510.96,,,,,
2013-02-08,8.328,8.328,7.953,8.27,151280,1251085.6,,,,,
2013-02-18,8.27,8.501,8.068,8.241,461760,3805364.16,,,,,
2013-02-19,8.299,8.645,8.184,8.299,510320,4235145.68,,,,,
2013-02-20,8.299,8.443,8.126,8.184,536270,4388833.68,,,,,
2013-02-21,8.184,8.414,7.982,7.982,686320,5478206.24,,,,,
2013-02-22,8.155,8.328,7.78,7.838,639350,5011225.3,,,,,
2013-02-25,7.867,8.385,7.78,8.357,880450,7357920.649999999,,,,,
2013-02-26,8.414,8.616,8.126,8.213,1117810,9180573.53,,,,,
2013-02-27,8.328,8.328,7.924,8.241,701080,5777600.279999999,,,,,
2013-02-28,8.443,8.76,8.385,8.587,1339980,11506408.26,,,,,
2013-03-01,8.616,8.76,8.357,8.616,700550,6035938.8,,,,,
2013-03-04,9.192,9.192,8.645,8.645,1404090,12138358.05,,,,,
2013-03-05,8.645,8.645,8.155,8.357,670980,5607379.859999999,,,,,
2013-03-06,8.357,8.616,8.357,8.587,250860,2154134.82,,,,,
2013-03-07,8.587,8.702,8.443,8.472,512190,4339273.68,,,,,
2013-03-08,8.616,8.674,8.443,8.558,280940,2404284.52,,,,,
2013-03-11,8.702,9.135,8.702,9.135,891340,8142390.899999999,,,,,
2013-03-12,9.25,9.625,9.192,9.452,1056300,9984147.6,,,,,
2013-03-13,9.452,9.509,9.077,9.135,1118280,10215487.8,,,,,
2013-03-14,9.019,9.567,8.991,9.509,1543990,14681800.91,,,,,
2013-03-15,9.509,10.172,9.163,10.172,3887130,39539886.36,,,,,
2013-03-18,9.74,10.057,9.509,9.509,595090,5658710.8100000005,,,,,
2013-03-19,9.279,9.625,9.163,9.394,226370,2126519.7800000003,,,,,
2013-03-20,9.394,9.567,9.221,9.48,559140,5300647.2,,,,,
2013-03-21,9.509,9.567,9.452,9.452,247280,2337290.56,,,,,
2013-03-22,9.48,9.596,9.163,9.308,316590,2946819.72,,,,,
