time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,0.452,0.452,0.452,0.452,60,27.12,,,,,
2013-01-03,0.465,0.465,0.465,0.465,160,74.4,,,,,
2013-01-04,0.478,0.478,0.478,0.478,90,43.02,,,,,
2013-01-07,0.491,0.491,0.491,0.491,270,132.57,,,,,
2013-01-08,0.504,0.504,0.504,0.504,100,50.4,,,,,
2013-01-09,0.517,0.517,0.517,0.517,2570,1328.69,,,,,
2013-01-10,0.543,0.543,0.543,0.543,1380,749.34,,,,,
2013-01-11,0.569,0.569,0.569,0.569,230,130.86999999999998,,,,,
2013-01-14,0.594,0.594,0.569,0.594,14730,8749.619999999999,,,,,
2013-01-15,0.607,0.633,0.607,0.633,2810,1778.73,,,,,
2013-01-16,0.594,0.62,0.594,0.62,1620,1004.4,,,,,
2013-01-17,0.594,0.594,0.581,0.594,1690,1003.86,,,,,
2013-01-18,0.569,0.569,0.569,0.569,1050,597.4499999999999,,,,,
2013-01-21,0.543,0.581,0.543,0.581,170,98.77,,,,,
2013-01-22,0.543,0.543,0.543,0.543,10,5.430000000000001,,,,,
2013-01-23,0.517,0.517,0.517,0.517,1090,563.53,,,,,
2013-01-24,0.491,0.517,0.491,0.491,920,451.72,,,,,
2013-01-25,0.491,0.491,0.491,0.491,120,58.92,,,,,
2013-01-28,0.517,0.517,0.517,0.517,40,20.68,,,,,
2013-01-29,0.543,0.543,0.491,0.517,3210,1659.57,,,,,
2013-01-30,0.491,0.517,0.491,0.504,14380,7247.52,,,,,
2013-01-31,0.478,0.478,0.478,0.478,10690,5109.82,,,,,
2013-02-01,0.465,0.465,0.452,0.465,19200,8928.0,,,,,
2013-02-04,0.465,0.491,0.465,0.491,510,250.41,,,,,
2013-02-05,0.491,0.491,0.491,0.491,60,29.46,,,,,
2013-02-06,0.491,0.517,0.491,0.504,2140,1078.56,,,,,
2013-02-07,0.504,0.504,0.504,0.504,0,0.0,,,,,
2013-02-08,0.517,0.517,0.517,0.517,50,25.85,,,,,
2013-02-18,0.517,0.517,0.517,0.517,370,191.29,,,,,
2013-02-19,0.517,0.517,0.517,0.517,40,20.68,,,,,
2013-02-20,0.517,0.543,0.517,0.53,1340,710.2,,,,,
2013-02-21,0.543,0.556,0.53,0.556,9800,5448.8,,,,,
2013-02-22,0.569,0.569,0.569,0.569,90,51.21,,,,,
2013-02-25,0.569,0.569,0.569,0.569,11940,6793.86,,,,,
2013-02-26,0.556,0.581,0.556,0.581,1240,720.4399999999999,,,,,
2013-02-27,0.543,0.62,0.543,0.581,20830,12102.23,,,,,
2013-02-28,0.543,0.543,0.543,0.543,2240,1216.3200000000002,,,,,
2013-03-01,0.543,0.543,0.543,0.543,50,27.15,,,,,
2013-03-04,0.53,0.569,0.53,0.569,1450,825.05,,,,,
2013-03-05,0.53,0.594,0.53,0.581,70460,40937.26,,,,,
2013-03-06,0.581,0.581,0.581,0.581,11300,6565.299999999999,,,,,
2013-03-07,0.594,0.62,0.581,0.581,9830,5711.23,,,,,
2013-03-08,0.62,0.62,0.581,0.62,8340,5170.8,,,,,
2013-03-11,0.633,0.633,0.633,0.633,80,50.64,,,,,
2013-03-12,0.62,0.633,0.62,0.633,6350,4019.55,,,,,
2013-03-13,0.646,0.646,0.62,0.646,3000,1938.0,,,,,
2013-03-14,0.633,0.633,0.633,0.633,410,259.53000000000003,,,,,
2013-03-15,0.646,0.646,0.646,0.646,5030,3249.38,,,,,
2013-03-18,0.62,0.633,0.62,0.633,160,101.28,,,,,
2013-03-19,0.594,0.633,0.594,0.633,3000,1899.0,,,,,
2013-03-20,0.594,0.607,0.594,0.607,250,151.75,,,,,
2013-03-21,0.62,0.62,0.62,0.62,100,62.0,,,,,
2013-03-22,0.62,0.62,0.62,0.62,0,0.0,,,,,
2013-03-25,0.594,0.594,0.594,0.594,100,59.4,,,,,
2013-03-26,0.62,0.62,0.62,0.62,10,6.2,,,,,
2013-03-27,0.62,0.62,0.594,0.594,1010,599.9399999999999,,,,,
2013-03-28,0.594,0.594,0.594,0.594,5900,3504.6,,,,,
2013-03-29,0.607,0.607,0.607,0.607,10,6.07,,,,,
2013-04-01,0.607,0.607,0.607,0.607,0,0.0,,,,,
2013-04-02,0.633,0.633,0.633,0.633,10,6.33,,,,,
2013-04-03,0.594,0.594,0.594,0.594,15360,9123.84,,,,,
2013-04-04,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-05,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-08,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-09,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-10,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-11,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-12,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-15,0.594,0.594,0.594,0.594,0,0.0,,,,,
2013-04-16,0.594,0.594,0.594,0.594,0,0.0,,,,,
