time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.344,4.781,4.344,4.781,1500,7171.499999999999,,,,,
2013-01-03,4.708,5.074,4.708,5.074,300,1522.2,,,,,
2013-01-04,4.747,5.292,4.747,5.292,500,2646.0,,,,,
2013-01-07,4.927,4.927,4.927,4.927,100,492.69999999999993,,,,,
2013-01-08,5.145,5.145,4.6,4.6,700,3219.9999999999995,,,,,
2013-01-09,4.6,4.6,4.6,4.6,300,1380.0,,,,,
2013-01-10,4.6,4.747,4.6,4.747,500,2373.5,,,,,
2013-01-11,4.418,4.418,4.418,4.418,1000,4418.0,,,,,
2013-01-14,4.344,4.344,4.344,4.344,300,1303.2,,,,,
2013-01-15,4.381,4.381,4.381,4.381,200,876.2,,,,,
2013-01-16,4.673,4.673,4.673,4.673,100,467.3,,,,,
2013-01-17,4.673,4.673,4.673,4.673,0,0.0,,,,,
2013-01-18,4.673,4.673,4.673,4.673,0,0.0,,,,,
2013-01-21,4.49,4.49,4.49,4.49,100,449.0,,,,,
2013-01-22,4.927,4.927,4.927,4.927,100,492.69999999999993,,,,,
2013-01-23,4.454,4.454,4.454,4.454,200,890.8,,,,,
2013-01-24,4.819,4.819,4.819,4.819,100,481.9,,,,,
2013-01-25,4.819,5.11,4.819,5.11,1000,5110.0,,,,,
2013-01-28,5.11,5.11,5.11,5.11,0,0.0,,,,,
2013-01-29,5.622,5.622,5.039,5.039,200,1007.8,,,,,
2013-01-30,5.11,5.11,5.11,5.11,100,511.00000000000006,,,,,
2013-01-31,4.6,5.622,4.6,5.622,2100,11806.2,,,,,
2013-02-01,5.439,5.439,5.074,5.074,200,1014.8,,,,,
2013-02-04,5.074,5.074,5.074,5.074,0,0.0,,,,,
2013-02-05,4.6,5.476,4.6,5.476,2200,12047.2,,,,,
2013-02-06,5.292,5.292,4.927,5.257,1200,6308.4,,,,,
