time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2026-02-06,44.5,45.0,41.95,43.0,1554400,66839200.0,,,,,
2026-02-09,44.0,44.6,43.0,44.25,907200,40143600.0,,,,,
2026-02-10,44.3,44.3,42.7,44.25,425200,18815100.0,,,,,
2026-02-11,43.9,44.0,42.35,43.5,300300,13063050.0,,,,,
2026-02-12,42.55,43.35,42.55,43.2,56300,2432160.0,,,,,
2026-02-13,43.1,43.5,42.5,43.5,165200,7186200.0,,,,,
2026-02-23,43.1,43.35,42.45,42.75,163200,6976800.0,3320.0,0.0,1424035.0,0.0,28141310.6
2026-02-24,42.95,43.2,42.0,42.85,219200,9392720.0,2620.0,4594.0,1125855.0,1964394.8,28138700.6
2026-02-25,42.8,42.8,41.75,41.85,545200,22816620.0,10000.0,6070.0,4205095.0,2563495.0,28131320.6
2026-02-26,42.65,42.85,41.75,42.85,273600,11723760.0,10210.0,3150.0,4333090.0,1327705.0,28127180.6
2026-02-27,42.85,42.85,42.0,42.3,56400,2385720.0,50.0,0.0,21050.0,0.0,28132244.7
2026-03-02,40.5,42.2,40.5,41.8,324300,13555740.0,5070.0,0.0,2111500.0,0.0,28127074.7
2026-03-03,41.95,41.95,41.35,41.8,210800,8811440.0,5010.0,0.0,2088305.0,0.0,28122174.7
2026-03-04,41.8,41.8,40.7,41.2,213100,8779720.0,100.0,270.0,41200.0,110700.0,28121874.7
2026-03-05,40.45,41.65,40.45,41.0,54000,2214000.0,100.0,0.0,40950.0,0.0,28122074.7
2026-03-06,41.0,41.25,40.35,41.25,89800,3704250.0,0,0,0.0,0.0,28122074.70
