time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,19.728,19.728,19.728,19.728,50,986.4,,,,,
2013-01-03,19.728,19.728,19.728,19.728,0,0.0,,,,,
2013-01-04,19.728,19.728,19.728,19.728,20,394.56000000000006,,,,,
2013-01-07,19.728,19.728,19.728,19.728,200,3945.6,,,,,
2013-01-08,19.676,19.676,19.676,19.676,50,983.8,,,,,
2013-01-09,19.26,19.676,18.739,19.676,2930,57650.67999999999,,,,,
2013-01-10,19.676,19.676,19.676,19.676,0,0.0,,,,,
2013-01-11,19.676,19.676,19.676,19.676,0,0.0,,,,,
2013-01-14,19.624,19.624,19.624,19.624,100,1962.4,,,,,
2013-01-15,19.624,19.676,19.624,19.624,1800,35323.2,,,,,
2013-01-16,19.78,19.78,19.78,19.78,190,3758.2,,,,,
2013-01-17,19.78,19.78,19.78,19.78,0,0.0,,,,,
2013-01-18,19.78,19.78,19.26,19.26,460,8859.6,,,,,
2013-01-21,19.52,19.52,18.739,19.26,1540,29660.4,,,,,
2013-01-22,18.739,19.26,18.739,19.26,3240,62402.4,,,,,
2013-01-23,18.739,19.26,18.739,19.26,150,2889.0000000000005,,,,,
2013-01-24,19.26,19.26,19.26,19.26,0,0.0,,,,,
2013-01-25,19.26,19.26,19.26,19.26,80,1540.8000000000002,,,,,
2013-01-28,19.728,19.728,19.52,19.52,570,11126.4,,,,,
2013-01-29,20.301,20.301,20.301,20.301,200,4060.2,,,,,
2013-01-30,20.301,20.301,20.301,20.301,0,0.0,,,,,
2013-01-31,20.821,20.821,18.895,18.895,2430,45914.85,,,,,
2013-02-01,19.208,19.208,19.208,19.208,10,192.08,,,,,
2013-02-04,19.208,19.208,19.208,19.208,10,192.08,,,,,
2013-02-05,17.958,18.687,17.958,18.687,550,10277.85,,,,,
2013-02-06,19.155,19.155,19.155,19.155,20,383.1,,,,,
2013-02-07,19.26,19.26,19.26,19.26,2270,43720.2,,,,,
