time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2024-05-15,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-16,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-17,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-20,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-21,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-22,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-23,9.0,9.0,9.0,9.0,0,0.0,,,,,
2024-05-24,5.4,5.5,5.4,5.5,629900,3464450.0,,,,,
2024-05-27,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-05-28,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-05-29,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-05-30,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-05-31,4.6,6.2,4.6,4.7,110819,520849.3000000001,,,,,
2024-06-03,4.6,4.6,4.6,4.6,0,0.0,,,,,
2024-06-04,4.6,4.6,4.6,4.6,0,0.0,,,,,
2024-06-05,4.6,4.6,4.6,4.6,0,0.0,,,,,
2024-06-06,4.6,4.6,4.6,4.6,0,0.0,,,,,
2024-06-07,5.2,5.2,5.2,5.2,100,520.0,,,,,
2024-06-10,5.2,5.2,5.2,5.2,0,0.0,,,,,
2024-06-11,5.2,5.2,5.2,5.2,0,0.0,,,,,
2024-06-12,5.2,5.2,5.2,5.2,0,0.0,,,,,
2024-06-13,5.2,5.2,5.2,5.2,0,0.0,,,,,
2024-06-14,5.2,5.9,5.2,5.9,300,1770.0,,,,,
2024-06-17,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-06-18,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-06-19,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-06-20,5.4,5.4,5.4,5.4,0,0.0,,,,,
2024-06-21,6.2,6.2,6.2,6.2,500,3100.0,,,,,
2024-06-24,6.2,6.2,6.2,6.2,0,0.0,,,,,
2024-06-25,6.2,6.2,6.2,6.2,0,0.0,,,,,
2024-06-26,6.2,6.2,6.2,6.2,0,0.0,,,,,
2024-06-27,6.2,6.2,6.2,6.2,0,0.0,,,,,
2024-06-28,7.1,7.1,7.1,7.1,28844,204792.4,,,,,
2024-07-01,7.1,7.1,7.1,7.1,0,0.0,,,,,
2024-07-02,7.1,7.1,7.1,7.1,0,0.0,,,,,
2024-07-03,7.1,7.1,7.1,7.1,0,0.0,,,,,
2024-07-04,7.1,7.1,7.1,7.1,0,0.0,,,,,
2024-07-05,8.1,8.1,8.1,8.1,200,1620.0,,,,,
2024-07-08,8.1,8.1,8.1,8.1,0,0.0,,,,,
2024-07-09,8.1,8.1,8.1,8.1,0,0.0,,,,,
2024-07-10,8.1,8.1,8.1,8.1,0,0.0,,,,,
2024-07-11,8.1,8.1,8.1,8.1,0,0.0,,,,,
2024-07-12,9.3,9.3,9.3,9.3,100,930.0,,,,,
2024-07-15,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-16,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-17,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-18,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-19,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-22,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-23,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-24,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-25,9.3,9.3,9.3,9.3,0,0.0,,,,,
2024-07-26,10.5,10.5,10.5,10.5,100,1050.0,,,,,
2024-07-29,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-07-30,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-07-31,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-01,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-02,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-05,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-06,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-07,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-08,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-09,10.5,10.5,10.5,10.5,10337,108538.5,,,,,
2024-08-12,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-13,10.5,10.5,10.5,10.5,0,0.0,,,,,
2024-08-14,10.5,10.5,10.5,10.5,0,0.0,,,,,
