time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.097,3.097,3.097,3.097,2380,7370.86,,,,,
2013-01-03,3.252,3.252,3.252,3.252,39320,127868.63999999998,,,,,
2013-01-04,3.407,3.407,3.407,3.407,2730,9301.11,,,,,
2013-01-07,3.562,3.562,3.562,3.562,430,1531.66,,,,,
2013-01-08,3.717,3.717,3.717,3.717,3090,11485.53,,,,,
2013-01-09,3.872,3.872,3.872,3.872,97900,379068.8,,,,,
2013-01-10,4.027,4.027,4.027,4.027,92930,374229.11,,,,,
2013-01-11,4.181,4.181,4.027,4.181,62300,260476.3,,,,,
2013-01-14,4.259,4.259,4.027,4.027,47880,192812.76,,,,,
2013-01-15,4.027,4.027,3.794,4.027,77730,313018.71,,,,,
2013-01-16,4.027,4.027,3.794,4.027,76930,309797.11,,,,,
2013-01-17,3.949,3.949,3.794,3.949,83910,331360.59,,,,,
2013-01-18,3.794,3.872,3.717,3.872,19020,73645.44,,,,,
2013-01-21,3.717,3.794,3.717,3.794,1300,4932.2,,,,,
2013-01-22,3.639,3.639,3.562,3.562,30320,107999.84,,,,,
2013-01-23,3.717,3.717,3.407,3.484,46060,160473.04,,,,,
2013-01-24,3.484,3.484,3.252,3.484,21820,76020.88,,,,,
2013-01-25,3.639,3.717,3.484,3.717,39460,146672.82,,,,,
2013-01-28,3.794,3.872,3.484,3.484,36360,126678.24,,,,,
2013-01-29,3.484,3.562,3.33,3.484,21490,74871.16,,,,,
2013-01-30,3.484,3.717,3.484,3.717,18420,68467.14,,,,,
2013-01-31,3.872,3.872,3.484,3.639,55620,202401.18,,,,,
2013-02-01,3.639,3.639,3.484,3.484,26600,92674.4,,,,,
2013-02-04,3.407,3.562,3.407,3.562,3200,11398.4,,,,,
2013-02-05,3.484,3.484,3.33,3.33,32960,109756.8,,,,,
2013-02-06,3.562,3.562,3.484,3.562,5860,20873.32,,,,,
2013-02-07,3.484,3.717,3.484,3.562,20890,74410.18,,,,,
2013-02-08,3.562,3.717,3.484,3.484,31730,110547.32,,,,,
2013-02-18,3.484,3.717,3.484,3.717,3500,13009.5,,,,,
2013-02-19,3.717,3.717,3.562,3.562,25010,89085.62,,,,,
2013-02-20,3.717,3.717,3.562,3.639,2730,9934.47,,,,,
2013-02-21,3.717,3.872,3.562,3.562,56150,200006.3,,,,,
