time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.674,2.674,2.674,2.674,100,267.4,,,,,
2013-01-03,2.674,2.674,2.674,2.674,1000,2674.0,,,,,
2013-01-04,2.568,2.568,2.568,2.568,4800,12326.4,,,,,
2013-01-07,2.568,2.568,2.568,2.568,500,1284.0,,,,,
2013-01-08,2.41,2.41,2.41,2.41,500,1205.0,,,,,
2013-01-09,2.304,2.568,2.304,2.568,1200,3081.6,,,,,
2013-01-10,2.568,2.568,2.568,2.568,0,0.0,,,,,
2013-01-11,2.542,2.542,2.515,2.515,600,1509.0,,,,,
2013-01-14,2.515,2.515,2.515,2.515,2500,6287.5,,,,,
2013-01-15,2.542,2.542,2.542,2.542,2000,5084.0,,,,,
2013-01-16,2.515,2.515,2.515,2.515,800,2012.0,,,,,
2013-01-17,2.648,2.754,2.648,2.648,7500,19860.0,,,,,
2013-01-18,2.595,2.595,2.568,2.568,1200,3081.6,,,,,
2013-01-21,2.621,2.648,2.621,2.648,1800,4766.400000000001,,,,,
2013-01-22,2.648,2.648,2.648,2.648,7800,20654.4,,,,,
2013-01-23,2.648,2.648,2.648,2.648,4700,12445.6,,,,,
2013-01-24,2.648,2.648,2.648,2.648,200,529.6,,,,,
2013-01-25,2.674,2.674,2.674,2.674,800,2139.2,,,,,
2013-01-28,2.674,2.674,2.648,2.648,1500,3972.0,,,,,
2013-01-29,2.648,2.648,2.648,2.648,15000,39720.0,,,,,
2013-01-30,2.674,2.674,2.648,2.648,8300,21978.4,,,,,
2013-01-31,2.648,2.648,2.648,2.648,16500,43692.0,,,,,
2013-02-01,2.648,2.701,2.648,2.701,37700,101827.7,,,,,
2013-02-04,2.701,2.727,2.701,2.701,2300,6212.3,,,,,
2013-02-05,2.727,2.727,2.727,2.727,5000,13635.0,,,,,
2013-02-06,2.727,2.754,2.727,2.754,2600,7160.4,,,,,
2013-02-07,2.78,2.807,2.754,2.78,2200,6116.0,,,,,
2013-02-08,2.833,2.86,2.833,2.86,2100,6006.0,,,,,
2013-02-18,2.86,2.86,2.86,2.86,0,0.0,,,,,
2013-02-19,2.86,2.86,2.86,2.86,5600,16016.0,,,,,
2013-02-20,2.886,2.886,2.886,2.886,400,1154.4,,,,,
2013-02-21,2.886,2.886,2.886,2.886,0,0.0,,,,,
2013-02-22,2.886,2.886,2.886,2.886,0,0.0,,,,,
2013-02-25,2.913,2.913,2.913,2.913,100,291.29999999999995,,,,,
2013-02-26,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-02-27,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-02-28,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-01,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-04,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-05,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-06,2.913,2.913,2.913,2.913,100,291.29999999999995,,,,,
2013-03-07,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-08,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-11,2.913,2.913,2.913,2.913,100,291.29999999999995,,,,,
2013-03-12,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-13,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-14,2.913,2.913,2.913,2.913,0,0.0,,,,,
2013-03-15,2.807,2.807,2.807,2.807,200,561.4,,,,,
2013-03-18,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-03-19,2.595,2.754,2.595,2.754,300,826.2,,,,,
2013-03-20,2.807,2.807,2.489,2.489,1800,4480.2,,,,,
2013-03-21,2.648,2.648,2.648,2.648,100,264.8,,,,,
2013-03-22,2.701,2.727,2.674,2.727,18500,50449.5,,,,,
2013-03-25,2.727,2.727,2.727,2.727,0,0.0,,,,,
2013-03-26,2.727,2.727,2.727,2.727,0,0.0,,,,,
2013-03-27,2.701,2.701,2.648,2.648,5200,13769.6,,,,,
2013-03-28,2.648,2.648,2.648,2.648,0,0.0,,,,,
2013-03-29,2.648,2.648,2.648,2.648,0,0.0,,,,,
2013-04-01,2.648,2.648,2.568,2.568,2000,5136.0,,,,,
2013-04-02,2.568,2.727,2.568,2.727,500,1363.5,,,,,
2013-04-03,2.648,2.648,2.648,2.648,2700,7149.6,,,,,
2013-04-04,2.727,2.86,2.727,2.86,6000,17160.0,,,,,
2013-04-05,2.648,2.913,2.648,2.807,2200,6175.4,,,,,
2013-04-08,2.727,2.727,2.701,2.701,1000,2701.0,,,,,
2013-04-09,2.701,2.701,2.701,2.701,0,0.0,,,,,
2013-04-10,2.78,2.78,2.701,2.701,3400,9183.4,,,,,
2013-04-11,2.701,2.701,2.701,2.701,0,0.0,,,,,
2013-04-12,2.701,2.701,2.701,2.701,0,0.0,,,,,
2013-04-15,2.674,2.674,2.674,2.674,100,267.4,,,,,
2013-04-16,2.674,2.674,2.674,2.674,0,0.0,,,,,
2013-04-17,2.78,2.807,2.78,2.807,1100,3087.7,,,,,
2013-04-18,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-04-22,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-04-23,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-04-24,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-04-25,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-04-26,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-05-02,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-05-03,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-05-06,2.807,2.807,2.807,2.807,700,1964.9,,,,,
2013-05-07,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-05-08,2.807,2.807,2.807,2.807,0,0.0,,,,,
2013-05-09,2.78,2.807,2.78,2.78,4500,12510.0,,,,,
2013-05-10,2.78,2.78,2.78,2.78,300,833.9999999999999,,,,,
2013-05-13,2.833,2.913,2.807,2.913,7700,22430.1,,,,,
2013-05-14,2.886,2.886,2.886,2.886,1100,3174.6,,,,,
2013-05-15,2.886,2.886,2.886,2.886,1000,2886.0,,,,,
2013-05-16,2.807,2.913,2.807,2.913,2700,7865.099999999999,,,,,
2013-05-17,2.972,2.972,2.972,2.972,100,297.2,,,,,
2013-05-20,3.121,3.121,3.121,3.121,100,312.1,,,,,
2013-05-21,3.121,3.121,3.121,3.121,0,0.0,,,,,
2013-05-22,3.121,3.121,3.121,3.121,100,312.1,,,,,
2013-05-23,3.032,3.032,3.032,3.032,100,303.2,,,,,
2013-05-24,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-05-27,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-05-28,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-05-29,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-05-30,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-05-31,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-03,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-04,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-05,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-06,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-07,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-10,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-11,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-12,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-13,3.032,3.032,3.032,3.032,0,0.0,,,,,
2013-06-14,3.269,3.269,3.269,3.269,400,1307.6,,,,,
2013-06-17,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-06-18,3.269,3.269,3.269,3.269,0,0.0,,,,,
2013-06-19,2.972,3.15,2.972,3.15,1000,3150.0,,,,,
2013-06-20,3.15,3.15,3.15,3.15,400,1260.0,,,,,
2013-06-21,3.15,3.15,3.15,3.15,0,0.0,,,,,
2013-06-24,3.15,3.15,3.15,3.15,0,0.0,,,,,
2013-06-25,3.15,3.15,3.15,3.15,0,0.0,,,,,
2013-06-26,3.15,3.15,3.15,3.15,0,0.0,,,,,
2013-06-27,3.15,3.15,3.15,3.15,0,0.0,,,,,
2013-06-28,3.061,3.061,3.061,3.061,200,612.2,,,,,
2013-07-01,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-02,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-03,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-04,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-05,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-08,2.764,3.061,2.764,3.061,700,2142.7,,,,,
2013-07-09,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-10,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-11,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-12,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-15,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-16,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-17,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-18,3.061,3.061,3.061,3.061,0,0.0,,,,,
2013-07-19,2.764,2.764,2.764,2.764,200,552.8,,,,,
2013-07-22,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-07-23,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-07-24,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-07-25,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-07-26,2.497,2.497,2.497,2.497,300,749.0999999999999,,,,,
2013-07-29,2.497,2.497,2.497,2.497,200,499.4,,,,,
2013-07-30,2.526,2.526,2.526,2.526,700,1768.1999999999998,,,,,
2013-07-31,2.764,2.764,2.764,2.764,100,276.4,,,,,
2013-08-01,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-08-02,2.764,2.764,2.764,2.764,0,0.0,,,,,
2013-08-05,2.497,2.497,2.497,2.497,1103,2754.191,,,,,
2013-08-06,2.497,2.497,2.497,2.497,24,59.928,,,,,
2013-08-07,2.497,2.497,2.497,2.497,1000,2497.0,,,,,
2013-08-08,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-09,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-12,2.497,2.497,2.497,2.497,2700,6741.9,,,,,
2013-08-13,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-14,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-15,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-16,2.526,2.526,2.526,2.526,1400,3536.4,,,,,
2013-08-19,2.526,2.526,2.526,2.526,0,0.0,,,,,
2013-08-20,2.526,2.526,2.526,2.526,0,0.0,,,,,
2013-08-21,2.526,2.526,2.497,2.497,2700,6741.9,,,,,
2013-08-22,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-23,2.497,2.497,2.497,2.497,200,499.4,,,,,
2013-08-26,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-27,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-28,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-29,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-08-30,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-03,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-04,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-05,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-06,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-09,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-10,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-11,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-12,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-13,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-16,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-17,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-18,2.497,2.497,2.497,2.497,800,1997.6,,,,,
2013-09-19,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-20,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-23,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-09-24,2.437,2.437,2.437,2.437,1000,2437.0,,,,,
2013-09-25,2.437,2.437,2.437,2.437,0,0.0,,,,,
2013-09-26,2.437,2.437,2.437,2.437,0,0.0,,,,,
2013-09-27,2.437,2.437,2.437,2.437,47,114.539,,,,,
2013-09-30,2.437,2.437,2.437,2.437,1000,2437.0,,,,,
2013-10-01,2.437,2.437,2.437,2.437,1000,2437.0,,,,,
2013-10-02,2.437,2.437,2.437,2.437,0,0.0,,,,,
2013-10-03,2.407,2.407,2.199,2.378,2600,6182.8,,,,,
2013-10-04,2.378,2.378,2.17,2.17,5800,12586.0,,,,,
2013-10-07,2.378,2.378,2.378,2.378,1000,2378.0,,,,,
2013-10-08,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-09,2.378,2.378,2.378,2.378,1000,2378.0,,,,,
2013-10-10,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-11,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-14,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-15,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-16,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-17,2.378,2.378,2.378,2.378,1100,2615.8,,,,,
2013-10-18,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-21,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-22,2.437,2.437,2.437,2.437,600,1462.1999999999998,,,,,
2013-10-23,2.318,2.318,2.318,2.318,1800,4172.400000000001,,,,,
2013-10-24,2.378,2.378,2.348,2.348,2000,4696.0,,,,,
2013-10-25,2.318,2.318,2.318,2.318,1000,2318.0,,,,,
2013-10-28,2.378,2.378,2.378,2.378,1000,2378.0,,,,,
2013-10-29,2.378,2.378,2.378,2.378,100,237.8,,,,,
2013-10-30,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-10-31,2.378,2.378,2.378,2.378,3000,7134.0,,,,,
2013-11-01,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-11-04,2.378,2.378,2.378,2.378,100,237.8,,,,,
2013-11-05,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-11-06,2.378,2.407,2.378,2.407,6600,15886.2,,,,,
2013-11-07,2.378,2.378,2.348,2.378,10900,25920.2,,,,,
2013-11-08,2.378,2.378,2.378,2.378,11000,26158.0,,,,,
2013-11-11,2.378,2.378,2.378,2.378,10000,23780.0,,,,,
2013-11-12,2.378,2.378,2.378,2.378,10000,23780.0,,,,,
2013-11-13,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-11-14,2.378,2.378,2.318,2.318,7800,18080.4,,,,,
2013-11-15,2.318,2.318,2.318,2.318,0,0.0,,,,,
2013-11-18,2.318,2.318,2.318,2.318,0,0.0,,,,,
2013-11-19,2.348,2.378,2.348,2.378,5100,12127.8,,,,,
2013-11-20,2.378,2.378,2.378,2.378,0,0.0,,,,,
2013-11-21,2.467,2.467,2.467,2.467,2000,4934.0,,,,,
2013-11-22,2.378,2.378,2.378,2.378,12928,30742.784,,,,,
2013-11-25,2.378,2.378,2.378,2.378,97,230.666,,,,,
2013-11-26,2.14,2.497,2.14,2.497,700,1747.9,,,,,
2013-11-27,2.497,2.497,2.497,2.497,3,7.491,,,,,
2013-11-28,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-11-29,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-02,2.378,2.497,2.378,2.497,2100,5243.7,,,,,
2013-12-03,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-04,2.378,2.378,2.378,2.378,400,951.2,,,,,
2013-12-05,2.467,2.526,2.467,2.526,2200,5557.2,,,,,
2013-12-06,2.378,2.497,2.378,2.497,5400,13483.8,,,,,
2013-12-09,2.467,2.497,2.467,2.497,3600,8989.199999999999,,,,,
2013-12-10,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-11,2.318,2.318,2.318,2.318,100,231.8,,,,,
2013-12-12,2.11,2.11,2.11,2.11,100,211.0,,,,,
2013-12-13,2.318,2.318,2.318,2.318,1600,3708.8,,,,,
2013-12-16,2.17,2.497,2.17,2.497,2200,5493.4,,,,,
2013-12-17,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-18,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-19,2.289,2.289,2.289,2.289,2000,4578.0,,,,,
2013-12-20,2.497,2.497,2.497,2.497,700,1747.9,,,,,
2013-12-23,2.497,2.497,2.497,2.497,0,0.0,,,,,
2013-12-24,2.705,2.705,2.705,2.705,100,270.5,,,,,
2013-12-25,2.705,2.705,2.705,2.705,0,0.0,,,,,
2013-12-26,2.705,2.705,2.705,2.705,0,0.0,,,,,
2013-12-27,2.705,2.705,2.705,2.705,0,0.0,,,,,
2013-12-30,2.705,2.705,2.705,2.705,0,0.0,,,,,
2013-12-31,2.705,2.705,2.705,2.705,0,0.0,,,,,
2014-01-02,2.705,2.705,2.705,2.705,0,0.0,,,,,
2014-01-03,2.705,2.705,2.705,2.705,0,0.0,,,,,
2014-01-06,2.437,2.437,2.437,2.437,100,243.7,,,,,
2014-01-07,2.437,2.437,2.437,2.437,0,0.0,,,,,
2014-01-08,2.378,2.378,2.378,2.378,400,951.2,,,,,
2014-01-09,2.378,2.378,2.378,2.378,0,0.0,,,,,
2014-01-10,2.378,2.378,2.378,2.378,0,0.0,,,,,
2014-01-13,2.378,2.378,2.378,2.378,0,0.0,,,,,
2014-01-14,2.378,2.378,2.378,2.378,0,0.0,,,,,
2014-01-15,2.615,2.615,2.615,2.615,1000,2615.0,,,,,
2014-01-16,2.615,2.615,2.615,2.615,0,0.0,,,,,
2014-01-17,2.615,2.615,2.615,2.615,100,261.5,,,,,
2014-01-20,2.526,2.853,2.526,2.853,3600,10270.8,,,,,
2014-01-21,2.853,2.853,2.853,2.853,6100,17403.300000000003,,,,,
2014-01-22,3.091,3.091,2.913,2.972,1200,3566.4,,,,,
2014-01-23,2.972,2.972,2.972,2.972,0,0.0,,,,,
2014-01-24,2.883,2.972,2.883,2.972,7700,22884.4,,,,,
2014-01-27,2.972,2.972,2.972,2.972,0,0.0,,,,,
2014-02-06,3.269,3.269,3.269,3.269,100,326.90000000000003,,,,,
2014-02-07,3.002,3.269,2.972,3.269,2500,8172.5,,,,,
2014-02-10,3.269,3.269,3.269,3.269,0,0.0,,,,,
2014-02-11,3.269,3.269,3.269,3.269,0,0.0,,,,,
2014-02-12,3.121,3.269,3.121,3.269,1000,3269.0,,,,,
2014-02-13,3.269,3.299,3.269,3.299,1300,4288.7,,,,,
2014-02-14,3.329,3.329,3.329,3.329,300,998.7,,,,,
2014-02-17,3.329,3.329,3.269,3.269,2000,6538.0,,,,,
2014-02-18,3.24,3.507,3.21,3.507,36300,127304.1,,,,,
2014-02-19,3.507,3.685,3.507,3.685,800,2948.0,,,,,
2014-02-20,3.359,3.418,3.359,3.388,18900,64033.2,,,,,
2014-02-21,3.388,3.715,3.388,3.685,9000,33165.0,,,,,
2014-02-24,3.656,3.656,3.596,3.656,28500,104196.0,,,,,
2014-02-25,3.567,3.596,3.567,3.567,8500,30319.5,,,,,
2014-02-26,3.567,3.567,3.537,3.537,2300,8135.099999999999,,,,,
2014-02-27,3.537,3.537,3.537,3.537,7300,25820.1,,,,,
2014-02-28,3.537,3.537,3.507,3.507,2600,9118.2,,,,,
2014-03-03,3.388,3.418,3.388,3.388,10300,34896.4,,,,,
2014-03-04,3.269,3.269,3.269,3.269,5000,16345.0,,,,,
2014-03-05,3.269,3.299,3.269,3.299,8100,26721.9,,,,,
2014-03-06,3.299,3.448,3.299,3.448,6900,23791.2,,,,,
2014-03-07,3.448,3.448,3.448,3.448,1000,3448.0,,,,,
2014-03-10,3.448,3.448,3.448,3.448,0,0.0,,,,,
2014-03-11,3.477,3.477,3.477,3.477,100,347.7,,,,,
2014-03-12,3.477,3.477,3.477,3.477,0,0.0,,,,,
2014-03-13,3.269,3.448,3.269,3.418,6400,21875.2,,,,,
2014-03-14,3.448,3.448,3.448,3.448,5100,17584.8,,,,,
