time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,6.925,6.925,6.925,6.925,3200,22160.0,,,,,
2013-01-03,6.925,6.925,6.842,6.842,9000,61578.0,,,,,
2013-01-04,6.925,6.925,6.925,6.925,3500,24237.5,,,,,
2013-01-07,6.925,6.925,6.759,6.759,9300,62858.7,,,,,
2013-01-08,6.675,6.675,6.341,6.341,500,3170.5,,,,,
2013-01-09,6.341,6.341,6.341,6.341,0,0.0,,,,,
2013-01-10,6.341,6.341,6.341,6.341,0,0.0,,,,,
2013-01-11,6.606,6.606,6.606,6.606,100,660.6,,,,,
2013-01-14,7.046,7.046,6.165,6.165,200,1233.0,,,,,
2013-01-15,6.078,6.078,5.989,5.989,200,1197.8,,,,,
2013-01-16,5.813,5.813,5.549,5.725,10800,61829.99999999999,,,,,
2013-01-17,5.725,5.725,5.725,5.725,1000,5725.0,,,,,
2013-01-18,5.989,6.165,5.813,6.165,4700,28975.5,,,,,
2013-01-21,5.989,6.165,5.637,6.165,8100,49936.5,,,,,
2013-01-22,5.285,5.725,5.197,5.725,1100,6297.5,,,,,
2013-01-23,5.725,5.725,5.725,5.725,0,0.0,,,,,
2013-01-24,5.989,5.989,5.989,5.989,100,598.9,,,,,
2013-01-25,5.989,6.078,5.989,5.989,3000,17967.0,,,,,
2013-01-28,5.989,5.989,5.989,5.989,0,0.0,,,,,
2013-01-29,6.078,6.078,6.078,6.078,1000,6078.0,,,,,
2013-01-30,5.989,5.989,5.901,5.901,1400,8261.4,,,,,
2013-01-31,6.43,6.43,5.461,5.461,2600,14198.6,,,,,
2013-02-01,5.461,5.461,5.461,5.461,0,0.0,,,,,
2013-02-04,5.02,5.02,5.02,5.02,3100,15561.999999999998,,,,,
2013-02-05,5.02,5.02,5.02,5.02,0,0.0,,,,,
2013-02-06,5.02,5.02,5.02,5.02,0,0.0,,,,,
2013-02-07,5.02,5.02,5.02,5.02,0,0.0,,,,,
2013-02-08,5.461,5.461,5.461,5.461,100,546.1,,,,,
2013-02-18,5.549,5.725,5.549,5.725,200,1145.0,,,,,
2013-02-19,5.725,5.725,5.461,5.461,2300,12560.3,,,,,
2013-02-20,5.285,5.461,5.285,5.461,700,3822.7,,,,,
2013-02-21,5.461,5.461,5.373,5.373,1700,9134.1,,,,,
2013-02-22,5.373,5.373,5.373,5.373,0,0.0,,,,,
2013-02-25,5.373,5.373,5.373,5.373,1400,7522.200000000001,,,,,
2013-02-26,5.373,5.373,5.373,5.373,0,0.0,,,,,
2013-02-27,5.373,5.373,5.373,5.373,0,0.0,,,,,
2013-02-28,5.109,5.109,5.109,5.109,100,510.9,,,,,
2013-03-01,5.109,5.109,5.109,5.109,0,0.0,,,,,
