time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.371,4.371,4.371,4.371,3200,13987.2,,,,,
2013-01-03,4.371,4.371,4.335,4.371,1520,6643.920000000001,,,,,
2013-01-04,4.371,4.371,4.335,4.371,9200,40213.2,,,,,
2013-01-07,4.231,4.371,4.231,4.371,5510,24084.210000000003,,,,,
2013-01-08,4.301,4.577,4.301,4.577,3700,16934.9,,,,,
2013-01-09,4.405,4.577,4.405,4.509,14140,63757.26,,,,,
2013-01-10,4.509,4.509,4.405,4.509,1550,6988.950000000001,,,,,
2013-01-11,4.438,4.438,4.405,4.405,8430,37134.15,,,,,
2013-01-14,4.195,4.405,4.195,4.405,4600,20263.0,,,,,
2013-01-15,4.371,4.405,4.371,4.371,2490,10883.79,,,,,
2013-01-16,4.231,4.371,4.231,4.371,1480,6469.080000000001,,,,,
2013-01-17,4.371,4.438,4.335,4.438,2200,9763.6,,,,,
2013-01-18,4.474,4.474,4.474,4.474,1000,4474.0,,,,,
2013-01-21,4.509,4.509,4.509,4.509,2000,9018.0,,,,,
2013-01-22,4.335,4.509,4.335,4.509,2480,11182.320000000002,,,,,
2013-01-23,4.371,4.543,4.371,4.509,5260,23717.34,,,,,
2013-01-24,4.509,4.509,4.474,4.509,2750,12399.750000000002,,,,,
2013-01-25,4.438,4.543,4.371,4.543,1670,7586.81,,,,,
2013-01-28,4.683,4.683,4.509,4.577,4390,20093.03,,,,,
2013-01-29,4.301,4.577,4.301,4.577,7750,35471.75,,,,,
2013-01-30,4.543,4.577,4.543,4.577,3150,14417.55,,,,,
2013-01-31,4.577,4.835,4.577,4.835,4920,23788.2,,,,,
2013-02-01,4.577,4.835,4.577,4.835,4020,19436.7,,,,,
2013-02-04,4.835,4.835,4.835,4.835,9090,43950.15,,,,,
2013-02-05,4.651,4.944,4.651,4.944,1010,4993.44,,,,,
2013-02-06,4.907,4.907,4.688,4.688,1010,4734.88,,,,,
2013-02-07,4.688,4.835,4.688,4.835,1840,8896.4,,,,,
2013-02-08,4.981,5.126,4.981,5.126,2160,11072.16,,,,,
2013-02-18,5.126,5.236,4.798,5.236,7420,38851.12,,,,,
2013-02-19,5.163,5.495,5.126,5.495,4320,23738.4,,,,,
2013-02-20,5.2,5.824,5.2,5.824,3550,20675.2,,,,,
2013-02-21,5.604,5.751,5.456,5.751,3120,17943.120000000003,,,,,
2013-02-22,5.42,5.713,5.42,5.713,6310,36049.03,,,,,
2013-02-25,5.713,5.713,5.495,5.675,10850,61573.75,,,,,
2013-02-26,5.495,5.641,5.347,5.567,5620,31286.54,,,,,
2013-02-27,5.567,5.567,5.495,5.567,1520,8461.84,,,,,
2013-02-28,5.567,5.567,5.42,5.495,12740,70006.3,,,,,
2013-03-01,5.495,5.604,5.456,5.495,5480,30112.6,,,,,
2013-03-04,5.311,5.495,5.311,5.495,1770,9726.15,,,,,
2013-03-05,5.495,5.495,5.495,5.495,2020,11099.9,,,,,
2013-03-06,5.495,5.495,5.495,5.495,2000,10990.0,,,,,
2013-03-07,5.456,5.456,5.311,5.311,1100,5842.1,,,,,
2013-03-08,5.311,5.311,5.311,5.311,1000,5311.0,,,,,
2013-03-11,5.311,5.42,5.311,5.42,6170,33441.4,,,,,
2013-03-12,5.311,5.42,5.311,5.383,2510,13511.33,,,,,
2013-03-13,5.126,5.42,5.126,5.42,1400,7588.0,,,,,
2013-03-14,5.383,5.42,5.347,5.42,2100,11382.0,,,,,
2013-03-15,5.126,5.42,5.126,5.42,1960,10623.2,,,,,
2013-03-18,5.126,5.347,5.126,5.347,3520,18821.44,,,,,
2013-03-19,5.347,5.347,5.2,5.347,2860,15292.420000000002,,,,,
2013-03-20,5.053,5.274,5.053,5.274,2840,14978.16,,,,,
2013-03-21,4.944,5.274,4.944,5.274,5080,26791.92,,,,,
2013-03-22,5.274,5.274,5.236,5.274,650,3428.1,,,,,
2013-03-25,5.053,5.274,5.053,5.236,4540,23771.44,,,,,
2013-03-26,5.311,5.311,5.311,5.311,550,2921.05,,,,,
2013-03-27,5.126,5.311,5.126,5.311,1720,9134.92,,,,,
2013-03-28,5.311,5.311,5.274,5.311,1000,5311.0,,,,,
2013-03-29,5.311,5.347,5.311,5.347,1170,6255.990000000001,,,,,
2013-04-01,5.347,5.347,5.311,5.347,1350,7218.450000000001,,,,,
2013-04-02,5.053,5.347,5.053,5.347,2000,10694.0,,,,,
2013-04-03,5.347,5.495,5.347,5.347,12880,68869.36,,,,,
2013-04-04,5.347,5.42,5.311,5.42,7050,38211.0,,,,,
2013-04-05,5.383,5.495,5.383,5.495,3210,17638.95,,,,,
2013-04-08,5.495,5.495,5.347,5.495,1600,8792.0,,,,,
2013-04-09,5.495,5.531,5.495,5.495,25180,138364.1,,,,,
2013-04-10,5.311,5.567,5.311,5.495,25500,140122.5,,,,,
2013-04-11,5.495,5.495,5.456,5.495,2330,12803.35,,,,,
2013-04-12,5.42,5.495,5.42,5.495,12670,69621.65,,,,,
2013-04-15,5.495,5.495,5.311,5.42,900,4878.0,,,,,
2013-04-16,5.42,5.42,5.383,5.42,7200,39024.0,,,,,
2013-04-17,5.311,5.567,5.311,5.495,930,5110.35,,,,,
2013-04-18,5.567,5.567,5.456,5.456,2190,11948.64,,,,,
2013-04-22,5.456,5.456,5.456,5.456,610,3328.1600000000003,,,,,
2013-04-23,5.091,5.42,5.091,5.42,16240,88020.8,,,,,
2013-04-24,5.383,5.42,5.311,5.42,14450,78319.0,,,,,
2013-04-25,5.42,5.42,5.274,5.274,4300,22678.2,,,,,
2013-04-26,5.42,5.42,5.126,5.126,8830,45262.58,,,,,
2013-05-02,5.383,5.383,5.236,5.311,13270,70476.97,,,,,
2013-05-03,5.311,5.311,5.2,5.311,11500,61076.5,,,,,
2013-05-06,5.347,5.347,5.311,5.311,27780,147539.58,,,,,
2013-05-07,5.383,5.604,5.311,5.495,160540,882167.3,,,,,
2013-05-08,5.495,5.861,5.456,5.861,436040,2555630.44,,,,,
2013-05-09,5.896,6.043,5.824,5.861,44690,261928.09,,,,,
2013-05-10,5.861,5.861,5.675,5.675,39740,225524.5,,,,,
2013-05-13,5.604,5.713,5.604,5.641,102270,576905.07,,,,,
2013-05-14,5.567,5.641,5.456,5.495,73280,402673.6,,,,,
2013-05-15,5.495,5.567,5.495,5.495,14660,80556.7,,,,,
2013-05-16,5.531,5.713,5.531,5.641,59030,332988.23,,,,,
2013-05-17,5.641,5.675,5.531,5.641,41130,232014.33,,,,,
2013-05-20,5.567,5.641,5.567,5.604,23070,129284.28,,,,,
2013-05-21,5.567,5.713,5.567,5.641,80830,455962.03,,,,,
2013-05-22,5.675,6.006,5.675,6.006,305390,1834172.34,,,,,
2013-05-23,6.006,6.043,5.861,5.896,129380,762824.48,,,,,
2013-05-24,6.006,6.006,5.786,5.824,36960,215255.04,,,,,
2013-05-27,5.824,5.933,5.786,5.824,104000,605696.0,,,,,
2013-05-28,5.786,5.786,5.675,5.786,63700,368568.2,,,,,
2013-05-29,5.861,6.08,5.786,6.043,220680,1333569.24,,,,,
2013-05-30,6.08,6.226,5.933,6.226,244940,1524996.44,,,,,
2013-05-31,6.373,6.591,6.373,6.482,270450,1753056.9,,,,,
2013-06-03,6.52,6.591,6.373,6.373,135280,862139.4400000001,,,,,
