time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,5.248,5.248,5.248,5.248,10,52.48,,,,,
2013-01-03,5.248,5.248,5.248,5.248,0,0.0,,,,,
2013-01-04,5.082,5.082,5.082,5.082,10,50.82,,,,,
2013-01-07,5.082,5.082,5.082,5.082,0,0.0,,,,,
2013-01-08,4.833,5.082,4.833,5.082,2010,10214.82,,,,,
2013-01-09,5.268,5.268,5.268,5.268,10,52.68,,,,,
2013-01-10,5.268,5.268,5.268,5.268,0,0.0,,,,,
2013-01-11,5.517,5.517,5.019,5.372,1020,5479.44,,,,,
2013-01-14,5.6,5.6,5.123,5.123,1010,5174.2300000000005,,,,,
2013-01-15,5.123,5.123,5.123,5.123,0,0.0,,,,,
2013-01-16,5.123,5.123,5.123,5.123,0,0.0,,,,,
2013-01-17,4.771,5.123,4.771,5.123,40,204.92,,,,,
2013-01-18,5.123,5.123,5.123,5.123,0,0.0,,,,,
2013-01-21,4.771,4.771,4.771,4.771,10,47.71,,,,,
2013-01-22,4.978,4.978,4.874,4.874,600,2924.4,,,,,
2013-01-23,4.874,4.874,4.874,4.874,0,0.0,,,,,
2013-01-24,4.542,4.542,4.542,4.542,10,45.42,,,,,
2013-01-25,4.771,4.771,4.771,4.771,290,1383.59,,,,,
2013-01-28,4.771,4.771,4.771,4.771,100,477.1,,,,,
2013-01-29,5.061,5.061,5.061,5.061,10,50.61,,,,,
2013-01-30,5.061,5.061,5.061,5.061,0,0.0,,,,,
2013-01-31,4.771,4.771,4.771,4.771,10,47.71,,,,,
2013-02-01,4.771,4.771,4.771,4.771,30,143.13,,,,,
2013-02-04,4.459,4.459,4.459,4.459,980,4369.82,,,,,
2013-02-05,4.771,4.771,4.148,4.148,20,82.96,,,,,
2013-02-06,4.439,4.439,4.439,4.439,800,3551.2,,,,,
2013-02-07,4.729,4.729,4.729,4.729,100,472.9,,,,,
2013-02-08,5.04,5.04,5.04,5.04,110,554.4,,,,,
2013-02-18,4.688,5.393,4.688,5.393,170,916.81,,,,,
2013-02-19,5.082,5.082,5.082,5.082,20,101.64,,,,,
2013-02-20,4.729,4.729,4.729,4.729,30,141.87,,,,,
2013-02-21,5.019,5.019,4.874,4.874,210,1023.54,,,,,
2013-02-22,5.185,5.185,5.185,5.185,10,51.85,,,,,
2013-02-25,5.185,5.185,5.185,5.185,10,51.85,,,,,
2013-02-26,5.185,5.185,5.185,5.185,10,51.85,,,,,
2013-02-27,4.833,4.833,4.833,4.833,10,48.33,,,,,
2013-02-28,4.833,4.833,4.833,4.833,0,0.0,,,,,
2013-03-01,4.501,4.501,4.501,4.501,300,1350.3000000000002,,,,,
