time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.563,3.69,3.373,3.69,117100,432099.0,,,,,
2013-01-03,3.753,3.818,3.627,3.818,97600,372636.8,,,,,
2013-01-04,3.785,3.945,3.658,3.849,100100,385284.9,,,,,
2013-01-07,3.722,3.722,3.627,3.627,59100,214355.7,,,,,
2013-01-08,3.404,3.563,3.404,3.435,101600,348996.0,,,,,
2013-01-09,3.563,3.627,3.213,3.213,193000,620109.0,,,,,
2013-01-10,3.054,3.34,3.054,3.34,25800,86172.0,,,,,
2013-01-11,3.213,3.276,3.182,3.182,74700,237695.4,,,,,
2013-01-14,3.086,3.182,2.959,3.054,59900,182934.6,,,,,
2013-01-15,3.022,3.182,2.864,3.054,115300,352126.19999999995,,,,,
2013-01-16,3.086,3.373,3.086,3.373,191200,644917.6000000001,,,,,
2013-01-17,3.5,3.5,3.086,3.149,37300,117457.7,,,,,
2013-01-18,3.117,3.117,2.99,3.022,62900,190083.8,,,,,
2013-01-21,2.99,3.054,2.895,3.022,54500,164699.0,,,,,
2013-01-22,3.117,3.117,2.799,2.926,72100,210964.6,,,,,
2013-01-23,2.864,2.926,2.799,2.926,21200,62031.2,,,,,
2013-01-24,2.895,2.926,2.831,2.895,35300,102193.5,,,,,
2013-01-25,2.895,2.926,2.831,2.831,24300,68793.3,,,,,
2013-01-28,2.864,3.086,2.864,2.864,44900,128593.6,,,,,
2013-01-29,2.831,2.864,2.799,2.831,34100,96537.1,,,,,
2013-01-30,2.895,2.99,2.799,2.959,68900,203875.1,,,,,
2013-01-31,2.895,2.895,2.799,2.799,67700,189492.3,,,,,
2013-02-01,2.799,2.864,2.799,2.831,40000,113240.0,,,,,
2013-02-04,2.864,3.022,2.864,2.99,50900,152191.0,,,,,
2013-02-05,2.959,2.99,2.895,2.99,19200,57408.00000000001,,,,,
2013-02-06,2.959,2.959,2.831,2.864,107000,306448.0,,,,,
2013-02-07,2.895,2.926,2.864,2.864,22700,65012.8,,,,,
2013-02-08,2.864,2.99,2.799,2.99,62500,186875.0,,,,,
2013-02-18,2.864,2.99,2.864,2.99,24200,72358.0,,,,,
2013-02-19,2.926,2.99,2.864,2.959,67400,199436.6,,,,,
2013-02-20,2.959,3.244,2.959,3.182,191700,609989.4,,,,,
2013-02-21,3.244,3.244,2.895,2.926,124600,364579.6,,,,,
2013-02-22,2.99,3.022,2.864,2.959,68700,203283.3,,,,,
2013-02-25,3.086,3.086,2.895,2.959,14400,42609.6,,,,,
2013-02-26,2.926,2.959,2.799,2.831,82500,233557.5,,,,,
2013-02-27,2.799,2.831,2.799,2.831,64200,181750.2,,,,,
2013-02-28,2.831,2.864,2.831,2.864,26300,75323.2,,,,,
2013-03-01,2.831,2.864,2.831,2.864,18800,53843.2,,,,,
2013-03-04,2.831,2.831,2.64,2.64,22400,59136.0,,,,,
2013-03-05,2.64,2.64,2.545,2.545,61400,156263.0,,,,,
2013-03-06,2.577,2.768,2.577,2.768,21900,60619.2,,,,,
2013-03-07,2.704,2.704,2.608,2.64,12500,33000.0,,,,,
2013-03-08,2.671,2.704,2.64,2.671,24600,65706.59999999999,,,,,
2013-03-11,2.671,2.737,2.671,2.737,8200,22443.4,,,,,
2013-03-12,2.671,2.768,2.608,2.704,25100,67870.40000000001,,,,,
2013-03-13,2.671,2.737,2.671,2.671,21800,58227.8,,,,,
2013-03-14,2.671,2.737,2.671,2.737,9100,24906.7,,,,,
2013-03-15,2.737,2.864,2.704,2.864,33800,96803.2,,,,,
2013-03-18,2.831,2.959,2.799,2.926,61900,181119.4,,,,,
2013-03-19,2.926,3.054,2.926,2.99,59900,179101.0,,,,,
2013-03-20,2.959,2.99,2.959,2.959,20600,60955.4,,,,,
