time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.174,3.174,3.174,3.174,0,0.0,,,,,
2013-01-03,3.174,3.241,2.968,3.241,1300,4213.3,,,,,
2013-01-04,3.174,3.275,3.174,3.275,12400,40610.0,,,,,
2013-01-07,3.207,3.309,3.207,3.309,6100,20184.9,,,,,
2013-01-08,3.14,3.14,3.14,3.14,1200,3768.0,,,,,
2013-01-09,3.104,3.104,3.037,3.037,10000,30370.0,,,,,
2013-01-10,2.901,3.037,2.901,3.037,600,1822.2,,,,,
2013-01-11,3.037,3.037,3.037,3.037,5000,15185.0,,,,,
2013-01-14,2.968,3.037,2.968,3.037,6100,18525.7,,,,,
2013-01-15,3.037,3.037,3.037,3.037,15000,45555.0,,,,,
2013-01-16,3.07,3.07,2.968,3.037,7400,22473.8,,,,,
2013-01-17,3.037,3.037,3.037,3.037,27300,82910.09999999999,,,,,
2013-01-18,3.037,3.174,3.037,3.174,6600,20948.4,,,,,
2013-01-21,3.275,3.275,3.275,3.275,100,327.5,,,,,
2013-01-22,3.275,3.275,3.275,3.275,0,0.0,,,,,
2013-01-23,3.104,3.104,3.104,3.104,100,310.40000000000003,,,,,
2013-01-24,2.866,3.275,2.866,3.275,300,982.5,,,,,
2013-01-25,3.037,3.037,2.968,2.968,3800,11278.4,,,,,
2013-01-28,3.207,3.207,3.037,3.037,7800,23688.6,,,,,
2013-01-29,3.07,3.07,3.07,3.07,500,1535.0,,,,,
2013-01-30,3.07,3.07,3.002,3.002,3200,9606.4,,,,,
2013-01-31,3.037,3.14,3.037,3.14,3200,10048.0,,,,,
2013-02-01,3.037,3.104,3.002,3.07,2600,7982.0,,,,,
2013-02-04,3.07,3.07,3.07,3.07,0,0.0,,,,,
2013-02-05,3.07,3.07,3.07,3.07,0,0.0,,,,,
2013-02-06,3.037,3.309,3.037,3.309,6300,20846.7,,,,,
2013-02-07,3.582,3.582,3.104,3.412,2400,8188.8,,,,,
2013-02-08,3.378,3.378,3.14,3.378,1200,4053.6,,,,,
2013-02-18,3.48,3.48,3.174,3.241,7500,24307.5,,,,,
2013-02-19,3.207,3.207,3.174,3.207,5800,18600.6,,,,,
2013-02-20,3.207,3.241,3.207,3.241,2500,8102.5,,,,,
2013-02-21,3.48,3.48,3.174,3.174,4000,12696.0,,,,,
2013-02-22,3.207,3.207,3.207,3.207,5600,17959.2,,,,,
2013-02-25,3.174,3.309,3.174,3.309,300,992.7,,,,,
2013-02-26,3.446,3.446,3.07,3.07,7100,21797.0,,,,,
2013-02-27,3.002,3.207,3.002,3.207,1600,5131.2,,,,,
2013-02-28,3.207,3.344,3.037,3.037,1200,3644.4,,,,,
2013-03-01,2.934,3.174,2.934,3.174,200,634.8,,,,,
2013-03-04,3.174,3.174,3.174,3.174,0,0.0,,,,,
2013-03-05,2.901,2.901,2.901,2.901,100,290.1,,,,,
2013-03-06,3.174,3.174,3.174,3.174,100,317.4,,,,,
2013-03-07,3.002,3.002,2.968,2.968,200,593.6,,,,,
2013-03-08,2.968,2.968,2.968,2.968,0,0.0,,,,,
2013-03-11,2.968,2.968,2.968,2.968,0,0.0,,,,,
2013-03-12,2.934,2.934,2.729,2.729,25000,68225.0,,,,,
2013-03-13,2.729,2.796,2.729,2.796,52900,147908.4,,,,,
2013-03-14,2.796,2.833,2.763,2.833,52600,149015.80000000002,,,,,
2013-03-15,2.833,2.833,2.729,2.833,14100,39945.3,,,,,
2013-03-18,3.037,3.037,2.729,2.901,23100,67013.09999999999,,,,,
2013-03-19,2.934,2.934,2.729,2.729,13300,36295.7,,,,,
2013-03-20,2.833,2.833,2.833,2.833,5500,15581.500000000002,,,,,
2013-03-21,2.833,2.833,2.796,2.796,19000,53124.0,,,,,
2013-03-22,2.796,2.796,2.729,2.763,24000,66312.0,,,,,
2013-03-25,2.729,2.796,2.729,2.796,14400,40262.4,,,,,
2013-03-26,2.901,2.901,2.695,2.729,14000,38206.0,,,,,
2013-03-27,2.592,2.729,2.592,2.729,400,1091.6,,,,,
2013-03-28,2.729,2.729,2.729,2.729,2900,7914.1,,,,,
2013-03-29,2.796,2.796,2.796,2.796,100,279.6,,,,,
2013-04-01,2.796,2.796,2.796,2.796,300,838.8,,,,,
2013-04-02,2.592,2.796,2.592,2.796,1000,2796.0,,,,,
2013-04-03,2.796,2.796,2.796,2.796,400,1118.4,,,,,
2013-04-04,2.796,2.796,2.763,2.763,500,1381.5,,,,,
2013-04-05,2.763,2.763,2.763,2.763,0,0.0,,,,,
2013-04-08,2.763,2.763,2.763,2.763,0,0.0,,,,,
2013-04-09,2.729,2.729,2.729,2.729,200,545.8000000000001,,,,,
2013-04-10,2.662,2.796,2.662,2.796,500,1398.0,,,,,
2013-04-11,2.763,2.763,2.729,2.729,500,1364.5,,,,,
2013-04-12,2.662,2.662,2.662,2.662,500,1331.0,,,,,
2013-04-15,2.662,2.662,2.592,2.592,4500,11664.0,,,,,
2013-04-16,2.559,2.763,2.559,2.763,300,828.9,,,,,
2013-04-17,2.628,2.628,2.628,2.628,6300,16556.4,,,,,
2013-04-18,2.592,2.592,2.592,2.592,6000,15552.0,,,,,
2013-04-22,2.592,2.592,2.592,2.592,1700,4406.400000000001,,,,,
2013-04-23,2.729,2.796,2.729,2.796,3500,9786.0,,,,,
2013-04-24,2.833,2.866,2.833,2.866,1300,3725.8,,,,,
2013-04-25,2.901,2.901,2.796,2.796,2800,7828.799999999999,,,,,
2013-04-26,2.796,2.901,2.796,2.901,5100,14795.1,,,,,
2013-05-02,2.901,2.901,2.901,2.901,0,0.0,,,,,
2013-05-03,3.07,3.07,2.662,2.968,300,890.4,,,,,
2013-05-06,2.968,2.968,2.968,2.968,0,0.0,,,,,
2013-05-07,3.07,3.07,2.695,2.695,7400,19943.0,,,,,
2013-05-08,2.763,2.763,2.559,2.559,2700,6909.3,,,,,
2013-05-09,2.592,2.592,2.592,2.592,5100,13219.2,,,,,
2013-05-10,2.628,2.796,2.628,2.662,12000,31944.0,,,,,
2013-05-13,2.729,2.833,2.729,2.833,1100,3116.3,,,,,
2013-05-14,2.866,2.866,2.729,2.833,15600,44194.8,,,,,
2013-05-15,2.695,2.833,2.695,2.763,8600,23761.8,,,,,
2013-05-16,2.763,2.763,2.763,2.763,12100,33432.3,,,,,
2013-05-17,2.763,2.763,2.695,2.729,16000,43664.0,,,,,
2013-05-20,2.729,2.729,2.729,2.729,4900,13372.1,,,,,
2013-05-21,2.729,2.729,2.662,2.729,20000,54580.0,,,,,
2013-05-22,2.833,2.934,2.833,2.934,771500,2263581.0,,,,,
2013-05-23,3.207,3.207,3.104,3.14,202600,636164.0,,,,,
2013-05-24,3.174,3.207,2.968,3.07,99000,303930.0,,,,,
2013-05-27,3.037,3.037,2.866,2.934,401500,1178001.0,,,,,
2013-05-28,3.002,3.07,2.968,3.07,147100,451597.0,,,,,
2013-05-29,3.174,3.207,3.07,3.07,269000,825830.0,,,,,
2013-05-30,3.07,3.07,3.029,3.07,51800,159026.0,,,,,
2013-05-31,3.07,3.234,2.989,3.07,133000,408310.0,,,,,
2013-06-03,3.029,3.07,2.989,3.029,64100,194158.9,,,,,
2013-06-04,3.029,3.029,2.948,2.948,30200,89029.6,,,,,
2013-06-05,2.907,2.948,2.907,2.948,23600,69572.8,,,,,
2013-06-06,2.907,2.948,2.866,2.948,10000,29480.0,,,,,
2013-06-07,2.948,2.948,2.866,2.907,96500,280525.5,,,,,
2013-06-10,2.948,3.029,2.907,2.948,33700,99347.6,,,,,
2013-06-11,2.948,2.948,2.907,2.948,34600,102000.8,,,,,
2013-06-12,2.948,2.989,2.948,2.989,24600,73529.4,,,,,
2013-06-13,2.989,2.989,2.948,2.989,27800,83094.2,,,,,
2013-06-14,2.989,3.07,2.989,3.07,73000,224110.0,,,,,
2013-06-17,3.029,3.194,3.029,3.113,83100,258690.3,,,,,
2013-06-18,3.07,3.113,3.07,3.07,17200,52804.0,,,,,
2013-06-19,3.113,3.113,3.029,3.029,26100,79056.9,,,,,
2013-06-20,3.029,3.07,2.989,2.989,51500,153933.5,,,,,
2013-06-21,2.948,2.989,2.907,2.907,31800,92442.6,,,,,
2013-06-24,3.029,3.029,2.824,2.948,65500,193094.0,,,,,
2013-06-25,2.824,2.824,2.702,2.784,27300,76003.2,,,,,
2013-06-26,2.743,2.824,2.743,2.784,27900,77673.59999999999,,,,,
2013-06-27,2.907,2.907,2.784,2.866,1000,2866.0,,,,,
2013-06-28,2.907,2.907,2.743,2.824,23100,65234.4,,,,,
2013-07-01,2.784,2.824,2.784,2.784,2600,7238.4,,,,,
2013-07-02,2.866,2.907,2.824,2.907,4300,12500.1,,,,,
2013-07-03,2.948,2.948,2.824,2.866,1400,4012.4,,,,,
2013-07-04,2.824,2.824,2.784,2.784,10000,27840.0,,,,,
2013-07-05,2.824,2.824,2.743,2.824,6600,18638.4,,,,,
2013-07-08,2.824,2.824,2.824,2.824,5500,15532.0,,,,,
2013-07-09,2.784,2.866,2.784,2.866,6800,19488.8,,,,,
2013-07-10,2.866,2.866,2.824,2.866,19300,55313.8,,,,,
2013-07-11,2.866,2.866,2.866,2.866,10600,30379.6,,,,,
2013-07-12,2.866,2.907,2.866,2.907,8400,24418.8,,,,,
2013-07-15,2.866,2.907,2.824,2.866,29900,85693.40000000001,,,,,
2013-07-16,2.866,2.907,2.824,2.907,18000,52326.0,,,,,
2013-07-17,2.907,2.948,2.907,2.907,2500,7267.5,,,,,
2013-07-18,2.907,2.907,2.662,2.824,12700,35864.8,,,,,
2013-07-19,2.866,2.866,2.784,2.784,12500,34800.0,,,,,
2013-07-22,2.784,2.784,2.784,2.784,6000,16704.0,,,,,
2013-07-23,2.784,2.866,2.784,2.866,21300,61045.8,,,,,
2013-07-24,2.824,2.948,2.824,2.948,52100,153590.8,,,,,
2013-07-25,2.907,2.907,2.866,2.907,39100,113663.7,,,,,
2013-07-26,2.948,2.948,2.866,2.907,16100,46802.7,,,,,
2013-07-29,2.907,2.907,2.907,2.907,22000,63954.0,,,,,
2013-07-30,2.948,2.948,2.907,2.907,17300,50291.1,,,,,
2013-07-31,2.907,2.907,2.907,2.907,35000,101745.0,,,,,
2013-08-01,2.907,2.907,2.907,2.907,8800,25581.6,,,,,
2013-08-02,2.824,2.907,2.784,2.907,2900,8430.3,,,,,
2013-08-05,2.907,2.907,2.907,2.907,4000,11628.0,,,,,
2013-08-06,2.907,2.948,2.907,2.948,33300,98168.4,,,,,
2013-08-07,2.989,2.989,2.907,2.989,30200,90267.8,,,,,
2013-08-08,2.989,2.989,2.824,2.907,61600,179071.2,,,,,
2013-08-09,2.907,2.907,2.907,2.907,9900,28779.3,,,,,
