time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,0.8,0.8,0.8,0.8,10,8.0,,,,,
2013-01-03,0.8,0.8,0.8,0.8,410,328.0,,,,,
2013-01-04,0.9,0.9,0.9,0.9,3020,2718.0,,,,,
2013-01-07,1.0,1.0,1.0,1.0,4080,4080.0,,,,,
2013-01-08,1.1,1.1,1.1,1.1,60,66.0,,,,,
2013-01-09,1.2,1.2,1.2,1.2,6550,7860.0,,,,,
2013-01-10,1.3,1.3,1.3,1.3,5640,7332.0,,,,,
2013-01-11,1.2,1.2,1.2,1.2,1490,1788.0,,,,,
2013-01-14,1.1,1.1,1.1,1.1,250,275.0,,,,,
2013-01-15,1.2,1.2,1.2,1.2,3190,3828.0,,,,,
2013-01-16,1.3,1.3,1.3,1.3,20,26.0,,,,,
2013-01-17,1.2,1.2,1.2,1.2,30,36.0,,,,,
2013-01-18,1.1,1.1,1.1,1.1,1180,1298.0,,,,,
2013-01-21,1.0,1.0,1.0,1.0,710,710.0,,,,,
2013-01-22,0.9,0.9,0.9,0.9,14470,13023.0,,,,,
2013-01-23,1.0,1.0,1.0,1.0,4150,4150.0,,,,,
2013-01-24,0.9,0.9,0.9,0.9,12540,11286.0,,,,,
2013-01-25,0.9,0.9,0.9,0.9,1950,1755.0,,,,,
2013-01-28,0.8,0.8,0.8,0.8,5710,4568.0,,,,,
2013-01-29,0.8,0.8,0.8,0.8,23490,18792.0,,,,,
2013-01-30,0.9,0.9,0.9,0.9,3220,2898.0,,,,,
2013-01-31,0.9,0.9,0.9,0.9,180,162.0,,,,,
2013-02-01,0.9,0.9,0.9,0.9,5700,5130.0,,,,,
2013-02-04,0.8,0.8,0.8,0.8,30,24.0,,,,,
2013-02-05,0.7,0.7,0.7,0.7,20,14.0,,,,,
2013-02-06,0.6,0.6,0.6,0.6,1060,636.0,,,,,
2013-02-07,0.7,0.7,0.7,0.7,120,84.0,,,,,
2013-02-08,0.8,0.8,0.8,0.8,250,200.0,,,,,
2013-02-18,0.9,0.9,0.9,0.9,1700,1530.0,,,,,
2013-02-19,0.9,0.9,0.9,0.9,150,135.0,,,,,
2013-02-20,0.8,0.8,0.8,0.8,70,56.0,,,,,
2013-02-21,0.9,0.9,0.9,0.9,6150,5535.0,,,,,
2013-02-22,0.8,0.8,0.8,0.8,200,160.0,,,,,
2013-02-25,0.9,0.9,0.9,0.9,6000,5400.0,,,,,
2013-02-26,0.8,0.8,0.8,0.8,10,8.0,,,,,
2013-02-27,0.8,0.8,0.8,0.8,1030,824.0,,,,,
2013-02-28,0.8,0.8,0.8,0.8,3000,2400.0,,,,,
2013-03-01,0.9,0.9,0.9,0.9,90,81.0,,,,,
2013-03-04,0.8,0.8,0.8,0.8,10,8.0,,,,,
2013-03-05,0.9,0.9,0.9,0.9,30,27.0,,,,,
2013-03-06,0.8,0.8,0.8,0.8,10,8.0,,,,,
2013-03-07,0.9,0.9,0.9,0.9,40,36.0,,,,,
2013-03-08,0.9,0.9,0.9,0.9,1010,909.0,,,,,
