time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.493,4.63,4.423,4.562,1554210,7090306.0200000005,,,,,
2013-01-03,4.493,4.562,4.354,4.354,1827210,7955672.34,,,,,
2013-01-04,4.286,4.493,4.216,4.354,1523400,6632883.600000001,,,,,
2013-01-07,4.493,4.562,4.354,4.562,2902040,13239106.48,,,,,
2013-01-08,4.493,4.7,4.423,4.562,1661710,7580721.02,,,,,
2013-01-09,4.7,4.769,4.354,4.423,2525510,11170330.73,,,,,
2013-01-10,4.423,4.493,4.286,4.493,1350050,6065774.65,,,,,
2013-01-11,4.63,4.63,4.354,4.354,1377420,5997286.68,,,,,
2013-01-14,4.354,4.562,4.354,4.562,2516130,11478585.06,,,,,
2013-01-15,4.63,4.839,4.562,4.839,3244550,15700377.45,,,,,
2013-01-16,4.908,4.977,4.769,4.769,1706350,8137583.15,,,,,
2013-01-17,4.7,4.769,4.562,4.562,1470860,6710063.32,,,,,
2013-01-18,4.562,4.562,4.423,4.562,1238020,5647847.24,,,,,
2013-01-21,4.562,4.63,4.493,4.63,461860,2138411.8,,,,,
2013-01-22,4.562,4.63,4.354,4.423,902730,3992774.79,,,,,
2013-01-23,4.423,4.423,4.216,4.216,664990,2803597.8400000003,,,,,
2013-01-24,4.286,4.423,4.286,4.354,950670,4139217.18,,,,,
2013-01-25,4.423,4.493,4.354,4.423,729750,3227684.25,,,,,
2013-01-28,4.493,4.63,4.423,4.493,1399250,6286830.25,,,,,
2013-01-29,4.423,4.562,4.423,4.493,1313410,5901151.130000001,,,,,
2013-01-30,4.493,4.7,4.423,4.7,1384350,6506445.0,,,,,
2013-01-31,4.63,4.7,4.562,4.562,946530,4318069.86,,,,,
2013-02-01,4.493,4.562,4.423,4.562,619760,2827345.12,,,,,
2013-02-04,4.562,4.562,4.493,4.493,540250,2427343.25,,,,,
2013-02-05,4.493,4.493,4.423,4.423,824730,3647780.79,,,,,
2013-02-06,4.493,4.562,4.423,4.493,509560,2289453.08,,,,,
2013-02-07,4.493,4.769,4.493,4.63,1920400,8891452.0,,,,,
2013-02-08,4.63,4.839,4.562,4.7,1583000,7440100.0,,,,,
2013-02-18,4.769,4.977,4.7,4.977,2395340,11921607.180000002,,,,,
2013-02-19,4.908,5.116,4.769,4.839,1925560,9317784.840000002,,,,,
2013-02-20,4.839,4.908,4.7,4.839,1065770,5157261.03,,,,,
2013-02-21,4.839,5.116,4.63,4.63,3481440,16119067.2,,,,,
2013-02-22,4.769,4.839,4.493,4.562,1612750,7357365.5,,,,,
2013-02-25,4.562,4.7,4.562,4.63,652530,3021213.9,,,,,
2013-02-26,4.562,4.63,4.354,4.354,2175000,9469950.0,,,,,
