date,time,symbol,price,volume,value,cum_volume,cum_value,floor
2026-03-12,09:04:02,FPT,85.8,145000,12441000.0,145000,12441000.0,HOSE
2026-03-12,09:14:42,VSC,21.75,40000,870000.0,40000,870000.0,HOSE
2026-03-12,09:16:35,AAA,6.64,1,6.64,1,6.64,HOSE
2026-03-12,09:16:51,PPC,9.3,1,9.3,1,9.3,HOSE
2026-03-12,09:17:09,AAA,6.64,1,6.64,2,13.28,HOSE
2026-03-12,09:19:05,AAA,6.64,1,6.64,3,19.919999999999998,HOSE
2026-03-12,09:20:19,AAA,6.64,1,6.64,4,26.56,HOSE
2026-03-12,09:21:02,MBB,27.336,900000,24602400.0,900000,24602400.0,HOSE
2026-03-12,09:21:02,MBB,27.336,134800,3684892.8,1034800,28287292.8,HOSE
2026-03-12,09:21:56,SAB,45.2,35000,1582000.0,35000,1582000.0,HOSE
2026-03-12,09:22:11,PPC,9.3,1,9.3,2,18.6,HOSE
2026-03-12,09:23:32,SCR,5.35,1,5.35,1,5.35,HOSE
2026-03-12,09:25:29,SCR,5.35,1,5.35,2,10.7,HOSE
2026-03-12,09:27:05,SCR,5.35,1,5.35,3,16.049999999999997,HOSE
2026-03-12,09:27:50,SAB,46.0,35000,1610000.0,70000,3192000.0,HOSE
2026-03-12,09:28:36,LSS,7.96,1,7.96,1,7.96,HOSE
2026-03-12,09:29:41,GMD,77.0,250000,19250000.0,250000,19250000.0,HOSE
2026-03-12,09:30:03,VIB,15.9,1,15.9,1,15.9,HOSE
2026-03-12,09:30:52,AAA,6.64,1,6.64,5,33.199999999999996,HOSE
2026-03-12,09:33:44,BWE,40.0,500000,20000000.0,500000,20000000.0,HOSE
2026-03-12,09:33:50,MBB,27.336,166000,4537776.0,1200800,32825068.8,HOSE
2026-03-12,09:34:35,AGG,12.9,285000,3676500.0,285000,3676500.0,HOSE
2026-03-12,09:37:03,AAA,6.64,1,6.64,6,39.839999999999996,HOSE
2026-03-12,09:38:20,AAA,6.64,1,6.64,7,46.48,HOSE
2026-03-12,09:40:05,MBB,26.8,569000,15249200.0,1769800,48074268.8,HOSE
2026-03-12,09:43:31,SCR,5.35,1,5.35,4,21.4,HOSE
2026-03-12,09:44:46,TCB,30.3,1,30.3,1,30.3,HOSE
2026-03-12,09:45:14,HPG,27.1,1,27.1,1,27.1,HOSE
2026-03-12,09:45:42,DCM,48.7,1,48.7,1,48.7,HOSE
2026-03-12,09:46:20,HPG,27.1,1,27.1,2,54.2,HOSE
2026-03-12,09:46:48,HPG,27.1,2,54.2,4,108.4,HOSE
2026-03-12,09:47:15,VIX,18.25,1193200,21775900.0,1193200,21775900.0,HOSE
2026-03-12,09:47:39,HPG,27.1,2,54.2,6,162.60000000000002,HOSE
2026-03-12,09:47:48,VIX,17.1,399000,6822900.000000001,1592200,28598800.0,HOSE
2026-03-12,09:48:08,NLG,25.85,2,51.7,2,51.7,HOSE
2026-03-12,09:48:08,VIX,17.1,399000,6822900.000000001,1991200,35421700.0,HOSE
2026-03-12,09:48:29,VIX,17.1,780000,13338000.000000002,2771200,48759700.0,HOSE
2026-03-12,09:48:32,NLG,25.85,2,51.7,4,103.4,HOSE
2026-03-12,09:48:41,VIX,17.1,780000,13338000.000000002,3551200,62097700.00000001,HOSE
2026-03-12,09:49:39,VCI,35.7,2,71.4,2,71.4,HOSE
2026-03-12,09:50:00,STB,61.7,465000,28690500.0,465000,28690500.0,HOSE
2026-03-12,09:50:05,DCM,48.7,2,97.4,3,146.10000000000002,HOSE
2026-03-12,09:50:19,PPC,9.3,1,9.3,3,27.900000000000002,HOSE
2026-03-12,09:51:04,PPC,9.3,1,9.3,4,37.2,HOSE
2026-03-12,09:52:06,TNT,7.52,300000,2256000.0,300000,2256000.0,HOSE
2026-03-12,09:52:12,VIB,18.2,1666000,30321200.0,1666001,30321215.9,HOSE
2026-03-12,09:53:20,LSS,7.96,1,7.96,2,15.92,HOSE
2026-03-12,09:53:23,MBB,27.336,43000,1175448.0,1812800,49249716.8,HOSE
2026-03-12,09:53:27,STB,61.7,455000,28073500.0,920000,56764000.0,HOSE
2026-03-12,09:54:08,PDR,14.25,140000,1995000.0,140000,1995000.0,HOSE
2026-03-12,09:54:19,MBB,27.336,43000,1175448.0,1855800,50425164.8,HOSE
2026-03-12,09:55:33,FRT,166.1,201250,33427625.0,201250,33427625.0,HOSE
2026-03-12,09:55:42,DCM,48.7,2,97.4,5,243.5,HOSE
2026-03-12,09:56:10,TCB,30.3,2,60.6,3,90.9,HOSE
2026-03-12,09:56:11,STB,61.7,450000,27765000.0,1370000,84529000.0,HOSE
2026-03-12,09:56:40,TCB,30.3,1,30.3,4,121.2,HOSE
2026-03-12,09:56:46,TCB,29.0,20000,580000.0,20004,580121.2,HOSE
2026-03-12,09:57:10,HPG,27.1,1,27.1,7,189.70000000000002,HOSE
2026-03-12,09:57:31,HPG,27.1,2,54.2,9,243.9,HOSE
2026-03-12,09:57:56,VCI,35.7,2,71.4,4,142.8,HOSE
2026-03-12,09:58:19,DCM,48.7,2,97.4,7,340.90000000000003,HOSE
2026-03-12,09:58:26,TCB,33.0,1067400,35224200.0,1087404,35804321.2,HOSE
2026-03-12,09:58:44,TCB,30.3,1,30.3,1087405,35804351.5,HOSE
2026-03-12,09:59:07,HPG,27.1,2,54.2,11,298.1,HOSE
2026-03-12,09:59:32,NLG,25.85,2,51.7,6,155.10000000000002,HOSE
2026-03-12,10:00:08,MBB,24.95,1,24.95,1855801,50425189.75,HOSE
2026-03-12,10:01:28,AAA,6.64,1,6.64,8,53.12,HOSE
2026-03-12,10:02:00,NLG,25.85,1,25.85,7,180.95000000000002,HOSE
2026-03-12,10:02:36,DCM,48.7,2,97.4,9,438.3,HOSE
2026-03-12,10:03:02,VCI,35.7,2,71.4,6,214.20000000000002,HOSE
2026-03-12,10:03:32,TCB,30.3,2,60.6,1087407,35804412.1,HOSE
2026-03-12,10:03:54,DCM,48.7,1,48.7,10,487.0,HOSE
2026-03-12,10:04:10,SCR,5.35,1,5.35,5,26.75,HOSE
2026-03-12,10:04:17,HPG,27.1,2,54.2,13,352.3,HOSE
2026-03-12,10:04:42,NLG,25.85,2,51.7,9,232.65,HOSE
2026-03-12,10:05:10,TCB,30.3,2,60.6,1087409,35804472.7,HOSE
2026-03-12,10:05:18,PPC,9.3,1,9.3,5,46.5,HOSE
2026-03-12,10:05:34,VCI,35.7,2,71.4,8,285.6,HOSE
2026-03-12,10:05:45,SCR,5.35,1,5.35,6,32.099999999999994,HOSE
2026-03-12,10:05:51,AAA,6.64,1,6.64,9,59.76,HOSE
2026-03-12,10:05:56,HPG,27.1,1,27.1,14,379.40000000000003,HOSE
2026-03-12,10:06:33,SCR,5.35,1,5.35,7,37.449999999999996,HOSE
2026-03-12,10:07:50,PPC,9.3,1,9.3,6,55.800000000000004,HOSE
2026-03-12,10:08:31,PDR,14.25,450000,6412500.0,590000,8407500.0,HOSE
2026-03-12,10:09:16,PDR,14.25,450000,6412500.0,1040000,14820000.0,HOSE
2026-03-12,10:09:35,PDR,14.25,450000,6412500.0,1490000,21232500.0,HOSE
2026-03-12,10:09:54,PDR,14.25,450000,6412500.0,1940000,27645000.0,HOSE
2026-03-12,10:10:17,PDR,14.25,450000,6412500.0,2390000,34057500.0,HOSE
2026-03-12,10:10:40,PDR,14.25,450000,6412500.0,2840000,40470000.0,HOSE
2026-03-12,10:10:48,TCB,30.3,1,30.3,1087410,35804503.0,HOSE
2026-03-12,10:11:02,PDR,14.25,400000,5700000.0,3240000,46170000.0,HOSE
2026-03-12,10:11:05,AAA,6.64,1,6.64,10,66.39999999999999,HOSE
2026-03-12,10:11:13,NLG,25.85,1,25.85,10,258.5,HOSE
2026-03-12,10:11:30,PDR,14.25,400000,5700000.0,3640000,51870000.0,HOSE
2026-03-12,10:11:36,NLG,25.85,2,51.7,12,310.20000000000005,HOSE
2026-03-12,10:12:01,HPG,27.1,1,27.1,15,406.5,HOSE
2026-03-12,10:12:27,NLG,25.85,3,77.55000000000001,15,387.75,HOSE
2026-03-12,10:12:41,PDR,14.25,460000,6555000.0,4100000,58425000.0,HOSE
2026-03-12,10:12:54,NLG,25.85,2,51.7,17,439.45000000000005,HOSE
2026-03-12,10:13:00,PDR,14.25,400000,5700000.0,4500000,64125000.0,HOSE
2026-03-12,10:13:16,PDR,14.25,300000,4275000.0,4800000,68400000.0,HOSE
2026-03-12,10:13:26,TCB,33.0,123100,4062300.0,1210510,39866803.0,HOSE
2026-03-12,10:14:09,AAA,6.64,1,6.64,11,73.03999999999999,HOSE
2026-03-12,10:14:21,LSS,7.96,1,7.96,3,23.88,HOSE
2026-03-12,10:14:24,TCB,30.3,2,60.6,1210512,39866863.6,HOSE
2026-03-12,10:14:58,TCB,30.3,2,60.6,1210514,39866924.2,HOSE
2026-03-12,10:15:19,AAA,6.64,1,6.64,12,79.67999999999999,HOSE
2026-03-12,10:15:30,VCI,35.7,1,35.7,9,321.3,HOSE
2026-03-12,10:16:43,AAA,6.64,1,6.64,13,86.32,HOSE
2026-03-12,10:17:04,DCM,48.7,2,97.4,12,584.4000000000001,HOSE
2026-03-12,10:17:50,AAA,6.64,1,6.64,14,92.96,HOSE
2026-03-12,10:18:36,HPG,27.1,2,54.2,17,460.70000000000005,HOSE
2026-03-12,10:19:04,VCI,35.7,1,35.7,10,357.0,HOSE
2026-03-12,10:19:20,TMS,38.15,2291000,87401650.0,2291000,87401650.0,HOSE
2026-03-12,10:19:30,TCB,30.3,2,60.6,1210516,39866984.800000004,HOSE
2026-03-12,10:19:59,VCI,35.7,1,35.7,11,392.70000000000005,HOSE
2026-03-12,10:20:26,HPG,27.1,1,27.1,18,487.8,HOSE
2026-03-12,10:20:49,DBD,54.0,46000,2484000.0,46000,2484000.0,HOSE
2026-03-12,10:20:50,DCM,48.7,1,48.7,13,633.1,HOSE
2026-03-12,10:21:10,AAA,6.64,1,6.64,15,99.6,HOSE
2026-03-12,10:21:18,VCI,35.7,2,71.4,13,464.1,HOSE
2026-03-12,10:21:24,TCB,33.2,20000,664000.0,1230516,40530984.800000004,HOSE
2026-03-12,10:21:42,DCM,48.7,2,97.4,15,730.5,HOSE
2026-03-12,10:22:05,NLG,25.85,2,51.7,19,491.15000000000003,HOSE
2026-03-12,10:22:27,TCB,30.3,1,30.3,1230517,40531015.1,HOSE
2026-03-12,10:23:53,PPC,9.3,1,9.3,7,65.10000000000001,HOSE
2026-03-12,10:24:01,TCB,30.3,2,60.6,1230519,40531075.7,HOSE
2026-03-12,10:24:25,FPT,79.5,37700,2997150.0,182700,15438150.0,HOSE
2026-03-12,10:24:43,TCB,30.3,2,60.6,1230521,40531136.300000004,HOSE
2026-03-12,10:25:06,SCR,5.35,1,5.35,8,42.8,HOSE
2026-03-12,10:25:08,VCI,35.7,1,35.7,14,499.80000000000007,HOSE
2026-03-12,10:25:32,SCR,5.35,1,5.35,9,48.15,HOSE
2026-03-12,10:25:36,NLG,25.85,2,51.7,21,542.85,HOSE
2026-03-12,10:25:59,VCI,35.7,1,35.7,15,535.5,HOSE
2026-03-12,10:26:21,VCI,35.7,2,71.4,17,606.9000000000001,HOSE
2026-03-12,10:26:45,AAA,6.64,1,6.64,16,106.24,HOSE
2026-03-12,10:26:46,DCM,48.7,1,48.7,16,779.2,HOSE
2026-03-12,10:27:16,TCB,30.3,2,60.6,1230523,40531196.900000006,HOSE
2026-03-12,10:27:56,SCR,5.35,1,5.35,10,53.5,HOSE
2026-03-12,10:28:14,TCB,30.3,1,30.3,1230524,40531227.2,HOSE
2026-03-12,10:28:43,DCM,48.7,2,97.4,18,876.6,HOSE
2026-03-12,10:29:51,AAA,6.64,1,6.64,17,112.88,HOSE
2026-03-12,10:30:02,SCR,5.35,1,5.35,11,58.849999999999994,HOSE
2026-03-12,10:31:05,VPB,28.3,1100000,31130000.0,1100000,31130000.0,HOSE
2026-03-12,10:31:15,VIX,17.5,850000,14875000.0,4401200,76972700.0,HOSE
2026-03-12,10:31:47,VPB,28.3,1090000,30847000.0,2190000,61977000.0,HOSE
2026-03-12,10:31:51,DCM,48.7,7,340.90000000000003,25,1217.5,HOSE
2026-03-12,10:32:18,DCM,48.7,1,48.7,26,1266.2,HOSE
2026-03-12,10:32:41,DCM,48.7,1,48.7,27,1314.9,HOSE
