year,quarter,EPS,BVPS,Revenue
2025,3,772.4034417338356,18625.6433013863,6496143966765
2025,2,617.3967845454163,17854.339472634,6358904727276
2025,1,1246.3172431060345,28800.5947081604,6368186360359
2024,4,1355.7734175781666,27554.2774650543,5816232646953
2024,3,908.5207202351758,26198.5040474762,5672623788005
2024,2,1331.1883009889527,25289.983327241,5551203582097
2024,1,1191.4470487554086,24324.8912078364,5660615002048
2023,4,601.7185320561887,23133.444159081,5102187722225
2023,3,1109.2761142155834,22516.0880769368,5345577135128
2023,2,1052.8952873119065,21406.8119627208,4945447165024
2023,1,598.0171542849035,20685.2589270512,4744356857019
2022,4,492.57135189043873,20087.2417727663,4177396921449
2022,3,973.0118570875906,19608.1655347444,4203870502376
2022,2,1077.2268779885073,18635.1536776568,3445312518242
2022,1,321.97366094925644,17598.7594901839,2118413058338
2021,4,91.81820787030541,17276.7858292347,964506119724
2021,3,-352.32872453647354,17193.942384426,363631307702
2021,2,113.30257988473561,17483.7902312595,1531378637437
2021,1,314.0892068807762,17550.615335274,1913264237548
2020,4,160.27303010264768,17236.5261283932,1719335581123
2020,3,64.76970513719128,17109.1606910861,1443118645031
2020,2,-147.0822655668276,17044.0128304314,1004873418102
2020,1,711.3732736094707,17192.3295439065,3634688856803
2019,4,1116.9298816611715,16859.9462009554,4812811212383
2019,3,1012.1332071880449,15802.4980707738,4591365838099
2019,2,781.355370597698,14773.1809311386,4477953484662
2019,1,915.8732206853555,15020.1049794455,4447435311349
2018,4,578.0398141346884,14099.8891170467,4178903864188
2018,3,855.0756780174208,13733.8492237616,3993730788080
2018,2,969.7557898034047,12876.5176580352,4027266436675
2018,1,446.52327356878044,12999.1475863536,3936908829879
2017,4,569.6956663491795,12556.2491888105,3529309444516
2017,3,573.0072196367933,12010.0119884792,3417673878160
2017,2,430.9970588725352,11437.0047688424,2859076719871
2017,1,347.3167079025217,11388.9311241983,4081965844551
2016,4,916.5010408473531,11158.9829496117,4078083717393
2016,3,0.0,0.0,4094155152555
2016,2,0.0,0.0,3891548131630
2016,1,0.0,0.0,4034505543153
