year,quarter,EPS,BVPS,Revenue
2025,3,419.15320784493815,17626.6495091833,204183946361
2025,2,426.7724725522208,16123.7665391158,207380145149
2025,1,491.8908948427647,15697.8386363797,202402919188
2024,4,623.4354702165894,17277.0664459869,224452943605
2024,3,543.0956960614443,16653.982256652,199727099460
2024,2,515.5102547573898,16116.380282079,191529775142
2024,1,430.37922115338955,14530.0730331105,183439248937
2023,4,478.182210484836,17163.983813363,204535791145
2023,3,566.6144046493754,16685.7736527069,176465989901
2023,2,555.9701949526561,15298.3660559513,176502418573
2023,1,583.483700358557,16477.6866798835,170900770821
2022,4,584.971313823,17483.6226583117,213544035037
2022,3,735.0943760748572,17027.737759629,172088555581
2022,2,528.9967944677927,16327.3998534274,150117453980
2022,1,668.0078343293962,17000.3103699337,165044536413
2021,4,564.2627093945562,16352.2952664071,148170913160
2021,3,421.39744280881666,15781.1071921378,128962288108
2021,2,544.9745579667502,16703.5934396542,125511312662
2021,1,654.1051312342635,17620.6739771489,131350604670
2020,4,577.0338956759225,16966.5688459146,142742413452
2020,3,548.7402005441763,16837.4964995029,131886066267
2020,2,538.1844638371563,16288.7562988808,107879484967
2020,1,639.9252268200119,17211.1983524653,133352915665
2019,4,430.85022146558634,16571.2731256452,123734962253
2019,3,650.6890800960516,13785.3765559291,113496884366
2019,2,524.4325645840333,14020.4541732459,111776224034
2019,1,0.0,0.0,135143946276
2018,4,539.2622129013102,16063.2416981862,152668005486
2018,3,0.0,0.0,95895275881
2017,4,947.3546138772995,15800.3472463126,95230706183
2017,3,0.0,0.0,89229108930
2017,2,0.0,0.0,83586976869
2017,1,0.0,0.0,82009432226
