year,quarter,EPS,BVPS,Revenue
2019,1,0.0,0.0,0
2018,2,-151.8052830572845,11381.7230562523,2868304091
2018,1,302.22548134160587,11497.7029397293,5251647647
2017,4,325.11815103599616,6933.2806659531,25540965825
2017,3,383.57792753399826,14670.2390978398,34927896065
2017,2,1510.7337621788408,13948.7279470042,54178263203
2017,1,421.34993364220514,12443.9258192329,20647421670
2016,4,140.56251030607035,12022.5758855907,10094653957
2016,3,182.7500126332475,11949.2489358151,8198107313
2016,2,357.89817868465286,11756.8805014468,12755454857
2016,1,259.8361973127088,11412.6579122694,11324134961
2015,4,87.57384133173046,11139.1461254495,12000579148
2015,3,0.0,0.0,9688017545
2015,2,0.0,0.0,11473857907
2015,1,0.0,0.0,0
2014,4,-34.29645378093151,10321.6891057523,0
2014,3,79.36324974999468,10413.1787401727,1206559998
2014,2,128.08301226679367,10508.6418688595,634258176
2014,1,238.86087970115895,10661.4511513217,2663422909
2013,4,284.9285320910517,11659.2162976421,7288416091
2013,3,62.10553983250995,11488.8858184183,2171680000
2013,2,-67.29656150325971,11423.5113756654,2053263636
2013,1,148.9083535169316,11498.6452192988,3539502291
