year,quarter,EPS,BVPS,Revenue
2025,3,213.1089071165644,12902.6444775613,1419840030106
2025,2,251.27121544478527,12689.5355704448,1266332272807
2025,1,21.10824532208589,12438.264355,1124492986143
2024,4,225.0787706595092,12417.1561096779,1344644238933
2024,3,5.959782883435583,12211.3835669325,471273809007
2024,2,106.89530665644172,12190.0940047086,1072702206705
2024,1,14.22018023006135,12083.1986980521,482466783711
2023,4,200.9511853374233,12068.9785178221,868336811589
2023,3,7.198250168711656,11868.0273324847,510950854868
2023,2,54.84775006134969,11860.829082316,390614380831
2023,1,62.11868852760736,11805.9813322546,445415293731
2022,4,76.20472153374233,11743.862643727,463244164131
2022,3,50.010679493865034,11672.0452105982,241112674195
2022,2,126.9167115797546,11622.0345311043,316214296383
2022,1,67.99260087423313,11495.1178195245,1192680876898
2021,4,424.31333023809526,13692.4033434127,424767815388
2021,3,369.41696214285713,13364.940169127,319232456922
2021,2,35.33707281746032,12995.5232069444,596210596178
2021,1,15.604691666666668,12959.2400291667,444491999818
2020,4,722.0888198809524,12943.6353375,459593501141
2020,3,66.62442916666667,12189.9525346032,479681866886
2020,2,32.40965035714286,12123.3281054365,216415001260
2020,1,14.88384238095238,12090.9184550794,255087192470
2019,4,699.4046259126984,12076.0346126984,531808510044
2019,3,0.0,0.0,292621478433
2019,2,0.0,0.0,100480647931
2019,1,0.0,0.0,84346654956
2018,3,11.106626547619047,5932.0041279365,149590024236
2018,2,61.89213291666667,12433.8847528333,177183582149
2018,1,8.171111083333333,12371.99262,79197011059
2017,4,864.9079065,12363.8215088333,114875834981
2017,3,46.150406,11500.4694215,187958312584
2017,2,50.73488575,11456.87653725,261177060691
2017,1,47.076710166666665,11406.1416515,201944807727
2016,4,82.157504,11359.0649413333,142643307731
2016,3,50.69265958333333,11267.325623,70693254970
2016,2,30.195672833333333,11216.6329635,123451926484
2016,1,12.380626,11186.4372906667,71251607835
2015,4,36.68691608333334,11174.0566646667,164749368051
2015,3,21.630664583333335,11129.6042216667,73394255676
2015,2,28.275985,11094.33539775,49874388475
2015,1,6.2300025,11071.6049935833,61781832664
2014,4,24.0846845,11065.3749910833,129690847987
2014,3,23.756407833333334,11035.2264073333,55773709936
2014,2,74.06379983333333,11011.4699995,66271302406
2014,1,-43.50785375,10937.4061996667,45727947532
2013,4,26.28682025,10980.9140534167,127338444401
2013,3,10.949212,10962.953426,44805553628
2013,2,2591.4101475,10952.0043806667,52437905289
2013,1,-833.063703,8361.0976115,9275800343
