year,quarter,EPS,BVPS,Revenue
2025,3,342.3068643561393,15138.2110903769,661460139916
2025,2,215.04145992975972,14821.4933063974,542576609488
2025,1,169.77380859316676,14636.2036330606,493828316660
2024,4,-11.836449918653114,14466.4298244674,526243123962
2024,3,86.62263782665771,14528.2625426436,465511488436
2024,2,200.11831651883867,14472.5870237408,457347122292
2024,1,31.64134823248626,14289.6210626158,466929056620
2023,4,45.87997581397802,14262.1725998913,513495237590
2023,3,23.900485039163417,14996.6247390898,489932849841
2023,2,-68.99979772355661,14956.5958701186,469071756979
2023,1,33.40805730666252,15028.4403016495,447820352219
2022,4,-259.4919585563682,14901.902838084,577476333684
2022,3,125.99882155433353,15437.443027167,642014328695
2022,2,1006.3911027524017,15298.7533539022,526032599461
2022,1,292.5825861488076,14646.7656875573,234193869355
2021,4,291.14676687283674,14353.6242675079,216374982590
2021,3,221.04751332618173,14007.3890134481,180321768915
2021,2,168.344429026129,13789.6890226704,158896189102
2021,1,132.35411902320084,13712.8965261645,166642261397
2020,4,272.91089415167244,16179.7857297849,170758011116
2020,3,419.1611274454848,16019.1614411105,175696666253
2020,2,279.60874908263884,15598.4147323964,145708266017
2020,1,0.0,0.0,197574585161
2019,4,737.6418673079352,0.0,233721577981
2019,3,848.2881390044624,0.0,238211558598
2019,2,0.0,0.0,218332738694
2019,1,0.0,0.0,196877601516
2018,4,860.421512173613,0.0,195696999236
2018,2,864.9730281827474,0.0,131176417211
