year,quarter,EPS,BVPS,Revenue
2025,3,401.62652106280194,20765.4317255807,828736842448
2025,2,1425.7366573333334,20419.8999044773,2919634610319
2025,1,346.15042347149756,19273.0827795256,1847315916654
2024,4,1402.1488251352657,18926.9323560551,2101418291397
2024,3,332.74877109565216,18486.7799216928,1241330505674
2024,2,264.1121263468599,18185.3422762841,1158883337021
2024,1,114.12184197391305,17984.2766810155,811854842155
2023,4,1981.6062081294685,17934.3007900473,5169656525749
2023,3,210.02083110821255,16506.540794001,1143151894342
2023,2,78.68727184830918,16348.810296457,1099636747480
2023,1,88.41895441352656,16392.6207317942,791503407345
2022,4,54.40433027536232,16359.6091274164,893960486996
2022,3,196.4002124231884,16910.3323371768,2264229812652
2022,2,916.8500379188406,16775.5210890638,1933149922674
2022,1,410.21769264347824,15989.2383485652,1436881188991
2021,4,275.0635687014493,15584.7298325527,3112322364373
2021,3,46.933137847343,14738.4181068068,883020073488
2021,2,466.5520663294686,14939.6519383353,1695747550260
2021,1,441.15803869661835,15718.6155029063,1409194337419
2020,4,747.5997430222222,15048.3083327961,2549120844009
2020,3,565.7965801951691,14592.6138101585,1599303068036
2020,2,278.28276027343,14187.4146246145,2450270520620
2020,1,300.1715434599034,14429.3630706232,1323142175979
2019,4,826.9235921169083,14129.1915271643,3655601294750
2019,3,474.8620076618358,12850.899872544,1493083865826
2019,2,565.3429029381642,12439.8822428937,2267499254969
2019,1,577.4481435487922,12239.3167716763,1920163118538
2018,4,851.5262585861024,12208.1373192024,3028906239859
2018,3,0.0,0.0,2118073056819
2018,2,465.0501323149758,9569.3733030589,1504862589256
2018,1,0.0,0.0,1973446241603
