year,quarter,EPS,BVPS,Revenue
2025,3,234.0522979422418,13920.8837198993,68795171084
2025,2,146.11864890634635,13692.4919827751,47763690179
2025,1,-223.15078416080672,13533.8937298745,31812757116
2024,4,-76.29135738974075,13771.9655932054,46060896214
2024,3,-78.51984171688854,13846.3342900708,48548310316
2024,2,35.385677956440404,13907.3274545671,56349198739
2024,1,-279.14965998538685,14454.5188640356,37091148842
2023,4,559.9129997616296,14732.6078448727,179526180575
2023,3,288.06201156096324,14348.9408959617,110639888135
2023,2,205.11286453826105,14102.4234218327,93038756699
2023,1,112.76748296429108,15232.4251570394,71936484627
2022,4,103.25455634609305,15132.4241336273,126003596428
2022,3,497.31575426087045,14949.2024899859,141786779667
2022,2,912.15510273245,14534.0420160434,164452630696
2022,1,734.1044045404375,14862.4029495225,167956300999
2021,4,353.95442055270837,14238.9310173492,152404897891
2021,3,520.5956267586292,14341.8291659369,68945685199
2021,2,514.3565930654948,13413.7348891319,101794130927
2021,1,428.2805629427341,14457.6565677516,120786835068
2020,4,963.5205305036352,13981.2206527462,208478976403
2020,3,590.056237297709,13316.9586068806,154203130959
2020,2,644.3516966270591,14213.7756760391,111414147611
2020,1,416.9631804308286,13761.7036932899,109083945801
2019,4,727.4981694709733,13313.949429388,211419571736
2019,3,602.0781878928577,13041.0962442415,154126477190
2019,2,988.037411660457,12428.8409753753,163616208075
2019,1,348.73701508469924,12303.7910049384,110872580737
2018,4,734.9914462604352,12856.5125587505,191087116175
2018,3,617.6227422698041,12476.7742673479,159861887945
2018,2,879.2913695414479,11868.0884387777,135230729145
2018,1,353.60999103520106,12383.8973543264,109426772182
2017,4,637.5153379677371,12029.2516163212,180779572645
2017,3,0.0,0.0,182275681092
2017,2,0.0,0.0,114835381973
2017,1,0.0,0.0,149377146716
