year,quarter,EPS,BVPS,Revenue
2025,3,261.76865547301,10696.7708940537,51704391889
2025,2,274.3520498091236,10435.0022385807,50172682153
2025,1,111.66283224292356,10730.6501887716,45748459684
2024,4,163.72141700633728,10618.9873565287,47175847743
2024,3,228.36721236560058,10518.5613112378,47849052935
2024,2,155.225198058387,10290.1940988722,45993825674
2024,1,85.6398896142615,10682.9689008138,38981413182
2023,4,81.74844097169688,10597.3290111996,43911169027
2023,3,251.66303748334798,10620.0595712398,46092225673
2023,2,210.82452202673295,10368.3965337565,43307540552
2023,1,108.9630167774818,10657.5720117297,37522158517
2022,4,165.89802432537059,10548.6089949522,41416765223
2022,3,181.97366966462778,10470.9496247985,43160660542
2022,2,134.44997208179248,10288.9759551338,39551591754
2022,1,105.93602824020083,10612.525983052,34893377404
2021,4,204.79583024187073,10506.5899548118,38569173328
2021,3,167.38485984641073,10416.1205279213,39829802563
2021,2,111.14146834013556,10248.7356680749,36375947205
2021,1,88.30985832845806,10561.5941997348,32623746239
2020,4,156.8068006042719,10473.2843414614,38350899930
2020,3,185.43957264590887,10422.5049733749,40536540839
2020,2,102.53296574451915,10436.065400729,37377057733
2020,1,85.35782359417472,10333.5324349845,35655351514
2019,4,69.75763723035953,10248.1746113903,41715220309
2019,3,124.59057940391128,10285.5924802333,43074960581
2019,2,58.91721378162176,10161.0019008294,36279911670
2019,1,52.950301292943045,10325.067132297,28163038260
2018,4,126.17983915321713,10272.1168310041,32165946121
2018,3,81.92963630956008,10247.0022527409,33383845393
2018,2,68.99474028022674,10165.0726164314,31053399721
2018,1,66.12753513247732,10269.0954193028,25750786277
2017,4,117.2487110625856,10202.967884245,29268857598
2017,3,0.0,0.0,31322366357
2017,2,0.0,0.0,26989174554
2017,1,0.0,0.0,25834398948
