year,quarter,EPS,BVPS,Revenue
2024,4,19.817379777777777,0.0,1986072749
2024,3,2.209072,0.0,1924906638
2016,2,11.646304666666667,0.0,59820324028
2016,1,11.552612666666667,0.0,46781744607
2015,4,98.172884,0.0,41512931203
2015,3,0.0,0.0,44413635862
2015,2,0.0,0.0,41286817728
2014,1,-593.084886888889,0.0,24486096116
2013,4,-863.0709713333333,0.0,27770568897
2013,3,-824.5690393333333,1154.749858,13146201747
2013,2,-720.2472491111112,1979.3188973333,15807345270
2013,1,-663.5739822222222,2699.5661464444,23066823732
