year,quarter,EPS,BVPS,Revenue
2025,3,-280.34125876,11491.84931342,631938752453
2025,2,222.20916978,12062.38586668,837103847608
2025,1,-81.14270837,11920.49433206,767665259541
2024,4,331.69017126,12187.40350198,928616547958
2024,3,-539.42940212,11762.91692822,738303266606
2024,2,516.11158609,12311.54457671,831941923510
2024,1,-207.30251207,11849.14866117,741355449802
2023,4,205.63757605,12290.75136347,694491160593
2023,3,-421.10455579,0.0,683315425908
2023,2,413.18039938,0.0,789664513176
2023,1,89.052606,0.0,645392315084
