year,quarter,EPS,BVPS,Revenue
2025,3,953.5863763589301,20065.3966695125,2544241925306
2025,2,616.9591140163934,19113.1344950561,2385975941304
2025,1,141.68526210526315,18547.881781855,1475955830918
2024,4,472.3736386151855,19861.207299547,2307117229959
2024,3,535.3171644866264,19389.9040055867,2348254554966
2024,2,663.7101925064711,19097.7349652502,2327864849084
2024,1,-22.588856302847283,19965.5217803753,1319746484338
2023,4,246.86784457722175,20012.0141638266,2271287540882
2023,3,390.0010395772217,21071.1509305781,2298837299665
2023,2,760.860568308887,20712.5301319111,2133523032152
2023,1,49.33109605263158,20035.6002160224,1199654903043
2022,4,241.31833957722174,20105.6847723727,2516417427451
2022,3,883.7736492277826,19981.9722911346,2475978768526
2022,2,786.3081844650561,19046.2334115833,2162061392090
2022,1,196.98001032355478,18288.2285093184,1369865643823
2021,4,41.87448898188093,17755.1980717299,1965886159738
2021,3,549.8490841415013,20515.6466374504,1733823791209
2021,2,633.0592328602244,19963.5867968594,1977562892129
2021,1,273.8707288654012,19397.5371353106,1389535351767
2020,4,1096.3778479206212,21990.3601500992,1871988779740
2020,3,1348.106838977567,21419.094713201,2741615588389
2020,2,964.6395190767903,20119.0415859146,2132491362767
2020,1,-309.5684837963762,19234.4741328128,779993554320
2019,4,336.70537100086284,19640.1205825971,2788425838142
2019,3,641.751471281277,19311.2674097066,2695045029573
2019,2,1023.0755827135462,19718.4578968119,2448866762565
2019,1,423.951989391717,18744.4539939431,1578840421946
2018,4,88.94167078084556,18329.4219068982,2560412710611
2018,3,775.6588975366695,18420.8303401726,2470113583448
2018,2,865.0428664926661,17733.659213063,2928214329790
2018,1,566.7429305047455,16922.8295647714,1430139052708
2017,4,545.9502607118205,16370.6448166178,2613217210736
2017,3,1289.2272220189818,24806.9466461432,2993530774497
2017,2,876.6328850129422,23617.1189909664,2958149449998
2017,1,0.0,0.0,1275140417553
2016,4,-81.2453885202761,24435.1584964409,3744311713337
2016,3,0.0,0.0,3603888687672
2016,2,0.0,0.0,2778982801997
