year,quarter,EPS,BVPS,Revenue
2025,3,18.382018061411816,10484.5487439432,41179706272
2025,2,47.79543972253775,10466.1667258817,86302338481
2025,1,37.65510705215628,10418.3712861592,44475337897
2024,4,49.97240766596163,10380.716179107,65351706715
2024,3,37.82873738531822,10328.6775527301,65169105897
2024,2,59.413948494198074,10290.8488153448,88471245041
2024,1,56.100801798432656,10231.4348668506,69734595158
2023,4,25.372147218863677,10683.9572169835,44660976013
2023,3,36.56897605091778,10663.2967467162,45152073749
2023,2,24.197897688625524,10626.7277706799,42717031497
2023,1,64.35785365225091,10598.3625809701,51003269022
2022,4,25.398064483388506,10534.0047273179,72663060713
2022,3,144.53953504651167,10510.7369661808,136075579759
2022,2,160.89391019354838,11402.8143318871,99567307515
2022,1,72.74823072580645,11246.7553605323,77931760300
2021,4,128.13281456451614,6344.4625135645,85215492786
2021,3,129.8159791875,12017.3904421563,111113719496
2021,2,137.1642853125,11886.8817170625,79005596174
2021,1,180.4359263125,11749.71743175,91415716904
2020,4,270.8055869375,11569.2815054375,86495786887
2020,3,146.81087803125,0.0,66570224217
2020,2,82.68934440625,0.0,91156153714
