year,quarter,EPS,BVPS,Revenue
2025,3,443.94741469432273,16718.2583186889,111239328391
2025,2,516.6877875606758,17474.3133282376,114477245873
2025,1,339.72129463950574,17517.7040602919,98284232338
2024,4,328.5127227909631,17177.9851898954,118552993384
2024,3,626.1881534193503,16849.4724671044,123717111297
2024,2,450.2528675360487,17323.2843136851,103570220313
2024,1,352.7229243772746,15767.374879202,73547629597
2023,4,424.11248826969415,16954.3157457735,87500423185
2023,3,540.7046496253696,16527.3989082987,97819406174
2023,2,257.08336882829144,15986.6942586734,78752577691
2023,1,344.59548563930963,17338.3721394842,68206011267
2022,4,235.7506458385404,16993.7766538448,89761523689
2022,3,642.1051920255011,16764.8501947112,90417262281
2022,2,267.65094973356355,16122.7450026857,82175281401
2022,1,366.07449755341355,17460.5245550363,75707484503
2021,4,315.73481617813724,17094.4500574828,97078564572
2021,3,404.05433108387825,16755.6137759872,82709271724
2021,2,564.4173205860171,16351.5594449033,92059225707
2021,1,446.0002912323938,17145.4285037806,76259990554
2020,4,403.1119331988525,16699.4282125483,77754457837
2020,3,439.66280816068075,16457.8684882105,67166074022
2020,2,499.80019057782397,16017.1880664698,77826825617
2020,1,362.50822485047877,15834.7745088746,65988464147
2019,4,343.6015857620006,16472.2662840241,68462297890
2019,3,387.57450478573855,16138.7632890739,77399674671
2019,2,503.07732389753306,15751.1887842882,66155807725
2019,1,357.78435526085383,16470.1034005099,57890524151
2018,4,326.1743053351851,16112.3190452491,73360581520
2018,3,377.27884742113474,15779.4225343247,57624348762
2018,2,304.34136210295645,15402.0145726904,51722360962
2018,1,357.5562990439513,16187.5515656287,50105616950
2017,4,296.95996904080056,15827.4514010791,59016548440
2017,3,288.1247492827675,15495.1795557607,48500241202
2017,2,251.8720039285666,15207.0548064779,55683309905
2017,1,365.2282429644225,16046.6770589924,55819016368
2016,4,814.5305767750893,15681.448816028,66989546653
2016,3,172.7423774728996,15364.2903910199,44017311537
2016,2,427.5326904725714,15191.548013547,46271818519
2016,1,434.2938250409273,15836.5173358022,45690174885
2015,4,240.18596125720273,15402.2235107613,37279837572
2015,3,341.8518586307536,15179.7762559458,53932576767
2015,2,381.20706162595434,14837.9707306596,47457208918
2015,1,209.6897603288308,15348.4325720645,41294700854
2014,4,279.5149543874637,15138.7428117356,52498285346
2014,3,371.3973753690607,14811.2077901918,56602952083
2014,2,295.2311037327928,14439.8104148227,46483001904
2014,1,345.05918466081243,14588.5514304367,48151613415
2013,4,266.625231020258,14243.4922457759,53246152655
2013,3,134.0334210182031,10927.2703708938,40001033417
2013,2,228.8943986006623,16131.425771982,39118196470
2013,1,351.7119036877342,17236.5691312895,70522248581
