year,quarter,EPS,BVPS,Revenue
2025,3,611.1138783989313,14915.5634825072,113252014284
2025,2,638.5737056041442,14304.4496041082,64022290834
2025,1,132.81664364655865,13690.4782638398,49882823832
2024,4,523.5843912822513,13557.6616201933,104322687751
2024,3,485.55888276872554,14040.0041588922,117201770981
2024,2,41.94346833385751,13554.4452761235,40791356424
2024,1,6.624508558027762,13543.0912773523,33826119959
2023,4,-56.358938699099006,13536.4667687943,109813890827
2023,3,611.2568703597816,14577.7046548087,128361148889
2023,2,65.68681337856329,13966.4477844489,48934675228
2023,1,158.60065198618267,14222.9090749994,57041166781
2022,4,794.0792964535158,14064.3084230132,123501919031
2022,3,1073.284140626905,13558.6291239598,144147763649
2022,2,268.21130330926235,12997.2545801787,71491552313
2022,1,217.35325969300118,13238.1714945811,58740637020
2021,4,1104.3921507398566,13020.8182348881,143057738332
2021,3,371.0705676221395,12389.7396636764,94167731344
2021,2,0.9947623857375572,12045.2072641132,35402607878
2021,1,58.37466806709228,12044.1807761991,55778415434
2020,4,1079.4704004279183,12585.0963935686,138273731189
2020,3,819.6162378870324,11954.5647293649,115737738178
2020,2,-595.7571901217452,11099.8039995273,32665441111
2020,1,-128.11652534628152,11734.5896630934,31681880015
2019,4,1002.124347557891,13452.4853815784,114258650479
2019,3,932.3741094654331,12576.3666143757,113144919892
2019,2,-21.466058918215822,13506.9962104705,38006765958
2019,1,101.00085397231257,13570.6463853722,53301990452
2018,4,678.0290045940571,13469.6455313999,77353661577
2018,3,1072.5338113114817,13119.8901624686,101328071830
2018,2,14.747804253820815,14456.800245629,43499843074
2018,1,218.752887680735,14511.4525483964,54833969105
2017,4,2172.6646165671577,15392.6996607156,136039450894
2017,3,1731.9478979512646,13271.65205515,118317261528
2017,2,0.0,12244.5041572093,85092903012
2017,1,0.0,12757.637379403,60608900290
2016,4,0.0,12209.6477561791,124840508019
2016,3,0.0,10951.5810595224,68571489356
2016,2,0.0,10190.0356996119,30217915745
2016,1,0.0,10655.3413079701,22626411301
2015,4,0.0,0.0,117615526455
2015,3,0.0,0.0,67988523976
2015,2,0.0,0.0,29621536867
2015,1,0.0,0.0,23269672924
