year,quarter,EPS,BVPS,Revenue
2025,3,39.27676915,6472.1412568,110292968839
2025,2,140.8164822,6432.86448765,116001180512
2025,1,25.0064952,6292.04800545,111309214950
2024,4,232.4755823,6267.04151025,160096163443
2024,3,137.03448578333334,6034.56592795,148770453405
2024,2,217.4083804,5897.5314429167,170660172087
2024,1,160.92519023333332,5680.1230625167,147986034479
2023,4,127.51043975,5519.1978722833,144666875192
2023,3,194.01720426666665,5391.2962100167,130094695119
2023,2,179.18111243333334,5197.27900575,132262523062
2023,1,82.57700811666666,5018.0978933167,108188688809
2022,4,171.54471231666668,4935.5208852,159760362329
2022,3,214.5042389,4762.6452492167,129940269076
2022,2,16.992181533333333,4548.1410103167,111524330582
2022,1,-154.12175478333333,4531.1488287833,84039847386
2021,4,-580.2826720166667,4685.2705835667,69479868376
2021,3,-375.59850946666666,5267.02878715,26535723477
2021,2,-140.30016605,5782.9274626667,81942231609
2021,1,22.900203283333333,5782.9274626667,104126615799
2020,4,237.69058016666668,5565.1284667333,151417484761
2020,3,33.18133211666667,5354.5101203,109366785842
2020,2,-570.53545515,5304.9460681,79045302164
2020,1,-1563.0217530666666,6662.7171608,58615280435
2019,4,100.71515533333333,8376.0515483667,147355256049
2019,3,23.955848233333334,9619.6943901333,144525813653
2019,2,26.765659333333332,9596.0525155833,179096297271
2019,1,42.044667016666665,9684.8464408833,149773992098
2018,4,-167.64595418333334,9487.3742395333,161877654368
2018,3,-567.0999403666667,9655.0201937167,122815145011
2018,2,51.088241,10194.4226674167,215188450069
2018,1,27.266791433333335,10246.6419264167,127576429321
2017,4,86.27392266666666,10219.3751349833,152615804272
2017,3,-91.42161003333334,10167.5989974216,129031736502
2017,2,0.0,0.0,159397393040
2017,1,0.0,0.0,118221724412
2016,4,31.358199366666668,10318.3003274137,150509150058
