year,quarter,EPS,BVPS,Revenue
2025,3,766.0708061111111,16985.0083805,157959169960
2025,2,375.35093794444447,16281.4787079444,137312586176
2025,1,-75.66288505555555,16921.8758511667,108599852876
2024,4,417.0282497777778,17060.0798697778,153367275434
2024,3,710.2328249444445,17702.107312,173589482320
2024,2,811.5698521111111,17050.9301790556,182358111875
2024,1,338.61894822222223,17228.2369031667,129996566935
2023,4,400.99446705555556,16948.7847580556,151009153554
2023,3,718.5487614444445,17275.4993599444,180881359408
2023,2,860.4691391666667,16612.6450428889,159710529199
2023,1,435.9621431111111,16764.3218958333,118890191012
2022,4,594.4538534444445,16388.1917213333,155405001839
2022,3,596.9762771111111,16854.9090959444,175099608052
2022,2,1343.7054879444445,16319.1040469444,178491901574
2022,1,664.0563525555556,17032.0372326667,119598122649
2021,4,1090.9171311666666,16429.1521082778,159100767521
2021,3,913.2012372222222,15391.7210882222,132193432539
2021,2,826.8473842222222,14532.0059621111,159356539790
2021,1,190.89790788888888,14758.2591441667,113649251319
2020,4,500.620106,15072.6284863333,154325522050
2020,3,835.7772433333333,14795.1896395556,189901637202
2020,2,303.8467597222222,14033.8061492778,134135518273
2020,1,-350.27248822222225,13663.4290852778,72810040353
2019,4,878.9588276666667,15013.7015735,202707577058
2019,3,1195.584015111111,14262.8814712222,204674822658
2019,2,867.4900642777778,14183.3992636667,186458064151
2019,1,729.2993508333333,15407.7325099444,184598082089
2018,4,104.13743794444444,15791.966917,179400347968
2018,3,0.0,0.0,178902710998
2018,2,898.2809393333333,17142.8071391111,175704040116
2018,1,568.1170088888889,0.0,143466080250
