year,quarter,EPS,BVPS,Revenue
2025,3,235.4389974,10866.8105756,227287479529
2025,2,210.44275733333333,10658.4556773333,235773436406
2025,1,-80.96251151111112,11187.3899673111,171709250100
2024,4,337.0597692222222,11294.1034900889,256581069263
2024,3,246.6871709111111,10979.3937208667,260408012158
2024,2,267.5591364222222,10755.0565499556,238968119806
2024,1,45.66499597777778,11198.0857652444,179072832329
2023,4,174.20777615555556,11174.7707692667,218824762906
2023,3,218.69418777777778,10939.0901908889,237795917377
2023,2,167.0608462,10740.8404549778,189948276285
2023,1,98.11203457777778,10913.1046718444,162587157262
2022,4,5.382598511111111,10835.4370817111,208528378363
2022,3,-4.386833955555556,11250.9801340889,229689517740
2022,2,585.6044556666667,11975.7175465333,242249015672
2022,1,313.5101676888889,11346.9020476667,184824064684
2021,4,257.6841338666667,11054.3175309111,180810988371
2021,3,199.31947753333333,10831.7535782667,175992950857
2021,2,299.0361087555556,10667.5542819333,217605237612
2021,1,24.15350388888889,10887.1008567333,140843849350
2020,4,212.44601844444443,10849.8194287111,184338798787
2020,3,351.73846424444446,10740.2524791333,213278719169
2020,2,209.1264933777778,11723.3973482444,166758934050
2020,1,-17.7161762,11484.9347183778,135932946267
2019,4,202.27235455555555,11518.3390018,244778554902
2019,3,497.19475444444447,11360.9155172444,230736373300
2019,2,479.8834577555556,10908.5696328,258220530852
2019,1,344.23460744444446,10475.4928314444,227098052419
2018,4,197.97981635555556,10774.1493076,244682676318
2018,3,205.2963353111111,10673.2813346889,212616434233
2018,2,322.65817444444446,10467.9849993778,233692472961
2018,1,-8.402838911111111,11002.2157138222,177832576174
2017,4,361.8095131333333,11029.4118093556,230544336869
2017,3,0.0,0.0,215014254409
2017,2,0.0,0.0,228622864562
2017,1,0.0,0.0,189315321401
2016,3,0.0,0.0,246275396580
2016,2,0.0,0.0,188988903337
2016,1,0.0,0.0,139910527222
