year,quarter,EPS,BVPS,Revenue
2025,3,1118.6873077037037,28733.1132511852,63070500996
2025,2,1047.7177526666667,30614.4259434815,60171236396
2025,1,1072.9594795555556,29566.7081908148,79222494630
2024,4,770.1038128888889,28493.7487112593,80478532804
2024,3,887.6764846666666,27723.6448983704,59982950252
2024,2,873.4590087407407,30185.9684137037,69915470607
2024,1,939.80619,29312.509404963,66140765965
2023,4,636.4427557037037,28372.703214963,67123382425
2023,3,858.3042731111111,27724.9588776296,54973757051
2023,2,1232.022635925926,28866.6546045185,54412597212
2023,1,926.9441102962963,27634.6319685926,55923702417
2022,4,548.9156705925926,26707.6878582963,53080940316
2022,3,697.5955778518519,26621.5269183704,45141982505
2022,2,396.45339044444444,26672.0794886667,37774781287
2022,1,149.60522866666668,26282.5306473333,26763448357
2021,4,37.164020074074074,26132.9254186667,25166159029
2021,3,-103.15983244444445,26795.7613985926,15145110904
2021,2,264.6155943703704,26898.921230963,34703732807
2021,1,146.6076745185185,26733.2648488889,28238017225
2020,4,119.20694829629629,26586.6571743704,39333058672
2020,3,82.5763568888889,26478.7698457778,26376108384
2020,2,398.86706207407406,27396.1934888889,40979904881
2020,1,629.6385885925926,26997.3264268148,60502209609
2019,4,976.3241782222223,26733.1845471852,92244642007
2019,3,763.1388184444445,26577.4504137778,63426205339
2019,2,1291.0402721481482,26326.0893731111,74695325271
2019,1,945.6306887407408,25046.2342861481,88553691185
2018,4,1222.3991911111111,24747.6650202222,89463222640
2018,3,786.9382428888889,25235.2658291111,81669322318
2018,2,1044.8450036296297,24458.3275862222,87724539398
2018,1,846.2815114074074,23423.4825825926,95004420735
2017,4,1016.8165913333333,23019.5992607407,99871406076
2017,3,553.9192265925926,22592.1318347818,72102459508
2017,2,732.1108799416453,28556.0418186792,91132136457
2017,1,744.3731649612218,27679.2989325472,94277554556
2016,4,491.29304506057485,27322.7919924528,87111317105
2016,3,672.6707347400549,26844.2451784906,82814325532
2016,2,1111.9155720837875,26184.3245077358,106499145241
2016,1,627.913637042896,26785.1323572642,89283623662
2015,4,548.4827423711596,26829.2165332075,88764980600
2015,3,704.9045747759197,26294.4184904717,80128532295
2015,2,1628.4976249498102,26402.8137929245,92971484515
2015,1,690.4175625975492,25487.6376758491,71996550413
2014,4,1194.2037761930064,25435.3712854717,86426757892
2014,3,871.9590645123067,25060.5085750869,76396373791
2014,2,813.6982463591684,25201.2856287718,88976619267
2014,1,734.5889059353707,25402.8713414321,77441021617
2013,4,1569.82400467708,25441.226532523,89696434396
2013,3,829.5654761949686,25023.090314267,83084821673
2013,2,1443.8531081222848,25209.1245220755,81998277984
2013,1,590.087098066978,24558.9457454717,83586516056
