year,quarter,EPS,BVPS,Revenue
2025,3,1287.7242282051282,27772.446324359,137129396172
2025,2,965.7842129273504,26484.7220961538,139530666621
2025,1,2022.9692808760683,29939.2646175214,134084326985
2024,4,-1043.5604133547008,27916.2953366453,142826448306
2024,3,1572.8001451923076,28497.9734151709,138705109454
2024,2,1943.069623931624,26925.1732699786,141420818965
2024,1,2555.3576717948717,28687.4692543803,138512335640
2023,4,-104.3445217948718,26132.1115825855,135342899404
2023,3,1063.6545159188033,27676.509471047,132924152214
2023,2,1608.7783132478633,26612.8549551282,130930804445
2023,1,2096.3675622863248,28399.5567682692,130608512999
2022,4,297.1937561965812,26303.1892059829,129312388243
2022,3,1786.9613520299145,25303.4123793803,125553704279
2022,2,1216.0194903846154,23516.4510273504,115715692004
2022,1,891.0734051282051,24211.6444445513,98173416994
2021,4,-419.1361454059829,23320.5710394231,84002094185
2021,3,765.6900664529915,23776.4006037393,86964609539
2021,2,1092.0534076923077,23010.7105372863,111745432233
2021,1,1328.3902439102565,23787.4284971154,107633555249
2020,4,592.1376477564103,22459.0382532051,113849659801
2020,3,822.2764042735042,21416.6350686966,108820039471
2020,2,194.6804342948718,20594.3586644231,102983031448
2020,1,2222.2213253205127,22092.6055805556,128870720777
2019,4,-142.06548344017094,19870.384255235,120931786752
2019,3,1645.8076778846155,19790.3038340812,117939305781
2019,2,935.2303679487179,18435.6164061966,115844033034
2019,1,1089.497984508547,18941.5986450855,112810555561
2018,4,880.4712633547009,17852.1006605769,119491053260
2018,3,599.6284274572649,16172.6966269231,115324376760
2018,2,209.92509903846152,15679.8443632479,113610066504
2018,1,0.0,0.0,107131127211
2017,4,287.8347579059829,15679.8443632479,115021955315
2017,2,0.0,0.0,110792815812
