year,quarter,EPS,BVPS,Revenue
2025,3,1022.912911029898,33015.3506973875,10448267257725
2025,2,895.2264079160046,32048.6703033466,11364907796139
2025,1,905.106160356144,31354.9081549047,10675751900634
2024,4,754.8406389703549,30433.5970557936,11165344381246
2024,3,721.5025626157411,30673.3650074929,10473575370025
2024,2,576.3453862247446,30000.082134054,10708089813599
2024,1,789.1062411175094,29537.9461998986,10322671994713
2023,4,483.08641268072444,28748.8399547397,11114691927996
2023,3,584.2121134453045,29138.3836158741,10391709658069
2023,2,541.8908581173458,28605.0419825398,10538407611787
2023,1,711.5753435334498,28167.2382093728,10498304763879
2022,4,460.0635226835102,27468.4047396356,11260676329723
2022,3,520.0434769773543,30002.5550067086,10660575464381
2022,2,447.4149303577062,29534.4745042158,10804435834439
2022,1,634.0727805782337,29180.203241958,10014442837642
2021,4,706.6183136706286,28546.2696640811,10763617237573
2021,3,603.5729889040557,28694.0833296364,9625017779148
2021,2,593.2908214155211,28193.528694149,10248923053367
2021,1,631.9790193514798,27592.3697114252,9359074163685
2020,4,615.0576468728635,26961.1540616973,10629404234602
2020,3,620.4214595525997,27149.1001536496,9593682959802
2020,2,684.4444811233083,26581.6594819434,9209339297905
2020,1,170.32540719039568,25992.6142075956,8755389665503
2019,4,120.98101496318925,25688.264066256,9944007430056
2019,3,464.1776776065566,21095.0306592955,9032023294750
2019,2,346.9989848341108,21892.1045315324,8814506703449
2019,1,573.421450839495,21696.4241910951,8048298572471
2018,4,329.6660549232431,21076.4875781445,8568666590276
2018,3,113.70369913879657,20797.8744144362,7825388955529
2018,2,469.83607183642533,21713.2223007101,7668951270267
2018,1,613.6772275592368,20858.6695742646,6801800573563
2017,4,451.35905069602086,20230.6775285647,7356537373953
2017,3,263.07366835769335,19764.9744115798,6184101391390
2017,2,1023.2992461899584,20535.029855819,6129542381023
2017,1,559.1485827338932,19692.3944811488,5339034915931
2016,4,386.49586110472933,19149.3937826904,5645663502598
2016,3,465.55674930066203,19045.5769042805,5055088869872
2016,2,563.3500137626644,18631.5979573317,4896434388958
2016,1,563.437115098648,18973.9300319828,4278819267710
2015,4,298.89261926166324,18490.0945672938,4425942142693
2015,3,320.04572949053437,19084.7724337257,4130133115268
2015,2,512.3387888829437,17871.1287932243,4040686804432
2015,1,520.798008255553,18463.9474918649,3607270627679
2014,4,497.93191686574164,18463.9474918649,3847278904847
2014,3,463.742481668966,17596.0163737953,3548556490520
2014,2,342.8964301446341,17132.8060673389,3392212607711
2014,1,591.6952042001516,18410.1447906232,2367341546060
2013,4,448.91473081293225,17819.2230109986,3458028417006
2013,3,412.2326415424516,17392.5464161395,3228274380320
2013,2,357.9178030006767,18494.9076506127,2924003367348
2013,1,412.48043655716486,18214.387710844,2705908316854
