year,quarter,EPS,BVPS,Revenue
2025,3,1202.0740297839511,25915.1976651663,903417770373
2025,2,1375.814848137744,24531.1844362029,1325150951067
2025,1,670.9742841591839,23177.3311232938,923926906721
2024,4,645.4079106357788,24263.30541501,1190539284818
2024,3,827.9515485986445,23617.8975043742,942459342041
2024,2,617.0962083183671,22789.9523397962,1034300694422
2024,1,814.7082583703831,22172.8598873278,791698501791
2023,4,750.5960099574953,24891.2639135341,1127886327109
2023,3,917.3400973045822,24124.2337816608,840492682452
2023,2,1083.3748831640057,23199.8128601026,876876543717
2023,1,729.7122515446817,22105.1141786129,680630228466
2022,4,868.6465187072362,23293.4175274362,1043251236467
2022,3,1018.7588981132076,22424.1530609164,860138581810
2022,2,1045.9657689871449,21405.3941628032,847031278989
2022,1,916.5302878343355,20359.4283938161,733325577475
2021,4,1265.1893324797843,20104.3485427638,1017801536116
2021,3,821.4989513477088,19749.0781468899,651685994500
2021,2,875.3819900269542,19170.1590089104,787026803577
2021,1,893.6355516483517,18295.3990383734,675477972705
2020,4,800.0524967786666,18004.0670106293,859766652660
2020,3,744.4855386986667,13261.55191312,740550445371
2020,2,784.7703696133333,15635.64113184,691901690584
2020,1,877.79286006,14916.7875150667,733118666965
2019,4,1080.4105094266667,14660.4194385467,769036565273
2019,3,706.1513218533333,14579.5565959267,644606686020
2019,2,695.0800729733334,13873.4052740733,641010969728
2019,1,693.0072685933334,28554.1841011,491306339592
2018,4,621.7723755666667,27488.3166155733,606136853987
2018,3,856.0404621733334,26552.27185828,543744253504
2018,2,272.92680842,24898.3777330667,627365146462
2018,1,412.6611573733333,23059.8408235067,421827068047
2017,4,557.18235626,22338.87425464,547979478446
2017,3,325.5944058333333,21558.5788302267,503200224216
2017,2,0.0,0.0,406579399406
2017,1,0.0,0.0,341846355159
2016,4,172.20199504,19077.0008753867,379258069155
