year,quarter,EPS,BVPS,Revenue
2025,3,805.7164183342962,11634.1874659907,200173760407
2025,2,705.1052590929393,10828.4710476564,191279301235
2025,1,664.0526857722139,11232.2651486709,181615262786
2024,4,457.9296197370821,10669.2972090942,134622399368
2024,3,759.2143802135616,11531.3509388174,203426085839
2024,2,655.2803293318728,10772.1365586039,175488477879
2024,1,674.5961244600431,11120.583450054,205052919050
2023,4,543.9392477888889,11607.5811162,169026554682
2023,3,694.1825768333333,12107.7332381111,186817969274
2023,2,923.3306621777778,11517.9511231222,178599135320
2023,1,492.3983785777778,12040.1760165,169037942316
2022,4,367.2990086111111,11658.8887490333,192431460075
2022,3,548.9069375444444,11319.4145172111,214875996897
2022,2,559.8006684333334,11703.840913,173973736739
2022,1,661.9480437666666,11310.7069112333,168754713682
2021,4,302.08672424444444,10648.7588674667,196586262067
2021,3,594.8434151333333,11086.0169131222,139882285768
2021,2,668.6144510444444,10624.5068313222,176124047122
2021,1,618.2459310333334,10755.8923802778,166903760833
2020,4,562.1042243777778,10670.9797825778,164247457865
2020,3,718.8472448333333,10309.755588,166276343671
2020,2,669.3054654777778,10368.6861209667,174916773539
2020,1,703.6583571625,10908.9117818375,169729471063
2019,4,572.6839825875,10283.1448802625,161841153123
2019,3,773.937570675,10545.4866796,158879530901
2019,2,743.8857553375,10352.35735895,169706832662
2019,1,927.6537632698413,12264.7258458254,155042750045
2018,4,840.0236566349206,11337.0720825873,153601763432
2018,3,1129.254558174603,11157.2453073333,154319511089
2018,2,823.4709820793651,11805.7685269365,154895672155
2018,1,727.1790124,11181.4124221,139992537361
2017,4,643.1172346666667,10537.5667430333,127883746272
2017,3,0.0,0.0,148719208473
2017,2,0.0,0.0,155246941014
2017,1,0.0,0.0,131341478160
2016,3,0.0,0.0,125133308636
2016,2,0.0,0.0,142130395766
2016,1,0.0,0.0,124397140543
