year,quarter,EPS,BVPS,Revenue
2025,3,102.13198548051122,11467.0573937477,172180446059
2025,2,438.17086923599254,11364.9254082672,248517421651
2025,1,63.752524192082156,10941.3176524255,180753890218
2024,4,112.44323484483132,10877.5651282334,457691895992
2024,3,17.401714016957808,10763.8685038563,286430240083
2024,2,129.62821339142354,10746.4667898393,209241406678
2024,1,12.942892498397896,10631.4016898422,191634536282
2023,4,97.56687193968308,10618.4587973438,407100773781
2023,3,19.905577497672652,10520.1676914837,326808759178
2023,2,38.40629130058505,10501.1043656784,234466502118
2023,1,-0.19294212625209603,10478.1036222961,281068209394
2022,4,204.13139735,10792.6405714833,406909590891
2022,3,115.22344246666667,10587.40653525,398158648923
2022,2,83.9031383,10472.1830927833,166697779991
2022,1,25.30960055,10079.1132878167,75733406223
2021,4,102.95609165,10371.3036872667,97066462558
2021,3,80.22962815,10260.1139677667,83234257776
2021,2,25.509069266666668,10307.8086036833,95107244689
2021,1,67.0369071,10307.8086036833,62665566824
2020,4,317.09965516666665,10483.8100909333,128687211008
2020,3,58.5183582,5166.7104357667,61460562411
2020,2,34.867333933333335,10105.1577442333,65690262939
2020,1,33.5519614,10446.6474872667,71518901108
2019,4,65.62976426666667,10413.0685020667,211046864180
2019,3,99.56106813333334,7351.0103301333,69802812507
2019,2,85.29321873333333,7251.1630322,73795115148
2019,1,121.2474721,10748.8452559,68125066477
2018,4,125.3153202,10627.5572481,51689273125
2018,3,141.2011724,10493.7310759,53853423779
2018,2,141.0081239,5369.0051586,58334002845
2018,1,242.2988712,11056.3091566,44110229294
2017,4,302.477745,10813.6141268,60973616223
2017,3,0.0,0.0,28837497631
2017,2,0.0,0.0,50734893014
2017,1,0.0,0.0,39637577854
