year,quarter,EPS,BVPS,Revenue
2025,3,-9.149873402358907,0.0,6466054459
2025,2,-165.68038743597515,0.0,4519732905
2025,1,-93.95996375371894,0.0,3750081510
2024,4,-787.3202039603312,0.0,3504056017
2024,3,-338.95116540553244,0.0,4861763829
2024,2,-1115.9913530465756,0.0,3937844156
2024,1,-1488.6419035028343,0.0,2636613509
2023,4,-1296.379804169505,0.0,4599714886
2023,3,-1372.348580213767,0.0,6642596101
2023,2,-3561.7585216044267,0.0,6417960825
2023,1,-618.2943446868828,0.0,3084379981
2022,4,-629.7746622379973,0.0,7366280755
2022,3,-912.2191354806197,0.0,4948521858
2022,2,-2558.4221071545107,0.0,5764724959
2022,1,-8.098509720731231,0.0,5234824926
2021,4,-68.02456047081319,0.0,7871764110
2021,3,-72.78429106986769,0.0,7115086623
2021,2,-26.577357362840743,0.0,4962660704
2021,1,0.0,0.0,2871210299
2020,2,0.0,0.0,7648655280
2020,1,0.0,0.0,2051134197
2019,2,-45.665774403919784,0.0,6548224646
2019,1,0.0,0.0,4910235220
2018,4,-80.59868623577381,0.0,4391909101
2018,3,0.0,0.0,4338661306
2018,1,0.0,0.0,3322248180
2016,2,0.0,0.0,16558112203
2015,4,8.298768308177236,0.0,29585821326
2015,3,-6.423641390664496,0.0,36028993626
2015,2,7.783892943470427,0.0,56530216059
2015,1,8.430370020048628,0.0,74515121055
2014,4,33.14570940561474,0.0,157055199334
2014,3,22.39745670617495,0.0,138894656543
2014,2,34.31645126147069,0.0,94178514574
2014,1,2.137618982521105,0.0,89949895936
2013,4,21.694085416844935,0.0,141372405296
2013,2,-4.585538948220821,-2786.9357259282,106307124773
2013,1,25.5319408899642,-2794.3183240979,65431876151
