year,quarter,EPS,BVPS,Revenue
2025,3,153.02451144163453,10952.4109749175,289369378644
2025,2,87.21274971217055,13036.9604226322,244718780508
2025,1,40.82791384908514,12913.0608100537,256850514752
2024,4,392.5299671431474,12872.2328962046,440569689650
2024,3,49.07209265879827,14476.6150530117,234756814063
2024,2,216.44813175994452,14427.5429603529,279405133433
2024,1,43.05070277864338,14162.2821436231,214046516191
2023,4,466.5022292343036,14119.2314408445,408866732975
2023,3,190.60646706246968,13405.4126750284,312335089810
2023,2,33.04509485683475,13339.1079318138,264268545757
2023,1,84.98027124457836,12964.3232559373,256539562468
2022,4,291.35063907324104,14243.7778723414,430287690995
2022,3,401.28522997886733,13122.3466918214,413665337304
2022,2,191.29645955680178,12721.061461797,296742056801
2022,1,89.71031923828568,12772.1662930205,211237616141
2021,4,865.6261217799166,12682.4559737822,347895467864
2021,3,111.65771307428774,12078.4834552868,208991814298
2021,2,324.9338878632113,11650.8219572257,150861090584
2021,1,257.24574945622106,11583.8374461701,88843601264
2020,4,-95.94057847670597,11299.4406424641,55613151949
2020,3,532.5162175908771,13611.2128029668,82972253876
2020,2,595.1015616812656,16358.1609239568,65955845822
2020,1,628.9433822097811,17803.0057847734,117462848399
2019,4,641.5330728748512,18174.0624025636,132362841530
2019,3,482.07667438368776,17725.133414799,127608004109
2019,2,412.9302393558399,18601.6137683567,106139395903
2019,1,572.170641074731,18295.8552766941,108583874156
2018,4,479.61520522263334,17724.548394967,105026410645
2018,3,563.8218894252448,17241.3012565701,125072342433
2018,2,608.0539852337957,16695.6241983048,135384186411
2018,1,524.323710847663,18010.1968822148,65265662101
2017,4,431.52508575163534,17411.1062775914,75945330586
2017,3,401.84550647678407,17980.1959694662,37595681847
2017,2,504.86414485911035,17582.1635763777,43051541178
2017,1,510.3137514081834,17163.617258334,72250194063
2016,4,336.625025101223,16653.3035069894,92540421906
2016,3,267.8136930243622,16347.0787588198,41194778601
2016,2,233.2180361312448,17044.1482555589,58975144156
2016,1,204.00001082360916,16869.6530000562,91678464330
2015,4,558.3710820285685,16661.3559058005,87264705221
2015,3,142.897290697821,16149.9655489614,125278019421
2015,2,262.7411701314737,16024.9373911511,62990886570
2015,1,176.12352329361664,16314.7803858502,75682570528
2014,4,134.66341911701505,16121.3475857558,102471068655
2014,3,154.6884624019015,16031.7007305809,48877186024
2014,2,100.96391144424067,15844.799632118,52106805797
2014,1,118.94123619961664,16568.8954167442,45730452120
2013,4,124.21045171405893,16894.418408297,64512999993
2013,3,2.895677929407524,16778.9447697208,66570093080
2013,2,4.80239161966458,16875.4224597765,34467307037
2013,1,12.898517140455679,16877.0720530275,24196381858
2008,2,0.0,0.0,49161671925
2008,1,0.0,0.0,85252768633
