year,quarter,EPS,BVPS,Revenue
2025,3,495.24468861969365,12385.9245730615,194264450486
2025,2,713.138761648519,13960.3816500902,236645743450
2025,1,816.0673266106637,13344.3513438269,234142614024
2024,4,1273.3754981020425,13531.1397119614,353856702510
2024,3,376.6052002200382,12257.7642138594,173113461220
2024,2,274.54451407825496,13581.1593838252,148226358376
2024,1,211.21399428264417,13375.9064072405,139003009414
2023,4,1247.6365987172733,13195.0383008768,360408360434
2023,3,120.03525228334972,12754.2182018163,132541576890
2023,2,199.0889230532523,12634.182949533,146357038473
2023,1,733.6283132234723,14327.945107232,242070952148
2022,4,1188.0276865572953,13594.3167940085,375825012584
2022,3,641.8318270824678,13481.9485962708,231222795867
2022,2,987.793785924574,12840.1167691883,284754857600
2022,1,531.4649503336227,13352.3229832638,208731382018
2021,4,1522.099368231472,12893.3343161735,417015070899
2021,3,351.4872960376705,11348.3273209768,175899933290
2021,2,180.88844189392844,12596.8400249392,147788583749
2021,1,-429.6376773921225,12420.5937967446,46743869919
2020,4,1559.4040974056777,12891.0720638672,418231786986
2020,3,401.02460429756815,11332.3052085474,187951082177
2020,2,-30.047157124666743,11874.6880509106,114356813519
2020,1,-37.02654047386731,12618.8692384958,109985174920
2019,4,1204.3259853704772,12729.1619117392,329578310864
2019,3,-61.047802983156274,11524.8359263688,114625511147
2019,2,-14.609820704776,13085.8837293519,113171414632
2019,1,430.1855270588958,13100.4935500567,156160536280
2018,4,1014.0901489377537,12704.9015838952,254768516455
2018,3,-186.90088591503928,11690.8114349574,59965759963
2018,2,400.0394084553798,11877.7123208724,155251138251
2018,1,-535.3574534804686,13225.3530185526,33002279
2017,4,1153.2712719019996,14911.9411210017,276112569532
2017,3,534.3829270496137,13758.7283191123,172532410670
2017,2,464.88194435135546,13224.3453920627,167371076029
2017,1,1104.1546676875596,14359.4634477113,244517893110
2016,4,1849.3535617054895,13255.3087800238,359003254981
2016,3,182.463930117951,11502.0209972085,115643154193
2016,2,-55.64880066875815,11319.5223447335,80280110668
2016,1,69.6710236121472,11375.1711454023,94762901207
2015,4,1423.5486036846603,12905.5001217902,297234848412
2015,3,122.89461365449267,11603.6560365619,114812224386
2015,2,433.9454649788284,11480.7614229074,145206067656
2015,1,625.6714827726594,11599.11174005,172057207828
2014,4,1798.1242592916667,11842.15923275,346288953373
2014,3,-113.44446915833333,10128.0886068083,81946316916
2014,2,-119.78309569166667,10241.5330759667,84985310468
2014,1,210.669880025,10661.3161716583,113263747841
2013,4,1116.9141831166667,10450.6462916333,268948658850
2013,3,235.33287599166667,9871.1718714916,117840212331
2013,2,-34.054808525,9635.8389955,75679127429
2013,1,-269.92284105833335,9669.893804025,65946621023
