year,quarter,EPS,BVPS,Revenue
2025,3,258.8501847096774,15593.9182220968,320645737598
2025,2,403.1112463870968,15335.0680373871,223181968545
2025,1,104.47285625806451,17430.6287401613,204282264869
2024,4,424.72791787096776,17326.1558839032,584034006146
2024,3,2615.345289935484,16901.2021215161,208981944220
2024,2,288.55431041935486,14285.8568315806,287253883798
2024,1,-172.13874774193548,16156.5597431613,175465273207
2023,4,361.46726832258065,16328.6984909032,357709403205
2023,3,260.4286583548387,15967.9527814516,274935314964
2023,2,2787.3620946774195,15707.5241230968,222582472181
2023,1,-119.73591012903226,15946.1029415806,167986692263
2022,4,466.2079807419355,16065.8388517097,363508327725
2022,3,140.09099838709676,15601.0816567419,253947192996
2022,2,2697.4032382258065,15460.9906583548,225929051914
2022,1,-42.84230012903226,15817.799001,189839978706
2021,4,124.156122,15860.641301129,256540119000
2021,3,3210.807242,15725.9971135806,143046056153
2021,2,120.816988,12515.1898715806,192263211141
2021,1,75.84739109677419,15580.445753129,169233737342
2020,4,499.36938825806453,15560.2507909355,360831462342
2020,3,2693.1899761612904,15060.8814026774,273844668921
2020,2,171.68202987096774,12367.6914265161,218032068547
2020,1,151.22382558064515,13991.4813109677,192198614843
2019,4,1077.4176749354838,13840.2574853871,509845349710
2019,3,667.3275322258064,12774.3991816452,246467523834
2019,2,24.237906806451612,12107.0716494194,138041747546
2019,1,134.1746117096774,13832.8337426129,208510608781
2018,4,96.67869864516129,14095.3659317419,412651468421
2018,3,1925.854215483871,14998.8744011935,308693928100
2018,2,1382.009883935484,13073.0201857097,319935989071
2018,1,111.80740638709678,13691.0103017742,222500507910
2017,4,1838.3356291935484,13579.2028953871,281357313083
2017,3,347.8352060645161,12052.3035350968,320147548694
2017,2,492.1405229354839,11704.4683290323,340207753230
2017,1,209.82339593548386,11212.3278060645,246982998182
2016,4,1859.6651186774193,11002.5044101935,361160537047
2016,3,140.533556,10907.8444840968,242168828697
2016,2,143.04371387096774,10767.9140335806,293308666030
2016,1,92.47652829032258,10624.8703197097,216129338506
2015,4,1555.8409563870969,10532.3937914194,327560472106
2015,3,0.0,0.0,316235041046
2015,2,0.0,0.0,221563086773
2015,1,0.0,0.0,205409567765
