year,quarter,EPS,BVPS,Revenue
2025,3,590.0656202485853,12798.7404690793,46830961303
2025,2,269.75374773874995,12208.6748488307,22586562957
2025,1,28.921334435581606,11938.921101092,21537852987
2024,4,-27.265253395599697,13339.1240126725,30933827839
2024,3,-575.0920627925587,13366.3892660681,13554603038
2024,2,437.42227491476746,13941.4813288607,16000664960
2024,1,196.9639065566043,13504.0590539459,18152985559
2023,4,-363.0055217548591,13307.0951473893,23855883798
2023,3,83.53986165466286,13932.4228526326,12032269706
2023,2,799.0139520505147,13848.882990978,5205747819
2023,1,-104.35668343912037,13049.8690389274,9746656910
2022,4,-153.72161826772344,13154.2257223666,21398677111
2022,3,-52.68214775106609,13216.8710336436,8557609260
2022,2,-1413.593712412712,13269.5531813946,8797176893
2022,1,1144.7741873033622,14683.1468938073,10550735249
2021,4,349.6127262362833,13538.372706504,13929141817
2021,3,157.03180605343067,13187.7899470517,2032327272
2021,2,122.08359127832406,13025.5549700179,8579545853
2021,1,102.20008660286557,12903.4713787395,12212098183
2020,4,144.18375987985223,12801.2712921367,40796922494
2020,3,399.0854011685906,12657.1802740597,10077952727
2020,2,-490.3193950954276,12258.0948728911,7933916365
2020,1,38.129771214961465,12748.4142679865,13746643636
2019,4,414.60274235099376,12710.2844967716,17402745452
2019,3,-63.12495434165378,12295.6817544206,10200021818
2019,2,-417.4250497144298,12358.8067087622,14981890910
2019,1,73.28018285263262,12776.2317584767,8565854545
2018,4,367.8254945681367,12702.951575624,10070109091
2018,3,-183.87549928196358,12334.9242330165,3525018181
2018,2,-554.5359371197421,12518.7997322985,3994636362
2018,1,66.04149154251762,13073.3356694182,2449181817
2017,4,-154.7587035879896,13007.2941778757,2204545454
2017,3,23.969379857708205,13153.8317931178,1898554545
2017,2,250.03723988993764,13129.8624132601,2364271764
2017,1,211.3652465989191,12883.6208460771,3109090909
2016,4,117.84969294351082,12672.2555994782,2378273927
2016,3,-237.01679481698292,12554.4059065347,1357900000
2016,2,201.72899968209074,12791.4227013517,6929090909
2016,1,14.100932679975006,12589.6937016696,4548181819
2015,4,-29.002026507054296,12575.5927689896,3775454543
2015,3,-5.881248615998509,12604.5947954967,1173636364
2015,2,-124.99939399918878,12610.4760441126,1496272727
2015,1,191.73159776805778,12813.0804413457,702727273
2014,4,74.7800219247761,12665.1983957641,621884091
2014,3,1.5860222974972868,12668.4871121781,2991284547
2014,2,-134.2935109240197,12598.6327264555,30000000
2014,1,326.530539239868,12736.2198118854,3704000000
2013,4,-305.395758432817,12736.2198118854,1275454546
2013,3,128.30426436895013,12800.237823089,878772729
2013,2,73.85222854386599,12644.8878006161,10961465550
2013,1,241.00083138750946,12606.9607750408,864545456
2008,2,0.0,0.0,62376124473
