year,quarter,EPS,BVPS,Revenue
2025,3,279.1032847593583,21411.0924061497,234663718626
2025,2,498.9072747771836,21131.9891213904,216211513703
2025,1,755.0667392156863,21713.2594557932,155375416083
2024,4,1018.729111942959,20958.1927165775,225259986866
2024,3,286.9309428698752,21739.4636046346,200792365068
2024,2,548.29286942959,21452.5326617647,189157315845
2024,1,818.6340468805704,22022.369421123,156250218142
2023,4,1125.2087456327986,21203.7353742424,231609006130
2023,3,309.4275364527629,22078.5266286096,225715575265
2023,2,608.909226114082,21769.0990921569,272524947286
2023,1,906.0527024064171,22273.7153603387,229897467662
2022,4,1026.3450057932264,21367.6626579323,291306885529
2022,3,322.499666399287,20690.605585205,270667095162
2022,2,621.8145234285714,23264.7760389524,263194877742
2022,1,885.0947413333333,21871.2517470476,185956365359
2021,4,949.2550432380953,21871.2517470476,220661492559
2021,3,120.58835057142858,22216.2148525714,74121359775
2021,2,751.4883825714286,23196.0569192381,311322698651
2021,1,979.8420666666667,23196.0569192381,213380694259
2020,4,4325.923996190476,22216.2148525714,332195852143
2020,3,871.1848935238095,19379.8664258095,332203191806
2020,2,783.159071904762,18508.6815322857,314768880407
2020,1,1071.4184318095238,18941.991481619,238305329762
2019,4,652.4676902857143,17870.5730498095,349337069278
2019,3,0.0,0.0,321624496763
2019,2,0.0,0.0,320415410368
2019,1,0.0,0.0,240705397400
2018,3,738.9474118,0.0,344916056115
2018,2,863.6263288571429,18095.8309870476,369403677451
2018,1,0.0,0.0,258580359636
2017,4,622.5353396666667,0.0,390063406058
2017,3,0.0,0.0,383778752780
2017,2,0.0,0.0,413052381030
2017,1,0.0,0.0,307282332022
2016,3,0.0,0.0,371470837525
2016,2,0.0,0.0,351051139072
2016,1,0.0,0.0,257111387822
2015,2,0.0,0.0,339510574231
2015,1,0.0,0.0,212643006253
