year,quarter,EPS,BVPS,Revenue
2025,3,9282.083930617284,163088.2191344444,1055195668216
2025,2,8915.228185432099,153815.950018642,975139280927
2025,1,7906.557324938271,153426.9305965432,887865404832
2024,4,7545.634444814815,145541.2991975309,1067578722994
2024,3,8084.29372345679,138008.2573453086,994550961317
2024,2,7827.979515925926,129940.7537453086,858735271204
2024,1,7419.35400271605,130291.449835679,800642616695
2023,4,8114.567154814815,122884.6884255556,956860808684
2023,3,7672.608672716049,114828.8835271605,891384923897
2023,2,6909.97283345679,102378.1651381481,848069773735
2023,1,5945.372758888889,102378.1651381481,715578661629
2022,4,7059.878227160494,102378.1651381481,861165188080
2022,3,7361.002455432099,95353.2869109877,862978873507
2022,2,6937.402241728395,88019.8770481481,807211724099
2022,1,6006.185214320988,88611.8413176543,688514354583
2021,4,6844.031554814815,82635.1005477778,735543800698
2021,3,4357.370935555556,67144.1385035802,550297781605
2021,2,6274.311379629629,67144.1385035802,648074415056
2021,1,0.0,0.0,579130162059
2019,4,6296.614175802469,55581.3316407407,650891461873
2019,3,6271.011939753086,49199.2314409877,595570077593
2019,2,0.0,0.0,471185928230
2019,1,0.0,0.0,458451919764
2018,4,3081.004269506173,41550.1608106173,545743961643
2018,3,0.0,0.0,531194805983
2018,2,3099.3489850617284,35794.1573354321,454745961611
2018,1,2112.5030327160493,35430.193037284,422515819279
2017,4,2853.4055897530866,32814.3790612346,486423047364
2017,3,2231.4033155555558,31037.9118361728,420590270116
2017,2,0.0,0.0,375426879247
2017,1,0.0,0.0,322082651317
2016,4,625.643447654321,29137.0346045679,295415831674
2016,3,0.0,0.0,416835905377
2015,2,0.0,0.0,300271648980
