year,quarter,EPS,BVPS,Revenue
2025,3,168.65496205318348,11262.7987502977,37412682046
2025,2,383.6317308125575,11094.1437882445,40081828762
2025,1,354.85195237819363,11583.864304759,37672311235
2024,4,106.01194491113557,11229.0123523808,32372561854
2024,3,199.79572691166342,11123.0004074696,32048010123
2024,2,247.63519906790518,10923.204680558,35892592283
2024,1,361.13211742592483,11352.6629076467,35661528992
2023,4,86.8238849300607,10991.5307902207,33257577055
2023,3,308.0641198849043,10904.6865740365,32144630200
2023,2,154.39162234710233,10596.6224541516,29843595245
2023,1,159.80189457286497,11035.9389763693,28228404241
2022,4,227.73046624052938,10864.9015601002,27884475860
2022,3,144.4695416127558,10665.8807648585,28340938942
2022,2,91.45260555265885,10492.4441877321,30333543930
2022,1,131.2180202640506,10937.3449375921,29569850032
2021,4,436.90146296403583,10806.1269173281,26567298882
2021,3,122.5160118185505,10405.8635297942,27589789437
2021,2,72.87968818595549,10283.3475179757,26374392294
2021,1,33.44808424901351,10844.7861469337,29924071260
2020,4,97.0766116292992,10811.3380626847,28636656148
2020,3,84.48308801472812,11420.0295441232,28147250356
2020,2,301.8782088716374,11335.547010087,36933898757
2020,1,162.7485524850498,11033.6688012153,29777720350
2019,4,231.25843906301296,10870.9276514815,26844806259
2019,3,202.08246599591888,10639.6692124185,26918835770
2019,2,60.35843075912945,10437.0885134117,27355544209
2019,1,134.01991754050556,10952.1547839381,29922956308
2018,4,207.87218308453868,10818.6330994084,25614131585
2018,3,0.0,0.0,24461513651
2018,2,155.57323136936833,10474.7910558163,26522154520
2018,1,141.70211543041796,10897.7510130738,25996810665
2017,4,189.62568931888845,10756.0488976434,24433114221
2017,3,0.0,0.0,24482141135
2017,2,0.0,0.0,27987548594
2017,1,0.0,0.0,26944070317
2015,1,0.0,0.0,35512776269
