year,quarter,EPS,BVPS,Revenue
2025,3,103.20620623498984,10666.5793798109,11627361240
2025,2,14.868760953512544,10563.3731735759,11996211129
2025,1,39.97754104245771,10702.3513606388,6274274892
2024,4,248.19003932671455,13861.0144134392,29585333933
2024,3,404.5568792819885,13593.3516451316,39697636143
2024,2,671.2781250233011,13268.1601638883,58563811118
2024,1,1692.9958426227447,15820.5463726243,105419159499
2023,4,1616.6240371023785,14179.0117956705,128116586697
2023,3,1160.2794843721804,12667.6783939419,51041760493
2023,2,1335.9241923144364,11508.1298714528,97030350761
2023,1,1366.4140625436473,10172.1757390924,87912027787
2022,4,823.2875246939947,8805.7916165697,70137456945
2022,3,723.2221452504567,8155.5319231441,59519750803
2022,2,1942.8428426868059,7432.3097779187,153845213077
2022,1,1614.5804779894029,5493.2468674174,127560426605
2021,4,1275.9106814772135,3874.7882094855,112298989702
2021,3,166.32260259903347,1206.9881271908,18400773440
2021,2,795.8181615068735,1206.9881271908,110418714743
2021,1,0.0,0.0,64855448127
2013,4,-3670.9263024795896,6955.7922719254,400599646800
2013,3,-1123.7090426703032,17587.5392512145,336113459485
2013,2,-2329.697755809869,18525.5862020521,513206443568
2013,1,-1232.3853092701625,20845.8218765143,400780563926
