year,quarter,EPS,BVPS,Revenue
2025,3,-15.28369696279709,1615.4186829688,11404568011
2025,2,6.511238916217588,1679.2362882751,3612400000
2025,1,-56.926486848860186,1672.7250493588,3113942073
2024,4,-563.4891351740034,1729.6515362077,5871988072
2024,3,-56.677037403520146,2292.6294460934,11493695552
2024,2,-18.067205504996405,2349.3064834969,5617331816
2024,1,-66.3628742436407,2367.3736890019,7319358909
2023,4,-254.95669580865746,2433.7365632455,5093985453
2023,3,-61.041511190753,2526.810446297,7732160609
2023,2,-386.8067682862571,2567.1153029521,24759200
2023,1,-151.40192030722883,2953.9220712384,7767759913
2022,4,-335.6799891146052,3105.3239915456,1887669494
2022,3,-195.56703490224942,3530.3681855714,7490973200
2022,2,-325.9714439950246,3445.2927609585,51430151373
2022,1,-28.394067798403505,3771.2642049535,2962536170
2021,4,-455.38286045490963,3799.6582727519,14134850895
2021,3,-93.48240070357232,4403.0759755697,6945556197
2021,2,-126.09172409502459,4366.407787078,21214481062
2021,1,48.202763925327545,4492.499511173,16378367645
2020,4,-129.63369385207966,4444.2967472476,8226766152
2020,3,-351.24427198420176,4566.2699961783,5216538798
2020,2,0.0,0.0,18882554409
2020,1,0.0,0.0,58747056269
2019,4,-390.34280736533236,1352.9997094971,46390029560
