year,quarter,EPS,BVPS,Revenue
2025,3,2768.106491424089,86948.9362822491,7451776029867
2025,2,1986.9353304732858,88382.1676259948,8237240542216
2025,1,563.2767854394657,86226.3673028084,5002815167852
2024,4,1046.7063825989258,86958.87561798,6885665264256
2024,3,929.8440318841544,86860.9465549459,4758908674959
2024,2,690.1194313452213,85967.5059176115,6595436049789
2024,1,1049.6846902673306,85251.5086628628,4665851979469
2023,4,691.3002286580286,84127.9951300517,5659931201010
2023,3,671.559414668812,84036.5431718217,4123955806852
2023,2,303.7438303215812,83365.3493586096,3616408985094
2023,1,296.8666363373535,110671.2083538077,3129647408956
2022,4,255.6236748263828,111203.4029967151,6230300955142
2022,3,-47.883930948166935,110947.7793218887,3113499095895
2022,2,-323.045478133861,110995.6632528369,3282372691072
2022,1,395.7328675361656,111318.7087309708,1912515365227
2021,4,-857.5047313159139,110922.9758634346,2918246718909
2021,3,-160.11879643387113,111782.9663157764,1070493725258
2021,2,607.5919321682677,112259.0571202965,2550411691809
2021,1,733.3467633863501,112013.8748587863,2568570806591
2020,4,1265.5363852430937,112332.015848772,4296193969617
2020,3,1161.9968502569707,110832.2871876008,2806614620474
2020,2,2060.6548526814004,109670.290337357,3971457955191
2020,1,1617.5642366000686,111922.7389967173,3553806855145
2019,4,3057.3303858292998,110305.1747601172,7470610599603
2019,3,2163.011164599207,107247.8443742879,6224636596791
2019,2,1622.8998223850701,105132.107798265,5788423806902
2019,1,2471.916884371939,107381.0086811833,4249357248869
2018,4,4173.940253582951,104249.9435530294,7823910821456
2018,3,6272.4210010263405,107069.8263520045,8123852900595
2018,2,5465.837139446965,97180.1697225324,8301624600777
2018,1,3707.577342241394,97890.1657711059,4311468974567
2017,4,5902.885893473491,94830.4717536535,8968175174014
2017,3,6134.450931556337,88832.7149539001,7640854721455
2017,2,5388.380077131927,82880.0062772226,6183122828238
2017,1,3905.371215947699,84805.6635307463,4361300369853
2016,4,5982.5579651749085,80903.6708537184,7321030114937
2016,3,4754.103215846275,81887.6521291207,5316661578007
2016,2,5417.966186077904,75370.736585027,5002814446857
2016,1,5140.696406205193,74333.2706646936,3142214893740
2015,4,5391.364725053009,69199.887026781,5475900479519
2015,3,4244.785490585194,63392.7949342705,3818959733206
2015,2,3276.097578716087,59494.9422315166,2777243870519
2015,1,1749.5421534307839,61522.2338843602,1596812174647
2014,4,2197.17091916559,59887.2319113981,2640561842891
2014,3,2116.2920208754376,57777.7018223619,2144059963437
2014,2,1926.7652533110117,55661.4098014864,1622409218627
2014,1,1522.128696953178,55039.7920424261,1226590835095
2013,4,1677.8198625297816,54647.3901866655,2427334639349
2013,3,1537.8622690855016,53003.8763956642,1503268553518
2013,2,1857.6454356435606,51384.7222157346,1289765281846
2013,1,1063.9283885703446,49305.5316544076,969282931438
