year,quarter,EPS,BVPS,Revenue
2016,1,-178.45639103687347,0.0,55956402932
2015,4,3497.160462712322,4252.3172609291,111495702784
2015,3,-1112.5150399981933,1841.3662960086,68804626579
2015,2,-1143.3344434076635,3743.0364298186,14838760483
2015,1,-875.6281569214376,3420.4620690696,15975400434
2014,4,-2857.4901876368476,4033.4022193495,9664899905
2014,3,-5532.75714398631,9371.0849905919,13224810035
2014,2,-986.0252036350983,19044.6021053842,9602994452
2014,1,-1210.1231829865942,14165.1702952127,1353206654
2013,4,-52.30544075020199,15675.2934781993,14547886582
2013,3,-8.728451619506819,15735.9295557545,74243797015
2013,2,-32.58503167582423,15481.5083672914,65152287849
2013,1,64.09580435977232,15513.762788278,54858282522
2008,2,0.0,0.0,89039005972
