year,quarter,EPS,BVPS,Revenue
2025,3,13.72678378630333,12315.1897489684,15300675000
2025,2,18.825987653545557,12301.5211171214,14660020000
2025,1,8.549287801182018,12282.6951294679,11049157900
2024,4,13.496099088329975,12274.1458416667,16705146841
2024,3,31.569517236044454,12260.6497425783,20362811644
2024,2,-16.236311147974313,12225.4914132175,0
2024,1,1.5125308347311304,12241.7277243654,708567684
2023,4,7.430150036462834,12240.2151935307,23522593710
2023,3,-11.098747833882866,12242.6235744619,4557560000
2023,2,3.4831389144720095,12253.7223222958,29174441294
2023,1,19.180795243500988,12250.2391833813,30955061558
2022,4,34.27420464410224,12231.0583881378,33701684738
2022,3,10.66791978044283,12202.4948899966,33074882151
2022,2,-238.5018296706312,12192.8219976509,27181172356
2022,1,17.623974710065923,12431.3238273215,23769508530
2021,4,62.66081514764638,12413.6998526115,115948090000
2021,3,1.04350878909672,12382.6194692525,11672374415
2021,2,50.70531220185931,12379.7589018241,58254279368
2021,1,1.1988984786105643,12329.0535896222,4946762517
2020,4,0.410003576861869,12327.8546911436,419546000
2020,3,130.35564263182985,12454.2043383169,38140817500
2020,2,-24.426262265297364,12323.8486956851,9787200000
2020,1,24.442904425060778,12348.2749579504,54002527000
2019,4,1107.2517271912245,12323.8320535253,112225227500
2019,3,-236.90958597327997,11195.8589223034,4075459426
2019,2,-112.72980163953828,11432.7685082767,10034168027
2019,1,-242.19867294127135,11545.4983099162,34261172827
2018,4,1293.608951146414,11787.6969828575,109591411643
2018,3,44.33062178884085,10479.8869606691,16784971476
2018,2,-37.889780009771904,10433.3429351028,21535780963
2018,1,-756.803030600551,11692.4719405404,37072987429
2017,4,256.1042152007664,13694.1999784,90855582634
2017,3,457.2447174,13566.2062071,49954605112
2017,2,682.7592801,13608.9614896,65224007117
2017,1,647.3381087,12926.2022095,68520421070
2016,4,715.9299868,12412.196942,60535069232
2016,3,0.0,0.0,13217802782
2016,2,211.9139542,0.0,48233661745
2016,1,0.0,0.0,56896087045
