year,quarter,EPS,BVPS,Revenue
2022,2,-2557.6463291587643,4554.8006754404,21348469666
2015,4,-1390.2389096633347,10533.2052799376,14293548344
2015,3,-1491.8735887694606,11923.4441896009,8996677464
2015,2,-2544.1529820671976,13552.6347636854,11256396897
2015,1,-955.2540075663649,16096.7877457526,7407368920
2014,4,-129.28963137354796,17052.041753319,10436407923
2014,3,428.09407109039637,18275.88706474,10362059481
2014,2,526.2019226368045,17847.7929936496,13706832068
2014,1,-321.7475874997761,17321.5910710128,7087115263
2013,4,1473.5921526328045,17643.3386585126,10952298995
2013,3,-661.51752781664,17160.3153365162,8620016317
2013,2,-281.40349302569024,17821.8328643328,12152471838
2013,1,-1698.7168434208247,18103.2363573585,8208078865
2008,2,0.0,0.0,10119036476
