year,quarter,EPS,BVPS,Revenue
2025,3,618.9795200698904,19871.2849895523,3096350166347
2025,2,1484.9331655251228,19299.8896173857,6252272955914
2025,1,777.1386413071401,19893.7029207896,3572123371140
2024,4,696.6844655213449,19162.0521416736,4387436062641
2024,3,227.366180136003,18630.2946633075,2664458450948
2024,2,1104.0111789346429,18443.1389780714,4005540116134
2024,1,653.5738725028334,19380.6147285739,2885113617384
2023,4,931.610119916887,18768.0244962335,3512591181592
2023,3,139.2235899829996,18014.9335876124,3150668056738
2023,2,588.325727183604,20913.6888896147,3456451645301
2023,1,432.0531973479411,20364.2890476067,2829778278975
2022,4,1890.4773252228938,19977.909862227,4493524387960
2022,3,1374.7013287060824,18347.429389286,3458198288290
2022,2,1925.5328020060447,18795.7366628863,4145362286564
2022,1,2862.764149174537,16895.3492103325,4282954808095
2021,4,2067.5788868662635,14075.385513555,3840015193364
2021,3,711.5498816018134,12535.7179976256,1896862479268
2021,2,555.3993317378164,12668.0475130317,2504725178985
2021,1,286.8871963033623,12150.0308973668,1931697422175
2020,4,397.9813773951643,11900.4538040121,2258238112671
2020,3,190.23305662636946,12246.4005002002,2078923692020
2020,2,500.9919647487722,12098.5761103362,1986578718190
2020,1,172.49355612958067,11627.755888079,1393149954750
2019,4,237.11228146014355,11482.9039605799,2114396497080
2019,3,12.632046310918021,11372.4343434983,1520664830410
2019,2,209.81378341329807,12286.1884070759,2053294508693
2019,1,352.6521654004533,11211.7940677201,1491208491267
2018,4,181.75613917831507,11787.447256037,2000347012209
2018,3,282.0121853758972,11641.6391678032,1450043816558
2018,2,290.0376418228183,12289.1401996789,2067721442312
2018,1,487.82330046089913,12025.7012137231,1315245682586
2017,4,73.95112487155271,11573.7424431526,1489821362273
2017,3,73.0718290819796,11545.0149913903,1211540342403
2017,2,522.9390098696638,11500.6775022025,1894140917836
2017,1,537.2550694729883,11508.5464416774,1237565363696
2016,4,454.1070302512278,10999.909832125,1748064913365
2016,3,61.77739484132981,11007.5115313827,871128462533
2016,2,437.21022305629015,10963.3050666113,1404641047428
2016,1,218.05574386664148,11947.9102052871,947914520328
2015,4,547.2830797695505,11730.3578861541,1721866246576
2015,3,0.0,0.0,1054464635668
2015,2,0.0,0.0,1778325688627
2015,1,0.0,0.0,1117023061487
