year,quarter,EPS,BVPS,Revenue
2025,3,66.45065144178781,10479.6968048318,8911260000
2025,2,-9617.480198412413,10479.6968048318,0
2022,2,1.8778269929564866,10486.8026003783,9461913147
2022,1,2.627309533303798,10487.7435758456,8353027665
2021,4,5.580714345773495,10485.1162663123,27188164980
2021,3,1.402390447957871,10483.5542497568,3752728290
2021,2,1.1231631158543376,10484.3655524907,3409528167
2021,1,2.2136931818059344,10483.2423893748,3078862108
2020,4,6.268597636131588,10481.028696193,5981615080
2020,3,3.1504351890769904,10482.8649211063,9487201522
2020,2,2.4957545269004155,10480.4898508997,12511006952
2020,1,0.0,0.0,1574841569
2019,4,15.118835027291622,10477.0561047787,14871553806
2019,3,-6.4440269998442865,10444.3776319409,6251267399
2019,2,-25.970379060968686,10450.8216589407,409090908
2019,1,1.964526089101038,10476.7267540108,5178705987
2018,4,5.337337432209929,10512.8542488134,10769061028
2018,3,6.188111173071096,10514.8963879724,13651328398
2018,2,5.306154949002838,10508.7082767993,17418450836
2018,1,16.7723372522218,10503.1487277244,14646988141
2017,4,3.4211806448575883,10486.3767951041,46440914036
2017,3,35.025358064039395,10553.9144191105,53607061907
2017,2,-66.99676402733876,10514.1078197724,28161188242
2017,1,49.855190173666244,10581.1029699265,20696721146
2016,4,34.27184392225355,10531.2489800863,49774213208
2016,3,34.99659038978133,10511.639607247,28669627548
2016,2,73.01434929035183,10475.8147548669,88698857222
2016,1,60.31938615740898,10402.8021670446,34655554763
2015,4,20.409583489893713,10342.4842360898,84310770302
2015,3,55.3472641879021,10322.5745447082,82143931668
2015,2,7.203502189280756,10267.3119445001,190624135427
2015,1,51.02941362520582,10260.1212858758,168502355669
2014,4,-27.40329020621002,10209.0804335522,189871011573
2014,3,25.07020381006764,10211.0792017076,19380938300
2014,2,18.731829124620234,10290.2556542258,20718017465
2014,1,32.67659263818225,10270.871246016,21917874181
2013,4,72.29521239530641,10218.7509290181,50635589264
2013,3,3.270731791970309,10173.35404484,45931161490
2013,2,11.646492001035181,10814.783950105,38788017839
2013,1,5.859924744958594,10802.5989742329,18303621425
2008,2,0.0,0.0,9306373555
