year,quarter,EPS,BVPS,Revenue
2025,3,47.03542078889537,12768.7869994775,252273981450
2025,2,14.224328746716928,12721.7515786886,201700146342
2025,1,64.35624804895738,12707.5272499419,301008561184
2024,4,-171.67921403464698,13274.9906836964,348908860612
2024,3,374.9798425703067,13446.669897731,397023128055
2024,2,137.8098776050652,13071.6900551607,352933367911
2024,1,155.5986903139994,12933.8801775557,295788857128
2023,4,-130.99420209145313,12778.2814872417,330494700507
2023,3,55.522111782352944,13035.9454790464,207258247513
2023,2,1.782423243545255,12980.423367264,176942967760
2023,1,131.70650070152908,13478.6409440205,232768132229
2022,4,392.06988188668583,13346.934443319,312129880484
2022,3,226.64212394184293,12982.097963963,239888709370
2022,2,-25.54627140680035,12755.4558400211,320032279138
2022,1,233.2749836344627,12781.0021114279,315865223121
2021,4,82.42015670421658,13802.1235251605,310889818643
2021,3,251.42445859936515,13692.7159129631,361194125404
2021,2,407.7782300246389,15457.1195225273,520924270193
2021,1,406.4871636792827,15049.3412925027,356216900332
2020,4,160.27049800428102,14642.8541288234,438375272943
2020,3,476.4167530459087,14483.2769954429,372669575513
2020,2,0.0,0.0,389561171866
2020,1,0.0,0.0,378958788856
2019,4,383.25495756964824,14558.0536652021,494655516793
