year,quarter,EPS,BVPS,Revenue
2025,3,752.5495907332277,14797.6066379556,7503657776055
2025,2,523.3590168862049,14045.0570472223,5871961675342
2025,1,483.2956131692162,14052.874373234,5574849606573
2024,4,640.4019910187906,13569.5787600647,6138656789788
2024,3,555.5059725179736,12917.2771146382,6379719131252
2024,2,410.1033309910682,12782.1490057637,5063705158748
2024,1,553.5298013434924,16079.9918060331,5001986652599
2023,4,536.1661151998733,15530.2679668523,4977453423124
2023,3,613.0586915520455,15996.4228055691,5552963637293
2023,2,496.8867965982338,15381.826449519,4622642232477
2023,1,475.17641205692547,15045.7866519752,3941909518357
2022,4,932.2396819715143,14570.3922155445,4267569167184
2022,3,1105.659661016837,13727.3910301864,5942279715157
2022,2,839.3949065633254,12621.7313691696,4824513808147
2022,1,1292.8872723742627,12355.7369483225,7104074671123
2021,4,3609.408468939197,19880.6666782045,8073416257401
2021,3,1212.8354231165695,16461.4573620329,3868090616310
2021,2,1317.266372917383,15748.6219389163,4346197073691
2021,1,2414.304433515101,28862.7111319979,5063160650544
2020,4,1974.0481422468943,26907.4290340635,4112257191486
2020,3,1745.8887756260553,24606.0277305649,3654806805407
2020,2,1126.6256331179998,23877.1064834046,2556474575147
2020,1,1045.5356866297468,22481.0639874468,2356748734644
2019,4,1165.398893955988,21704.9451636568,2587619725416
2019,3,1243.5663964722914,21298.5398655722,2629391514043
2019,2,800.474901769792,19988.9146771464,2010584118890
2019,1,598.7492812129144,19199.7797773737,1372871569395
2018,4,772.7940524462541,18313.9510657321,1585601320567
2018,3,902.1733889112779,18050.9483385557,1759820460227
2018,2,567.6643807463585,17159.9696701338,1371619259065
2018,1,469.3208440838755,17327.6603285253,1276495225167
2017,4,551.7255738002582,16860.0838896305,1142594766827
2017,3,684.0195406297464,16568.5691704568,1156668204141
2017,2,515.4977704196925,15869.9487171973,797541877978
2017,1,216.81546627021154,16053.7479243868,767859652336
2016,4,289.62682438744497,20565.5050828677,1020277640879
2016,3,600.2567004201334,20214.1299233416,1050062545793
2016,2,378.3759351201798,19437.6599024235,950538455098
2016,1,678.6840625293399,19061.1561003379,822129720039
2015,4,611.2185149232515,19878.4083208657,958570769392
2015,3,0.0,0.0,1178593478212
2015,2,0.0,0.0,1169368767533
2015,1,0.0,0.0,939856565779
